ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency
1.32,5.482,26.687,12981.248,309.22,0.74,616.821,4.8,6.2,0.4,875884.0,5494933.6,137112.0,462987.2,240.0,0.0,240.0,19483.2,12686.4,22217.0,52.2,40.8,6.2,1.2,0.0,0.01003
1.2,5.413,28.838,18008.064,313.765,0.75,472.598,6.18,7.2,0.8,871020.0,5877306.4,137456.8,473752.0,40.0,0.0,44.0,20036.0,12231.8,21606.8,48.8,44.4,5.8,0.8,0.0,0.00389
1.17,5.393,30.645,19995.648,327.349,0.76,414.49,7.18,9.4,0.2,895476.0,6049878.4,137468.0,471232.0,52.8,26214.4,56.8,46724.8,12180.0,21870.6,47.6,44.8,6.6,1.0,0.0,0.00478
0.5,6.249,33.194,1378.304,141.689,1.56,184.463,11.88,4.0,0.0,870760.8,6255440.8,137496.0,473468.8,163.2,32.0,177.6,26150.4,13246.4,24987.4,55.6,30.8,12.0,1.2,0.0,0.00294
0.74,3.962,38.474,37689.344,242.97,1.24,290.967,11.71,10.4,1.2,973914.4,359777.6,63874.4,280372.0,235.2,64375.2,13281.8,78639.2,13335.6,16848.8,22.4,70.8,4.2,2.6,0.0,0.01781
0.7,4.048,32.378,50908.16,202.198,1.11,244.248,14.24,7.8,0.2,1105481.6,1551601.6,51106.4,362654.4,3347.2,19090.4,12928.8,34605.6,12801.6,18702.0,24.0,63.2,9.0,3.6,0.0,0.03413
0.73,4.35,32.642,41274.368,215.25,1.53,265.267,12.45,9.4,0.2,1104392.8,828403.2,50388.8,280305.6,1639.2,19880.8,16207.6,35991.2,11282.8,18161.0,24.2,66.0,7.6,2.0,0.0,0.0135
0.78,5.418,26.339,51168.256,221.014,1.04,282.618,12.86,5.2,0.2,1086294.4,3168388.8,79750.4,381924.0,484.0,0.0,4948.0,19408.0,13159.4,22078.6,27.6,60.6,10.4,1.4,0.0,0.00626
0.77,5.675,22.92,48892.928,217.921,0.98,278.111,13.23,7.4,0.4,1081942.4,3516327.2,114888.0,395171.2,1120.0,0.0,2144.0,19888.0,14175.2,22811.4,29.6,59.0,10.0,1.6,0.0,0.00696
0.76,5.951,23.69,53628.928,214.299,1.01,271.514,13.57,7.8,0.4,1081072.0,3655545.6,128081.6,406472.0,1022.4,0.0,1546.4,22658.4,12412.4,23769.8,31.2,56.2,10.8,1.6,0.0,0.00372
