ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r,b,交换,空闲,缓冲,缓存,si,so,bi,bo,in,cs,us,sy,id,wa,st,min,max,avg,samples/s
0.84,19.514,4.981,24090.624,180.403,1.04,378.587,10.18,6.17,0.0,907772.0,3378868.67,12092.0,420756.67,85.0,60.0,140.33,202.33,27548.17,65172.0,19.5,60.0,20.5,0.17,0.0,0,2,0.14,97
0.63,19.514,4.663,47070.208,183.398,1.09,248.796,17.45,6.0,0.17,907302.67,4007805.33,12444.67,419864.67,53.67,60.0,67.0,218.83,25706.83,62655.5,17.67,61.33,21.0,0.0,0.0,0,1,0.15,98
0.85,1.791,5.08,47015.936,366.763,0.66,358.06,17.93,7.67,0.0,906748.0,4368972.67,12808.0,417892.0,41.67,59.83,68.33,226.17,3161.33,6206.83,22.33,61.17,16.5,0.17,0.0,0,3,0.16,97
0.9,2.243,7.952,36092.928,363.401,0.63,375.137,15.96,7.17,0.0,905468.0,3855385.33,13108.67,422162.67,99.0,59.83,109.0,190.83,4840.33,7918.5,22.83,60.5,16.67,0.0,0.0,0,2,0.2,96
0.8,3.546,25.634,5921.792,253.094,1.32,271.569,13.95,10.17,1.17,1054493.33,107820.0,4674.0,260360.67,29957.67,77247.83,63536.33,77431.5,9700.83,11674.17,8.83,73.17,16.33,1.5,0.0,0,12,0.7,90
0.84,3.132,15.026,13150.208,292.658,0.79,316.692,14.43,9.0,1.0,1356100.0,389043.33,5388.67,274510.67,6928.83,132150.0,24291.33,132278.33,11157.0,9289.33,11.83,72.0,15.67,0.83,0.0,0,3,0.25,97
0.8,2.669,21.032,8455.168,250.739,1.06,276.985,12.25,12.17,0.33,1365720.67,103027.33,3732.0,221432.67,900.17,129313.0,44669.33,129473.33,9919.0,9158.83,8.83,75.33,15.33,0.5,0.0,0,17,0.49,93
0.74,2.137,5.066,831.79,319.506,0.84,322.058,16.52,8.83,0.0,1012093.33,6411234.0,8439.33,330204.67,194.67,86.5,13082.5,240.17,3740.0,7542.5,42.33,41.5,16.0,0.0,0.0,0,1,0.14,96
1.15,1.664,4.535,17047.552,438.797,0.58,508.522,10.94,8.67,0.0,985985.33,6151202.67,9549.33,354961.33,573.33,64.67,1188.5,261.67,3197.17,5881.17,34.83,49.0,16.5,0.0,0.0,0,4,0.19,97
1.27,2.457,5.2,4124.672,423.313,0.62,679.47,7.94,8.83,0.0,972928.0,5608258.0,9878.67,368945.33,137.33,65.17,279.0,175.5,4447.5,8764.67,41.17,43.17,15.67,0.0,0.0,0,1,0.1,98
1.29,2.356,3.45,3712.0,478.906,0.56,759.464,7.75,7.67,0.0,972416.0,5078725.33,10272.0,373546.67,44.67,65.0,181.0,200.0,3990.5,7808.0,39.83,44.67,15.5,0.0,0.0,0,2,0.14,97
1.17,1.604,6.782,20158.464,454.982,0.7,552.53,10.81,9.67,0.0,971904.0,5129160.67,10686.0,373448.67,168.67,65.0,996.5,196.0,2609.5,5412.67,32.17,51.67,16.17,0.0,0.0,0,9,0.31,96
1.16,1.925,3.997,21544.96,387.891,0.71,563.461,10.0,8.83,0.0,971136.0,4774720.67,11154.67,382953.33,120.0,65.0,558.33,213.33,3210.33,6768.5,38.67,45.33,16.17,0.0,0.0,0,1,0.14,95
1.12,2.095,5.533,13031.424,309.338,0.78,534.996,9.71,8.0,0.0,938174.67,3762618.67,11535.33,389293.33,933.33,66.33,980.33,202.0,4056.67,7401.5,35.5,48.67,16.33,0.0,0.0,0,4,0.26,94
1.01,1.985,5.12,27641.856,346.21,0.76,496.929,12.25,7.83,0.0,936084.0,4018763.33,11856.0,390350.67,44.0,66.33,68.33,155.33,3774.17,7257.33,30.83,52.5,16.67,0.0,0.0,0,1,0.14,97
0.99,1.684,4.621,33796.096,353.854,0.79,487.959,12.5,9.17,0.0,933609.33,3674035.33,12166.67,390677.33,52.0,66.33,63.0,212.0,3231.5,5791.83,35.17,49.33,15.5,0.0,0.0,0,4,0.23,96
0.96,2.365,15.569,13925.376,362.774,0.72,391.842,12.65,7.67,0.5,1815097.33,3309456.67,12468.0,395120.67,65.33,120598.33,313.17,120736.67,5108.5,7926.83,25.33,58.33,17.0,0.0,0.0,0,3,0.34,95
0.89,1.927,4.995,35068.928,344.375,0.75,350.916,16.63,8.5,0.0,903527.33,5125518.67,12829.33,395766.0,27.33,67.83,55.67,212.83,3570.0,6653.0,29.17,54.67,16.17,0.0,0.0,0,4,0.24,96
0.9,1.872,4.452,37852.16,366.308,0.74,370.324,16.78,8.0,0.17,902293.33,4299355.33,13171.33,398388.67,36.0,67.67,47.0,235.33,3519.83,6691.17,30.5,53.67,15.83,0.0,0.0,0,4,0.2,96
