r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%)
8.8,0.2,2430.4,2504978.4,184126.4,3247927.2,0.0,48.8,0.0,22786.4,14522.2,26244.2,49.4,47.4,3.0,0.2,0.0
8.4,0.8,2584.0,1870921.6,185161.6,3243254.4,0.0,0.0,6.4,18007.2,11677.4,20885.2,27.4,70.0,2.2,0.6,0.0
10.2,0.6,663184.0,1106916.8,42588.8,678120.0,712.0,32571.2,6548.6,51562.4,11525.8,19782.4,31.2,66.2,2.0,0.2,0.0
7.8,0.2,952857.6,1851272.0,58347.2,567879.2,4101.6,9744.8,6158.6,29101.6,12432.8,21565.6,29.6,68.0,2.4,0.4,0.0
8.6,0.8,1071908.8,3145742.4,57594.4,489528.0,1763.2,0.0,3104.0,19120.0,11355.2,19643.8,35.4,62.0,2.4,0.2,0.0
7.0,0.6,1076455.2,1123470.4,92920.0,482674.4,492.0,10068.0,1298.8,27748.8,9875.0,17439.8,36.6,61.0,2.4,0.2,0.0
7.0,0.4,1108752.8,2267728.0,100681.6,490712.0,1072.0,2012.8,1153.2,20951.2,11387.0,19792.2,35.8,61.0,3.0,1.0,0.0
8.0,0.0,1054946.4,2283654.4,118393.6,498652.0,144.8,0.0,160.8,17190.4,10291.8,17901.8,34.8,62.2,3.0,0.4,0.0
8.8,0.2,1053207.2,1801866.4,128269.6,519296.8,284.0,0.0,284.0,17477.6,10246.4,17645.2,33.6,64.2,2.0,0.4,0.0
9.2,0.2,1051511.2,3353374.4,132888.8,522452.0,352.8,0.0,353.6,20212.0,10948.0,19433.0,33.0,63.4,3.2,0.6,0.0
8.6,0.4,1050016.8,3777537.6,135152.0,525368.0,469.6,0.0,532.8,19593.6,11326.6,19867.8,35.4,60.4,3.4,0.6,0.0
6.8,0.2,1048477.6,4339283.2,136045.6,532512.8,340.8,0.0,347.2,21208.0,11565.6,21078.8,37.4,59.2,3.2,0.6,0.0
9.4,0.0,1047133.6,4638439.2,136439.2,531204.8,592.8,0.0,592.8,20360.8,11020.4,19999.0,32.8,64.8,2.2,0.0,0.0
8.0,0.0,1046004.8,4874114.4,136628.8,531281.6,263.2,0.0,380.8,19692.8,11076.6,19880.6,38.4,59.4,2.0,0.2,0.0
10.2,0.2,1044480.8,4745982.4,136775.2,537010.4,461.6,0.0,617.4,20510.4,11555.6,20388.4,36.2,60.4,3.4,0.4,0.0
6.8,0.4,1042718.4,4615172.0,136824.8,535417.6,416.0,0.0,448.8,17338.4,11460.0,20103.0,36.4,58.8,3.8,0.6,0.0
7.6,0.2,1041144.8,4893284.0,136850.4,536636.0,533.6,0.0,559.2,19681.6,12193.4,20612.2,37.8,58.4,3.4,0.6,0.0
7.0,0.4,1039504.8,4690048.0,136870.4,535547.2,369.6,0.0,369.6,18441.6,9890.6,17962.6,36.2,59.6,4.0,0.2,0.0
