ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
0.59,5.848,30.732,1648.64,179.166,1.48,227.569,11.79
0.74,5.489,35.106,7869.44,179.352,1.68,250.036,12.26
0.80,4.093,27.136,50594.816,282.291,1.07,340.16,12.27
0.64,4.476,31.589,46928.896,195.510,1.45,243.27,13.72
0.74,4.467,28.117,52071.424,220.528,1.11,268.926,14.47
0.79,4.759,32.489,39175.168,223.465,1.22,285.761,12.87
0.81,5.284,26.934,46036.992,231.605,1.10,291.583,13.08
0.79,4.793,35.725,35783.68,219.183,1.15,274.957,12.81
0.81,5.325,35.895,40224.768,217.584,1.18,276.46,12.73
0.81,5.640,25.521,47476.736,236.397,1.09,296.914,13.04
0.79,5.634,28.174,46212.096,233.272,1.15,291.48,13.22
0.82,5.461,32.943,41622.528,226.833,1.15,285.492,12.99
0.84,5.159,32.227,31758.336,227.388,1.11,285.956,12.65
0.79,5.307,24.279,39718.912,213.925,1.21,266.041,13.37
0.81,5.666,22.697,43677.696,219.279,1.17,274.929,13.22
0.79,6.056,23.400,42017.792,216.403,1.17,274.519,13.23
0.90,5.323,19.639,23960.576,203.977,1.16,330.782,9.92
0.87,5.728,19.688,35461.12,196.641,1.22,334.337,9.89
0.79,3.692,33.262,11568.128,183.257,1.23,227.713,10.41
0.91,4.017,26.364,14745.6,206.975,1.18,321.442,8.03
1.01,5.448,22.148,26573.824,205.447,1.17,435.499,7.05
1.02,5.128,25.778,29010.944,212.110,1.11,411.617,7.52
0.96,4.204,35.881,16240.64,193.535,1.32,376.7,7.26
1.15,5.488,27.360,23155.712,245.251,0.95,450.168,6.56
1.25,5.220,25.399,15747.072,297.437,0.84,591.756,5.14
1.30,5.363,28.998,12475.392,314.237,0.77,626.959,4.86
1.32,5.482,26.687,12981.248,309.220,0.74,616.821,4.80
1.20,5.413,28.838,18008.064,313.765,0.75,472.598,6.18
1.17,5.393,30.645,19995.648,327.349,0.76,414.49,7.18
0.50,6.249,33.194,1378.304,141.689,1.56,184.463,11.88
0.74,3.962,38.474,37689.344,242.970,1.24,290.967,11.71
0.70,4.048,32.378,50908.16,202.198,1.11,244.248,14.24
0.73,4.350,32.642,41274.368,215.250,1.53,265.267,12.45
0.78,5.418,26.339,51168.256,221.014,1.04,282.618,12.86
0.77,5.675,22.920,48892.928,217.921,0.98,278.111,13.23
0.76,5.951,23.690,53628.928,214.299,1.01,271.514,13.57
0.77,5.644,31.056,50620.416,213.365,1.26,270.241,12.98
0.77,5.942,33.395,54723.584,217.456,1.03,274.441,13.45
0.78,6.267,34.527,51738.624,216.807,1.04,274.679,13.52
0.79,5.681,40.336,49509.376,218.155,1.19,280.342,12.68
0.76,5.721,37.985,55471.104,208.405,1.04,262.06,13.86
0.78,5.944,30.517,56002.56,205.942,1.09,275.792,13.12
0.77,6.121,35.110,48964.608,207.047,1.13,260.376,13.76
0.87,5.970,37.126,46568.448,199.053,1.19,353.787,9.69
0.83,6.100,29.334,40182.784,188.184,1.16,304.697,10.85
1.08,5.929,32.260,21098.496,180.762,1.18,473.816,6.05
1.02,5.805,37.127,34593.792,176.029,1.30,460.079,6.44
1.06,6.272,27.353,37302.272,217.029,1.09,482.178,6.64
1.11,6.030,40.768,29587.456,228.957,0.99,469.102,6.52
1.11,5.997,33.330,39097.344,250.116,0.92,465.779,6.92
1.10,6.338,34.806,38320.128,247.003,0.88,457.69,6.97
1.30,5.681,48.106,16300.032,276.221,0.81,572.1,4.83
1.27,5.710,34.671,20934.656,277.311,0.78,561.461,5.01
1.39,5.927,45.331,15499.264,319.578,0.69,694.449,4.25
1.42,5.345,41.521,12711.936,325.836,0.75,683.559,4.03
1.27,5.321,38.392,14409.728,312.821,0.74,600.556,4.80
1.33,5.834,38.953,26274.816,377.216,0.57,456.342,6.25
1.15,4.830,49.322,19491.84,311.192,0.74,396.736,6.76
0.32,6.278,20.072,1143.808,89.415,1.62,116.753,12.74
0.70,4.217,48.807,32356.352,268.209,1.30,316.575,11.02
0.62,2.935,30.563,26129.408,138.047,1.22,168.756,13.31
