stress-vm,stress-cpu(%),stress-io(%),avg-latency
7168M,50,10,.01050
6912M,50,10,.01214
6656M,50,10,.00465
6400M,50,10,.00438
6144M,50,10,.00418
5888M,50,10,.00546
5632M,50,10,.00456
5376M,50,10,.00417
5120M,50,10,.00234
4864M,50,10,.00370
4608M,50,10,.00537
4352M,50,10,.00816
4096M,50,10,.00416
3840M,50,10,.00471
3584M,50,10,.00876
3328M,50,10,.00475
3072M,50,10,.00392
2816M,50,10,.00439
2560M,50,10,.00577
2304M,50,10,.00801
2048M,50,10,.00807
1792M,50,10,.00394
1536M,50,10,.00342
1280M,50,10,.00523
1024M,50,10,.00458
768M,50,10,.00767
512M,50,10,.00841
256M,50,10,.00400
4K,30,10,.00361
7168M,30,10,.00532
6912M,30,10,.03307
6656M,30,10,.02850
6400M,30,10,.00344
6144M,30,10,.00328
5888M,30,10,.00368
5632M,30,10,.00349
5376M,30,10,.00277
5120M,30,10,.00332
4864M,30,10,.00674
4608M,30,10,.00796
4352M,30,10,.00566
4096M,30,10,.00590
3840M,30,10,.00415
3584M,30,10,.00336
3328M,30,10,.00313
3072M,30,10,.00465
2816M,30,10,.00673
2560M,30,10,.05919
2304M,30,10,.00621
2048M,30,10,.00550
1792M,30,10,.00388
1536M,30,10,.00663
1280M,30,10,.00614
1024M,30,10,.00509
768M,30,10,.00442
512M,30,10,.00535
256M,30,10,.01037
4K,10,10,.00378
7168M,10,10,.00424
6912M,10,10,.08345
6656M,10,10,.01627
6400M,10,10,.00497
6144M,10,10,.01417
5888M,10,10,.00482
5632M,10,10,.00564
5376M,10,10,.00654
5120M,10,10,.00540
4864M,10,10,.00274
4608M,10,10,.00767
4352M,10,10,.00397
4096M,10,10,.00455
3840M,10,10,.00483
3584M,10,10,.00579
3328M,10,10,.00464
3072M,10,10,.00415
2816M,10,10,.00492
2560M,10,10,.00521
2304M,10,10,.00686
2048M,10,10,.00672
1792M,10,10,.00571
1536M,10,10,.00472
1280M,10,10,.00589
1024M,10,10,.00433
768M,10,10,.00875
512M,10,10,.00598
256M,10,10,.00348
4K,0,10,.00547
7168M,0,10,.01715
6912M,0,10,.06303
6656M,0,10,.02563
6400M,0,10,.00446
6144M,0,10,.00541
5888M,0,10,.00784
5632M,0,10,.00360
5376M,0,10,.00526
5120M,0,10,.00601
4864M,0,10,.00473
4608M,0,10,.00464
