ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency
0.74,3.795,34.684,34437.12,172.838,1.14,222.751,12.86,8.8,0.6,917896.8,946262.4,94986.4,345524.0,908.0,1698.4,2676.0,18718.4,8797.8,16533.6,30.2,60.4,8.6,0.8,0.0,0.41
0.79,4.637,32.357,42318.848,193.956,1.0,249.472,12.74,7.6,0.2,865523.2,3210157.6,112383.2,342459.2,63.2,0.0,1128.0,19017.6,11361.0,19071.6,30.0,58.4,10.6,1.6,0.0,0.29
0.77,4.532,31.346,44989.44,188.373,1.08,239.132,12.88,7.2,0.0,865205.6,2923905.6,128067.2,349500.8,92.0,0.0,1203.6,17616.8,9752.0,17851.6,30.4,58.8,9.4,1.2,0.0,0.46
0.78,4.562,29.778,50780.16,198.534,1.02,250.884,12.75,5.2,0.2,864923.2,3541852.8,135156.0,350094.4,49.6,0.0,80.8,16912.0,9525.0,18155.2,31.0,58.0,9.4,1.4,0.0,0.24
0.69,2.81,49.377,29407.232,177.868,1.24,207.263,11.93,9.0,2.2,929396.8,275841.6,58935.2,198800.0,528.0,32302.4,11545.6,41680.0,8413.4,12376.6,11.2,79.4,5.4,3.6,0.0,0.32
0.72,3.747,38.772,42257.408,219.553,1.27,272.724,12.11,7.0,0.8,887619.2,872523.2,34121.6,343417.6,790.4,19048.8,25933.6,33174.4,10747.6,16609.4,19.0,72.6,6.8,1.6,0.0,0.48
0.8,4.713,27.095,37858.304,221.217,1.25,280.002,10.93,4.0,1.2,867720.0,1863558.4,28446.4,256174.4,153.6,4656.8,24335.4,20562.4,11259.4,19297.6,19.0,67.6,10.8,3.4,0.0,0.34
0.7,4.367,27.398,37105.664,158.158,0.99,204.014,13.11,5.6,0.4,874967.2,1925279.2,77144.0,374603.2,356.8,3863.2,15889.4,20105.6,10779.4,18668.8,18.2,64.6,13.6,3.6,0.0,0.54
0.75,5.858,19.651,45687.808,189.406,1.22,242.085,13.87,6.8,0.0,879410.4,2606227.2,105197.6,380475.2,1063.2,0.0,8865.0,21196.0,13873.6,23511.4,21.2,61.8,14.4,2.6,0.0,0.25
0.71,5.692,12.607,50956.288,168.473,1.36,215.92,13.51,5.0,0.4,875826.4,3290445.6,128408.8,432657.6,443.2,0.0,5081.0,18724.8,12842.4,22886.6,20.4,60.6,16.6,2.8,0.0,0.43
0.72,6.138,13.042,52820.992,165.795,0.95,209.571,14.12,4.4,0.0,806436.0,4039673.6,136840.0,450034.4,195.2,0.0,302.4,22228.8,12687.4,24657.2,25.2,53.8,18.0,3.0,0.0,0.27
0.7,3.005,32.184,26187.776,196.184,1.37,232.937,11.86,7.4,1.8,898253.6,220796.8,42487.2,223141.6,92.0,53139.2,19070.6,62507.2,11264.4,12874.6,9.2,79.6,6.8,4.4,0.0,0.36
0.62,6.218,10.139,65445.888,141.846,1.09,177.032,15.68,6.6,0.6,845712.0,3710136.8,63496.8,419456.0,346.4,0.0,19011.4,20031.2,12318.0,24245.8,18.2,57.6,19.8,4.6,0.0,0.47
0.75,5.287,18.658,47745.024,202.825,1.23,254.962,11.6,5.6,0.4,858814.4,2970483.2,43077.6,245764.8,65.6,3660.8,15040.4,20744.0,11337.6,20667.2,14.0,67.2,15.8,2.8,0.0,0.4
0.7,4.146,34.866,18902.016,170.783,1.06,222.751,11.64,5.2,0.4,1004978.4,1209973.6,80238.4,360557.6,268.8,69046.4,15570.4,83658.4,15240.2,17717.0,8.0,75.4,12.4,4.4,0.0,0.46
0.65,5.94,14.901,55403.52,148.708,0.93,188.144,14.76,3.0,0.4,844640.0,4508860.0,103544.0,355443.2,2214.4,0.0,3658.4,19989.6,12315.6,23402.0,19.0,60.2,17.4,3.6,0.0,0.34
0.67,6.018,11.077,53959.68,148.94,0.83,192.121,13.77,5.2,0.2,844164.0,4207984.0,128289.6,361057.6,129.6,0.0,722.4,20540.0,12835.6,24211.0,18.8,57.6,19.8,3.8,0.0,0.29
0.64,5.765,27.391,60908.544,146.385,0.85,184.595,15.14,5.0,0.0,843722.4,4359706.4,137016.8,376977.6,608.8,0.0,1134.2,22164.8,11072.8,22362.0,19.2,60.2,19.2,2.0,0.0,0.46
0.79,4.139,28.529,41400.32,227.105,1.42,280.484,11.88,7.2,0.8,847754.4,1055968.0,105664.0,304464.0,757.6,2870.4,3108.0,19002.4,11203.6,18821.8,31.2,63.2,4.6,1.0,0.0,0.41
0.79,3.763,30.396,38928.384,217.356,1.24,267.136,11.78,8.2,0.0,845573.6,916393.6,44683.2,355048.8,222.4,3341.6,17693.6,18469.6,10691.2,17887.0,31.4,63.2,4.4,1.0,0.0,0.37
0.81,4.681,24.531,37935.104,223.654,1.41,286.519,11.99,8.4,0.2,878324.0,890142.4,51340.0,329088.0,385.6,3950.4,15930.0,20577.6,10968.6,18779.6,32.0,62.6,4.4,1.0,0.0,0.37
0.85,5.042,26.447,42786.816,224.916,1.12,284.895,12.28,6.2,0.2,888018.4,2368983.2,75246.4,390105.6,177.6,0.0,15059.0,18986.4,11350.6,20462.8,36.0,56.8,6.0,1.0,0.0,0.35
0.82,4.426,31.005,37736.448,226.943,1.15,288.511,12.16,7.0,0.8,915102.4,1653847.2,111657.6,412904.0,721.6,23353.6,2073.2,40544.0,11606.2,19006.4,35.0,57.6,6.6,1.2,0.0,0.29
0.81,4.532,29.059,29356.032,210.087,1.26,267.175,11.74,7.2,0.4,933514.4,1897388.0,125388.8,438291.2,2916.8,44101.6,3981.6,61037.6,12346.4,19563.8,34.8,58.2,5.4,1.6,0.0,0.32
0.88,5.238,27.165,31599.616,240.595,1.08,305.246,11.82,6.6,0.2,854893.6,2762147.2,131986.4,444728.0,580.0,0.0,1535.8,19459.2,11149.0,20741.2,36.6,57.0,5.8,0.6,0.0,0.27
0.76,3.348,36.473,33134.592,198.621,1.39,239.092,11.78,8.0,0.6,883158.4,493473.6,80498.4,304585.6,180.0,25800.8,9558.4,38152.0,10403.2,15272.8,21.8,69.8,6.0,2.0,0.0,0.65
0.69,3.66,26.36,37264.384,162.384,1.32,200.913,13.01,7.2,0.4,833534.4,1653185.6,50494.4,468304.8,504.8,527.2,17651.8,13232.8,9164.0,15394.2,28.4,62.6,7.4,1.6,0.0,1.12
0.73,4.147,25.41,43308.032,195.101,1.04,248.4,12.99,7.2,0.8,862786.4,1742944.8,48667.2,353336.8,155.2,1998.4,12990.4,18732.0,9416.4,16413.4,25.4,65.2,8.2,1.4,0.0,0.31
0.78,4.828,25.513,37540.864,191.646,1.1,241.5,12.83,7.6,0.4,865428.8,3457883.2,84890.4,352420.8,364.0,0.0,7957.0,17179.2,10437.6,19028.6,31.4,57.0,10.4,1.6,0.0,0.41
0.8,4.588,29.256,41003.008,197.192,1.49,257.094,11.48,7.4,0.8,863790.4,2229813.6,114359.2,390284.0,400.0,0.0,2671.8,17876.0,10051.4,18624.2,28.2,61.0,9.2,1.4,0.0,0.45
0.82,4.282,24.151,36424.704,193.344,1.01,244.577,12.48,6.0,0.4,863483.2,2198035.2,126891.2,413528.8,589.6,0.0,903.2,15351.2,9768.4,16979.0,31.2,58.2,9.4,1.2,0.0,0.32
0.77,4.336,28.683,36454.4,165.029,1.14,212.026,12.79,6.2,0.0,862971.2,2911540.8,132018.4,413864.8,86.4,0.0,149.6,16568.0,9877.2,18090.2,31.4,55.4,12.2,1.4,0.0,0.28
0.7,3.359,21.521,37146.624,190.679,1.02,218.244,13.16,7.8,0.0,873805.6,815160.8,85533.6,295519.2,312.0,21130.4,4552.2,33253.6,10436.6,15722.8,14.0,70.4,11.4,4.2,0.0,0.45
0.67,3.499,21.694,42629.12,174.768,1.04,207.871,12.99,6.4,0.0,855482.4,1314216.0,47846.4,374128.8,136.0,1520.8,14149.8,15167.2,9238.2,16047.8,15.6,68.6,13.6,2.2,0.0,0.37
0.7,3.555,26.875,38171.648,190.15,1.0,244.993,11.52,7.2,0.4,937791.2,831352.0,25003.2,286406.4,1708.8,12412.8,22848.4,24116.0,9265.0,14382.6,18.2,68.0,8.4,5.2,0.0,0.78
0.69,4.67,15.395,51161.088,167.573,0.93,212.584,13.24,4.0,0.6,948389.6,2715196.0,61077.6,335756.8,624.0,1033.6,15666.0,16792.8,9943.4,18030.8,20.0,62.8,15.0,2.2,0.0,0.4
0.68,5.253,13.16,49510.4,155.475,0.92,198.945,13.79,5.2,0.0,946117.6,3084272.8,105248.0,342876.0,150.4,0.0,4885.6,17499.2,11270.8,20863.2,20.8,58.8,17.8,3.0,0.0,0.73
0.75,5.093,12.151,36208.64,168.255,0.85,212.48,13.28,5.6,0.4,942892.0,2626394.4,126163.2,372996.0,488.8,0.0,1897.6,18616.0,11543.0,20995.4,21.6,58.6,17.8,2.2,0.0,0.26
0.69,4.875,18.301,41455.616,147.153,1.05,185.78,13.54,5.2,0.2,942380.0,3826601.6,135206.4,376261.6,112.8,0.0,1141.6,18578.4,10156.0,19523.0,21.6,59.4,17.6,1.2,0.0,0.23
0.63,3.037,48.722,32790.528,168.981,1.11,196.347,12.16,5.4,1.0,933637.6,391776.8,59388.0,232516.8,117.6,46864.0,13312.4,56400.8,10519.4,13820.4,6.2,77.2,10.2,6.4,0.0,0.52
0.63,2.808,34.133,34321.408,160.043,1.04,189.84,12.25,4.6,0.0,894704.8,568106.4,26433.6,303248.0,1277.6,30328.8,22305.4,40372.8,9869.6,12962.4,7.0,79.0,9.0,4.8,0.0,0.52
0.59,3.019,84.411,23831.552,155.245,1.05,190.647,12.59,6.6,0.4,982416.8,261788.8,20328.8,234048.0,3328.8,22084.0,28717.0,32005.6,8992.6,12701.6,11.2,80.2,4.2,4.0,0.0,0.6
