stress-vm,stress-cpu(%),stress-io(%),avg-latency(ms)
2560M,0,20,1.039486
2304M,0,20,1.067724
2048M,0,20,1.065598
1792M,0,20,1.234699
1536M,0,20,1.076345
1280M,0,20,1.167275
1024M,0,20,1.189166
768M,0,20,1.079014
512M,0,20,1.316777
256M,0,20,1.376899
7168M,50,10,2.904174
6912M,50,10,2.044031
6656M,50,10,1.701096
6400M,50,10,1.916151
6144M,50,10,1.545441
5888M,50,10,1.445571
5632M,50,10,1.511464
5376M,50,10,1.453916
5120M,50,10,1.662628
4864M,50,10,1.533761
4608M,50,10,1.423614
4352M,50,10,1.519409
4096M,50,10,1.406228
3840M,50,10,1.684413
3584M,50,10,1.515913
3328M,50,10,1.585133
3072M,50,10,1.611133
2816M,50,10,2.077277
2560M,50,10,1.649701
2304M,50,10,1.480474
2048M,50,10,1.625644
1792M,50,10,1.288668
1536M,50,10,1.504883
1280M,50,10,1.756664
1024M,50,10,1.571597
768M,50,10,1.288495
512M,50,10,1.519887
256M,50,10,1.482513
7168M,30,10,2.312796
6912M,30,10,2.154876
6656M,30,10,1.457210
6400M,30,10,1.919762
6144M,30,10,1.336797
5888M,30,10,1.222588
5632M,30,10,1.189914
5376M,30,10,1.412500
5120M,30,10,1.643100
4864M,30,10,1.504344
4608M,30,10,1.400435
4352M,30,10,1.561212
4096M,30,10,1.390883
3840M,30,10,1.405195
3584M,30,10,1.375090
3328M,30,10,1.227414
3072M,30,10,1.474676
2816M,30,10,1.527057
2560M,30,10,1.500966
2304M,30,10,1.306606
2048M,30,10,1.536010
1792M,30,10,1.484092
1536M,30,10,1.679739
1280M,30,10,1.384855
1024M,30,10,1.393559
768M,30,10,1.360363
512M,30,10,1.326506
256M,30,10,1.251667
7168M,10,10,1.844228
6912M,10,10,1.657474
6656M,10,10,1.630995
6400M,10,10,1.429232
6144M,10,10,1.491870
5888M,10,10,1.541213
5632M,10,10,1.550406
5376M,10,10,1.321332
5120M,10,10,1.408674
4864M,10,10,1.441906
4608M,10,10,1.349282
4352M,10,10,1.559653
4096M,10,10,1.670473
3840M,10,10,1.443138
3584M,10,10,1.349557
3328M,10,10,1.270421
3072M,10,10,1.358982
2816M,10,10,1.548053
2560M,10,10,1.246001
2304M,10,10,1.344029
2048M,10,10,1.546480
1792M,10,10,1.228012
1536M,10,10,1.237939
1280M,10,10,1.515410
1024M,10,10,1.366626
768M,10,10,1.307076
512M,10,10,1.415023
256M,10,10,1.442520
7168M,0,10,1.586662
6912M,0,10,1.429585
6656M,0,10,1.210487
6400M,0,10,1.356659
6144M,0,10,1.196245
5888M,0,10,1.079073
5632M,0,10,1.242904
5376M,0,10,1.246428
5120M,0,10,1.124899
4864M,0,10,1.054740
4608M,0,10,1.263628
4352M,0,10,1.120854
4096M,0,10,1.009883
3840M,0,10,1.162799
3584M,0,10,1.321509
3328M,0,10,1.239162
3072M,0,10,1.191870
2816M,0,10,1.283826
2560M,0,10,1.135620
2304M,0,10,1.491055
2048M,0,10,1.246474
1792M,0,10,1.241068
1536M,0,10,1.600058
1280M,0,10,1.162123
1024M,0,10,1.115290
768M,0,10,1.017442
512M,0,10,1.108509
256M,0,10,1.185781
7168M,50,1,2.315061
6912M,50,1,2.216459
6656M,50,1,1.651930
6400M,50,1,1.795504
6144M,50,1,1.730742
5888M,50,1,1.772032
5632M,50,1,1.448408
5376M,50,1,1.654710
5120M,50,1,1.736129
4864M,50,1,1.655769
4608M,50,1,1.564194
4352M,50,1,1.574363
4096M,50,1,1.586988
3840M,50,1,1.643439
3584M,50,1,1.769590
3328M,50,1,1.874773
3072M,50,1,1.627042
2816M,50,1,1.539912
2560M,50,1,1.648014
2304M,50,1,1.473142
2048M,50,1,1.351540
1792M,50,1,1.328121
1536M,50,1,1.560069
1280M,50,1,1.677162
1024M,50,1,1.778371
768M,50,1,1.441511
512M,50,1,1.596145
256M,50,1,1.774352
7168M,30,1,2.474784
6912M,30,1,2.284865
6656M,30,1,1.726099
6400M,30,1,1.643981
6144M,30,1,1.444364
5888M,30,1,1.434298
5632M,30,1,1.414179
5376M,30,1,1.477632
5120M,30,1,1.236583
4864M,30,1,1.445295
4608M,30,1,1.279202
4352M,30,1,1.390677
4096M,30,1,1.775607
3840M,30,1,1.447033
3584M,30,1,1.444461
3328M,30,1,1.522510
3072M,30,1,1.916919
2816M,30,1,1.603798
2560M,30,1,1.362739
2304M,30,1,1.399606
2048M,30,1,1.616057
1792M,30,1,1.471179
1536M,30,1,1.572734
1280M,30,1,1.378572
1024M,30,1,1.326836
768M,30,1,1.384642
512M,30,1,1.386138
256M,30,1,1.600036
7168M,10,1,1.706795
6912M,10,1,1.442915
6656M,10,1,1.266148
6400M,10,1,1.272121
6144M,10,1,1.173589
5888M,10,1,1.276923
5632M,10,1,1.165001
5376M,10,1,1.347430
5120M,10,1,1.172749
4864M,10,1,1.185750
4608M,10,1,1.239773
4352M,10,1,1.247052
4096M,10,1,1.714835
3840M,10,1,1.323475
3584M,10,1,1.454340
3328M,10,1,1.347959
3072M,10,1,1.314454
2816M,10,1,1.554013
2560M,10,1,1.257936
2304M,10,1,1.514582
2048M,10,1,1.380263
1792M,10,1,1.248598
1536M,10,1,1.317630
1280M,10,1,1.316184
1024M,10,1,1.274113
768M,10,1,1.617128
512M,10,1,1.435394
256M,10,1,1.757560
7168M,0,1,1.680498
6912M,0,1,1.721709
6656M,0,1,1.460686
6400M,0,1,0.950339
6144M,0,1,1.084155
5888M,0,1,1.278590
5632M,0,1,1.244276
5376M,0,1,1.302959
5120M,0,1,1.042871
4864M,0,1,1.098809
4608M,0,1,1.134632
4352M,0,1,1.107876
4096M,0,1,1.242281
3840M,0,1,1.204205
3584M,0,1,1.272368
3328M,0,1,1.264655
3072M,0,1,1.175119
