ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency
0.82,4.585,28.437,13912.064,157.17,1.94,305.199,8.5,9.2,0.4,721368,4802676,150028,772259.2,64.8,0,91.2,17840,11413.2,18857.4,46.2,51.6,1.8,0.2,0,0.29
1.03,4.854,19.763,19753.984,238.041,1.13,398.225,7.48,8.8,0.6,720600,5407888.8,150082.4,763834.4,12.8,0,12.8,19927.2,11462.4,19781.8,47,51.2,1.6,0,0,0.39
1.11,4.552,18.639,9505.792,244.376,1.05,433.614,6.34,8.4,0.2,801233.6,5616726.4,150352,760209.6,7.2,28985.6,72,46739.2,12130.6,18319,48.8,48,2.2,1,0,0.54
0.67,5.182,17.48,1234.944,173.085,1.57,221.351,11.66,7,0.2,720588,6124932.8,150365.6,760271.2,5.6,22.4,44.8,22133.6,12427.4,21355.8,58.2,39.4,2.4,0,0,0.36
0.8,4.251,26.41,42016.768,228.791,1.29,285.649,12.24,9.8,0.4,720588,986076,121287.2,618263.2,5.6,236,5101.4,20511.2,10891.2,19187.2,35,60.2,4.6,0.6,0,0.19
0.85,5.009,24.497,41075.712,235.994,1.14,298.754,12,8.6,0,828846.4,1936468.8,79092.8,392235.2,154.4,0,13910,20432.8,11407.2,19840.6,38.8,57.2,3.6,0.4,0,0.45
0.85,5.017,25.265,36702.208,228.866,1.14,288.549,12.15,8.2,0.2,827924.8,2955446.4,114544.8,404404.8,96,0,1575.8,21348.8,11056.8,19982.2,37,58.2,4.6,0.4,0,0.21
0.84,4.326,23.669,30669.824,210.178,1.45,263.544,11.92,7.8,0.4,826440,2913944,128497.6,419248,28.8,0,2121.8,18001.6,9568.2,17077.2,38.8,57.4,3.6,0.4,0,0.15
0.86,4.946,23.645,33665.024,219.279,1.19,279.686,11.84,9.6,0.8,825979.2,3707152.8,133532,436339.2,18.4,0,252.8,19830.4,10947,19519.2,41.4,54.6,3.4,0.6,0,0.35
0.83,4.821,24.227,32555.008,211.803,1.22,267.494,12.6,7.4,1,825928,4778445.6,136032.8,438557.6,30.4,0,30.4,21224.8,11671.8,20291.4,43.2,52.4,4.4,0.6,0,0.29
0.82,4.772,21.28,38683.648,213.057,1.17,261.806,12.81,7,1,825160,5198128,137000,443259.2,7.2,0,292,19441.6,10814.6,18623.4,40.4,55,4.2,0.4,0,0.27
0.83,4.946,22.486,32561.152,210.274,1.21,264.589,12.4,9.4,0,825160,5269697.6,137493.6,450256,12.8,0,126.6,22353.6,11100.8,19819,41.6,54.2,3.8,0.2,0,0.2
1.08,4.511,23.726,9692.16,185.83,1.31,435.692,6.44,8.2,0.2,825160,4240753.6,137709.6,448270.4,5.6,0,40,18333.6,10433.2,18000.2,48.8,47.6,3,0.6,0,0.33
1.03,5.009,22.061,25841.664,213.29,1.2,415.098,7.4,6.2,0.2,825160,5038816.8,137789.6,456004.8,4.8,0,30.4,21127.2,11790.4,20454.8,48.8,47.8,3.8,0.2,0,0.29
1.16,4.709,25.102,21079.04,256.932,0.99,452.417,6.55,8,0.4,824844,5473932,137860,451396,11.2,0,38.4,19736,10440.6,18617.8,52.4,43.8,3.6,0.2,0,0.73
1.28,5.197,21.551,6640.64,304.678,0.88,557.131,5.44,6.6,0.6,824076,5667477.6,138055.2,469451.2,1357.6,0,5057.8,20434.4,12196.6,21066.4,50.2,45.8,3.6,0.8,0,0.3
1.19,4.594,27.687,13102.08,279.239,0.9,496.247,5.84,6.6,0.2,811496,6074668,138072.8,472766.4,5.6,3328.8,33.6,23111.2,11647.6,19691.8,51.6,44.8,3,0.8,0,0.19
0.64,5.116,22.397,1527.808,174.239,1.57,219.464,11.25,9.2,0.2,808055.2,6503413.6,138098.4,469417.6,10.4,38.4,92,23266.4,11822.2,21163.6,55.2,41.2,3.4,0.2,0,0.31
0.77,4.651,31.695,47425.536,216.074,1.54,269.54,12.46,8.4,1,811845.6,1270007.2,121330.4,417103.2,11.2,2639.2,11671.4,23457.6,11353.8,20151.6,31.2,62.6,5.2,1.2,0,0.18
