r,b,交换,空闲,缓冲,缓存,si,so,bi,bo,in,cs,us,sy,id,wa,st
5.33,0.33,939526.67,4560150.00,10731.33,402436.00,90.67,143.17,375.17,299.67,4307.83,8023.50,43.00,42.17,14.83,0.00,0.00
5.83,0.00,1550065.33,4398010.00,11197.33,419700.67,707.33,150403.17,844.50,150930.50,5289.00,7601.17,25.67,59.33,14.83,0.00,0.00
6.67,0.00,1292828.67,4361346.00,11734.67,425111.33,88.00,50424.00,437.67,50557.17,4420.67,7886.83,29.33,55.50,15.33,0.00,0.00
6.00,0.00,1052380.00,3608073.33,12040.00,424688.00,66.67,70461.67,183.17,70745.50,4338.83,6558.00,32.83,52.00,15.17,0.00,0.00
6.33,0.00,1659422.00,2834402.67,12389.33,427620.67,47.17,116130.17,89.83,116263.50,4319.33,7109.33,27.67,57.83,14.67,0.00,0.00
6.17,0.17,923704.67,2412842.00,12922.67,430750.67,48.50,149.67,123.17,514.83,3295.67,5750.67,38.50,46.67,14.83,0.00,0.00
5.50,0.17,923332.67,2144661.33,13339.33,429884.67,55.83,149.50,112.33,436.17,4110.17,7277.00,37.33,48.00,14.67,0.17,0.00
6.00,0.00,1750974.00,731154.67,13714.67,429063.33,63.17,146261.83,125.00,146439.17,19441.33,48204.83,24.17,55.33,20.17,0.00,0.00
5.83,0.00,922680.00,2073462.00,13982.67,428324.67,41.83,152.00,62.33,267.17,23108.67,53983.67,23.33,57.33,19.00,0.17,0.00
7.50,0.33,923212.00,4353362.67,8782.00,310203.33,51.17,151.83,28444.67,651.17,18854.00,51383.83,24.00,56.33,19.33,0.50,0.00
10.17,1.17,1300081.33,1459686.00,5287.33,301622.67,16551.17,73288.50,55532.33,73469.83,15087.33,28389.17,12.67,71.33,14.33,1.67,0.00
9.00,2.17,1358706.00,105788.67,4452.00,241933.33,11938.33,125424.33,54816.67,126118.33,13017.17,28208.00,11.00,73.00,14.83,1.50,0.00
7.50,0.17,1029490.67,6423102.00,7912.00,387214.67,2992.33,195.17,17835.17,340.33,4914.50,8408.50,51.50,33.83,14.50,0.00,0.00
7.33,0.50,967437.33,6108482.00,9246.00,421490.00,1471.17,153.83,3150.17,310.50,4231.00,7504.83,41.67,43.67,14.67,0.00,0.00
7.33,0.00,1021236.67,5693731.33,9732.00,436798.67,129.83,42927.83,192.50,43358.33,4926.17,7505.83,39.33,46.33,14.50,0.00,0.00
7.00,0.67,939828.00,4970875.33,10334.00,440589.33,9101.17,154.17,11481.17,360.67,6424.17,10787.00,46.33,39.00,14.50,0.17,0.00
7.17,0.00,897374.67,4847766.67,10832.67,448088.00,69.83,154.00,92.00,548.00,2043.67,4779.83,51.00,34.67,14.50,0.00,0.00
7.17,0.17,1461664.67,4218892.67,11388.67,456669.33,296.50,85528.67,366.67,85695.33,4377.33,6904.67,37.17,48.33,14.50,0.00,0.00
6.50,0.00,873144.00,4164917.33,11917.33,460775.33,63.83,155.17,86.00,483.83,4331.00,8345.00,43.67,41.50,14.83,0.00,0.00
6.67,0.00,872674.67,3537731.33,12348.00,461193.33,77.17,155.17,99.17,330.50,3233.00,5912.00,50.00,35.83,14.50,0.00,0.00
6.83,0.17,872376.00,3209630.00,12670.67,460740.67,67.83,155.00,89.83,284.33,4172.00,7781.50,45.17,40.50,14.33,0.00,0.00
8.00,0.00,1598128.67,2614749.33,13118.67,466513.33,67.17,153365.33,104.50,153534.67,4969.50,7054.00,32.00,53.33,14.33,0.00,0.00
7.83,0.00,870184.00,3131957.33,13389.33,462034.67,58.50,157.17,196.50,290.33,3522.50,6461.33,41.00,44.50,14.50,0.00,0.00
7.00,0.00,869844.00,3186119.33,13760.00,462058.67,33.83,157.17,55.83,281.83,2911.33,5782.33,42.33,43.33,14.67,0.00,0.00
6.83,0.00,869716.00,3638152.67,14046.67,468705.33,44.50,157.00,72.50,273.67,3526.17,6720.33,37.67,48.00,14.50,0.00,0.00
6.83,0.50,869417.33,2785840.67,14432.67,468217.33,60.50,157.00,129.83,353.00,3966.17,7276.00,40.50,45.00,14.67,0.00,0.00
7.17,0.00,927796.00,4008152.67,8407.33,381434.00,541.83,157.00,16318.50,305.67,21417.33,53823.17,22.83,60.00,16.50,0.17,0.00
10.17,1.83,1375912.67,101940.67,4184.67,244574.00,1265.83,138701.00,38964.00,138900.33,11988.67,14428.67,13.33,72.17,14.00,0.83,0.00
8.67,0.00,891754.67,6364343.33,12858.00,363402.67,223.50,189.00,14661.67,1627.83,4889.83,8445.00,57.83,27.83,14.17,0.00,0.00
9.00,0.00,891382.67,5560184.00,17462.67,865394.00,488.17,158.50,16636.50,24128.00,4218.17,8010.00,54.67,30.83,14.00,0.17,0.00
7.83,0.00,888737.33,5111050.67,19149.33,1011838.00,394.83,158.33,605.67,300.17,23602.50,60740.00,32.67,51.00,16.17,0.00,0.00
7.67,0.00,967115.33,4753245.33,19594.67,1014190.67,113.50,14656.00,289.83,14817.17,4156.17,8142.50,44.33,41.33,14.17,0.00,0.00
9.83,0.33,1504314.00,3839956.67,20053.33,1014881.33,74.83,185584.83,344.67,185934.67,5021.00,6306.33,34.50,50.67,14.33,0.17,0.00
8.33,0.00,863601.33,4081108.00,20512.00,1021063.33,227.50,160.83,718.83,295.17,3503.00,6770.17,52.00,33.67,14.33,0.00,0.00
8.50,0.00,863388.00,3811050.00,20943.33,1021048.67,40.17,160.67,120.00,331.83,3832.00,7476.00,52.50,33.33,14.00,0.00,0.00
8.00,0.00,859009.33,2825446.00,21274.67,1020025.33,35.50,162.00,58.67,289.83,2968.33,5788.00,54.50,31.33,14.00,0.00,0.00
8.00,0.00,858790.67,2696906.67,21565.33,1020342.67,56.17,162.00,118.00,487.00,3011.83,5237.83,57.33,28.33,14.17,0.00,0.00
7.50,0.17,858498.00,3229566.00,21901.33,1023556.67,56.17,161.83,127.33,304.33,3884.50,7376.50,47.00,38.67,14.00,0.00,0.00
9.67,0.33,858199.33,3731126.67,22332.00,1023118.67,1074.17,161.83,2682.67,317.00,3845.00,6795.00,42.00,43.50,14.17,0.00,0.00
8.33,0.00,855292.00,3462892.00,22716.00,1039950.00,194.83,161.83,413.50,403.50,3040.83,5389.50,44.17,41.50,14.17,0.00,0.00
8.00,0.00,857828.00,3442665.33,22709.33,561501.33,56.17,304.33,1203.33,438.17,2872.17,6250.33,43.00,42.67,14.00,0.00,0.00
11.67,0.50,973328.67,1697456.00,3426.00,262452.00,19718.83,25451.67,62680.33,25594.00,8685.33,12388.50,24.83,58.83,14.17,1.50,0.00
13.67,0.33,1054831.33,136086.67,2135.33,255838.00,316.33,89211.00,33783.33,89392.17,7999.17,7347.67,17.00,68.00,14.17,0.83,0.00
9.17,0.33,1409794.00,692973.33,3950.00,249992.67,373.67,119622.00,17288.50,119764.50,8786.17,7453.17,27.17,57.50,14.83,0.33,0.00
10.33,0.33,934485.33,6379874.00,4633.33,311138.67,8469.17,186.17,16324.83,319.17,5943.17,10585.50,54.17,31.83,14.17,0.00,0.00
9.17,0.00,890504.00,6149470.67,4896.00,323556.67,151.83,164.33,519.17,303.50,4078.83,7563.17,54.67,31.67,14.00,0.00,0.00
8.83,0.33,914364.67,5627764.67,5319.33,342428.67,1691.83,21604.17,2691.83,21782.67,4026.17,6129.83,56.17,29.50,14.17,0.00,0.00
8.83,0.17,878822.67,5237050.00,5793.33,350419.33,147.83,165.00,375.50,269.50,4163.83,7677.67,56.83,29.17,14.00,0.00,0.00
8.50,0.17,872158.67,4945048.67,6063.33,352711.33,128.50,165.67,173.83,316.00,3061.50,5567.33,55.33,30.67,14.00,0.00,0.00
9.67,0.00,919632.00,4479495.33,6456.67,355468.67,768.50,33970.17,1797.17,34152.67,4682.17,7724.83,47.67,38.33,14.17,0.00,0.00
8.67,0.00,864710.67,3941665.33,6794.00,356991.33,91.83,166.67,157.83,363.17,3211.00,6114.67,54.33,31.67,14.17,0.00,0.00
9.17,0.00,1436368.67,3734250.67,7154.00,356270.00,35.83,119241.00,60.50,119417.33,5332.00,8610.17,40.83,45.33,14.17,0.00,0.00
8.83,0.00,1421735.33,3317270.67,7484.67,357519.33,65.17,127414.17,127.17,127563.33,14284.33,46948.67,33.17,52.83,14.33,0.00,0.00
9.50,0.00,860568.67,5408336.00,7813.33,355153.33,53.17,169.33,77.00,325.83,22908.33,51277.67,31.17,55.00,14.00,0.00,0.00
9.33,0.00,860346.00,3546666.67,8153.33,359113.33,80.50,169.33,117.00,351.00,14564.67,38207.17,34.67,51.17,14.17,0.17,0.00
8.67,0.00,860089.33,2299175.33,8507.33,357884.00,80.50,169.17,145.00,328.33,20832.00,52027.67,32.00,53.83,14.50,0.00,0.00
8.00,0.00,859904.67,3415329.33,8818.67,357786.00,57.83,169.17,81.67,323.00,23078.33,50246.17,27.17,58.50,14.50,0.00,0.00
9.00,0.00,859618.00,3515946.67,9201.33,360153.33,57.17,169.00,111.00,347.50,20495.00,53774.83,32.67,52.83,14.33,0.00,0.00
9.83,0.17,859656.00,1759945.33,9504.67,358629.33,63.83,316.33,137.67,442.17,16058.33,36848.83,33.00,52.83,14.00,0.00,0.00
8.00,0.00,860244.00,2060359.33,9960.00,361995.33,91.83,169.00,115.67,316.00,20000.67,57599.17,32.17,53.33,14.50,0.00,0.00
10.00,0.00,859127.33,6300823.33,10278.67,361974.00,75.17,190.33,99.00,292.00,26995.83,58729.17,31.67,54.50,13.83,0.00,0.00
9.50,0.17,878856.00,6130416.00,10597.33,362238.67,39.00,2792.33,62.83,2916.83,4520.67,8193.00,48.67,37.50,14.00,0.00,0.00
9.00,0.00,859508.00,5514934.00,10896.00,364270.67,32.33,170.17,56.17,312.67,2752.33,4765.83,54.50,31.83,13.83,0.00,0.00
9.83,0.17,859108.00,5318626.00,11196.67,365711.33,33.67,170.67,72.17,318.33,3508.50,7257.33,53.00,33.50,13.83,0.00,0.00
9.83,0.00,1263599.33,4709056.00,11594.00,363769.33,49.67,63069.17,155.50,63267.00,21305.67,50044.83,30.50,55.00,14.67,0.00,0.00
10.33,0.00,858416.00,4384723.33,11924.00,363486.00,44.33,172.33,77.50,288.83,3048.33,5525.83,50.00,35.83,14.17,0.00,0.00
11.00,0.00,858652.00,3807840.67,12213.33,362369.33,29.67,173.00,68.17,315.50,4552.17,8630.83,50.00,36.33,13.83,0.00,0.00
10.00,0.00,1522095.33,4004025.33,12485.33,362422.67,36.33,146839.17,60.17,146941.00,5078.50,7838.00,36.50,49.33,14.50,0.00,0.00
10.00,0.00,1465423.33,2546560.00,12737.33,364049.33,35.67,130577.17,59.33,130741.67,3844.17,5446.83,42.33,43.67,14.00,0.00,0.00
9.50,0.17,856667.33,4922145.33,13024.00,362876.00,45.67,177.00,69.33,284.17,3368.33,6468.67,45.00,41.00,13.83,0.00,0.00
9.50,0.00,856488.67,4669025.33,13337.33,365474.67,36.33,177.00,72.00,338.67,23249.33,52625.17,27.67,57.83,14.50,0.00,0.00
8.50,0.17,856231.33,4771959.33,13608.00,363245.33,59.67,176.83,83.33,302.67,21466.67,57493.67,29.67,55.00,15.33,0.00,0.00
9.67,0.00,856094.67,3270113.33,13886.67,363252.00,27.67,176.83,51.33,322.50,3208.00,5578.00,43.67,42.67,13.83,0.00,0.00
13.83,0.83,907109.33,904820.67,5243.33,217748.00,2361.00,23064.00,44309.67,23222.50,6542.33,9286.00,28.83,57.17,13.83,0.00,0.00
12.00,0.33,1021100.67,1169334.00,4351.33,263245.33,1482.33,35520.83,32853.50,35668.50,7306.33,10566.67,26.17,59.67,13.83,0.33,0.00
9.33,0.50,997440.00,2218947.33,8290.00,351006.67,501.00,177.50,16665.33,318.67,4397.67,7826.17,40.67,45.33,14.00,0.00,0.00
6.67,0.00,995690.67,6433201.33,9174.67,378199.33,406.33,224.67,652.00,357.83,4556.83,8534.83,41.67,43.17,15.00,0.00,0.00
7.83,0.17,976567.33,6110293.33,9533.33,402364.67,191.67,22022.83,343.50,22156.67,4703.50,7715.33,29.67,55.33,14.83,0.00,0.00
9.67,0.17,1087838.00,5697669.33,10002.67,404120.00,729.00,65713.50,1066.33,65872.67,5538.17,7599.50,24.17,60.17,15.33,0.17,0.00
7.33,0.33,910101.33,4975429.33,10316.00,413675.33,2786.33,177.83,4169.50,331.67,3829.67,6856.50,39.50,45.67,14.67,0.00,0.00
6.67,0.00,894352.00,4681688.67,10941.33,421422.67,124.33,178.50,246.17,315.67,3610.17,6730.50,34.67,50.17,15.17,0.00,0.00
7.17,0.00,894096.00,4693994.67,11288.00,422074.67,63.67,178.33,118.50,312.17,3857.83,6864.00,31.00,53.67,15.33,0.00,0.00
6.67,0.00,893584.00,4364860.00,11638.00,420658.00,51.00,178.33,104.83,316.17,3816.33,6934.17,31.17,53.50,15.50,0.17,0.00
6.00,0.17,886684.67,4196596.67,12106.67,422149.33,52.33,179.67,77.50,337.33,3259.33,6614.00,33.67,51.50,15.17,0.00,0.00
6.33,0.33,886048.67,3205624.00,12621.33,425829.33,317.67,179.50,658.17,360.67,3697.50,6613.50,37.67,47.50,14.67,0.17,0.00
8.17,0.00,1464251.33,3042883.33,13015.33,428070.67,222.33,126812.33,325.33,126956.17,4925.67,7407.50,22.33,62.67,15.17,0.00,0.00
6.83,0.17,883010.00,3344058.00,13334.67,428750.67,79.67,180.67,184.17,324.50,4096.83,7563.83,26.67,58.17,15.00,0.00,0.00
7.17,0.00,1568661.33,2081470.00,13744.00,426540.67,57.00,171629.50,81.33,171732.00,5378.33,7586.67,20.00,65.00,15.17,0.17,0.00
7.00,0.00,882096.00,3905717.33,14116.00,427854.00,40.33,182.00,84.00,363.83,3400.00,6615.50,25.67,59.17,15.00,0.17,0.00
7.33,0.83,1015009.33,3553013.33,4146.67,248657.33,5388.33,5893.33,47512.33,6106.50,8312.00,18578.00,14.83,69.17,14.50,1.50,0.00
11.00,1.17,1233936.67,678604.67,4916.67,275784.00,26048.33,65719.33,61262.33,65911.67,9774.67,12245.17,14.83,67.50,14.83,2.50,0.00
10.83,0.83,1368096.67,102173.33,4953.33,230401.33,1831.83,120778.33,43540.67,120958.00,9721.33,9515.33,11.33,73.17,13.83,1.17,0.00
7.67,0.17,995716.00,6505671.33,6874.00,314580.00,568.17,218.17,14549.67,367.33,3859.83,7197.50,44.83,40.33,14.67,0.33,0.00
8.17,0.17,995395.33,6221142.67,9334.00,357898.00,324.17,35475.67,512.50,35627.50,5608.83,7880.00,32.83,52.00,15.00,0.00,0.00
8.83,0.00,976868.00,5635504.67,9789.33,376227.33,1166.83,11329.83,2721.83,11501.67,5239.83,8409.00,43.50,41.67,14.50,0.17,0.00
7.50,0.17,898078.67,5068652.00,10203.33,384525.33,348.83,186.17,638.67,344.00,3887.00,7711.50,42.50,43.33,14.67,0.00,0.00
7.50,0.17,897694.67,4829666.00,10564.00,387539.33,92.83,186.00,136.67,367.83,3530.83,6713.50,42.17,43.83,14.00,0.00,0.00
8.50,0.00,892916.00,5070886.67,10905.33,387662.00,70.17,186.00,136.83,332.50,3073.83,6167.50,36.83,48.67,14.67,0.00,0.00
8.33,0.17,892913.33,3664407.33,11396.67,402613.33,530.83,1674.50,1586.83,1847.00,2734.50,5665.33,41.50,44.00,14.33,0.00,0.00
8.17,0.17,839667.33,3220685.33,11902.00,429206.67,44.83,187.17,325.33,364.33,3351.67,6091.00,44.00,42.00,14.00,0.00,0.00
7.67,0.00,839566.00,3389500.00,12237.33,427208.00,44.83,187.17,138.67,343.67,2944.33,5800.67,37.00,48.83,14.17,0.00,0.00
7.67,0.00,839319.33,2604442.67,12574.67,431512.00,98.17,187.00,129.83,332.83,2888.83,5368.67,40.50,45.17,14.33,0.00,0.00
7.33,0.00,839014.00,2774184.67,13091.33,430115.33,118.83,187.00,357.17,441.50,25381.33,60363.67,28.33,55.67,16.00,0.00,0.00
7.67,0.17,838662.67,3296577.33,13442.67,433079.33,57.50,186.83,102.50,313.33,3367.67,6544.00,34.17,51.17,14.33,0.00,0.00
7.67,0.00,838367.33,2827033.33,13734.67,433762.67,48.83,186.83,79.17,318.00,3937.00,7709.67,36.00,49.83,14.00,0.00,0.00
12.33,1.00,954143.33,864864.67,5525.33,269470.00,14544.83,45686.00,50162.67,45777.83,8442.33,11045.67,20.17,64.50,14.17,0.83,0.00
8.17,0.00,875308.00,3387684.67,8291.33,377892.67,57.67,187.00,8411.00,323.33,3657.33,6373.17,34.50,51.17,14.17,0.17,0.00
9.67,0.17,1313778.67,102607.33,7490.00,332972.00,10553.00,127180.33,12737.67,127374.17,10368.67,8378.33,17.67,67.17,14.50,0.67,0.00
8.50,0.33,941508.00,6436688.00,7204.00,316616.67,187.00,215.00,17109.83,350.17,4275.83,7819.00,50.33,35.83,14.00,0.00,0.00
9.17,0.17,939966.67,6187357.33,9053.33,356695.33,8893.00,188.50,11171.50,327.67,5509.33,9824.00,42.83,43.17,14.00,0.00,0.00
9.83,0.17,938814.67,5620131.33,9597.33,365636.67,195.67,188.50,826.67,319.50,3202.00,6788.17,47.67,38.83,13.67,0.00,0.00
8.83,0.17,1137944.00,5349016.00,9918.67,366774.67,117.00,80511.83,208.00,80640.33,4559.50,6862.33,38.67,47.50,13.83,0.00,0.00
8.17,0.00,1184281.33,4895688.67,10465.33,382094.67,41.67,124261.67,925.33,124446.83,5354.50,8191.50,38.50,47.50,14.00,0.17,0.00
9.00,0.00,959252.67,4337524.67,10852.00,385778.67,101.67,58899.17,251.17,59009.00,4933.33,7746.67,43.17,43.00,14.00,0.00,0.00
8.83,0.17,876492.00,3849844.67,11161.33,386055.33,61.00,191.00,87.33,335.50,3368.33,7037.50,49.33,37.00,13.83,0.00,0.00
8.50,0.17,875766.67,3289976.00,11605.33,391205.33,808.33,190.83,1237.50,366.67,4176.67,7831.17,45.67,40.83,13.83,0.00,0.00
9.17,0.00,870622.67,4085936.00,11944.00,395428.67,57.67,192.17,132.50,334.00,4123.67,8069.67,41.00,45.00,14.17,0.00,0.00
9.17,0.00,870360.67,4396544.67,12286.67,395572.67,59.67,192.17,136.50,330.50,3259.50,5951.83,41.00,45.17,14.00,0.00,0.00
9.17,0.00,870085.33,4569260.00,12738.67,395124.67,45.67,192.00,71.83,344.50,2680.50,4864.33,40.83,45.17,13.83,0.00,0.00
8.83,0.17,869829.33,3927350.67,12977.33,396456.00,49.67,191.83,83.83,313.67,3512.50,6545.33,45.50,41.00,13.67,0.00,0.00
9.17,0.00,866078.00,4185360.00,13264.00,396082.67,55.00,191.83,81.17,293.67,2906.00,5173.83,42.50,43.50,14.17,0.00,0.00
13.33,1.33,1019320.00,112765.33,6100.00,252135.33,18897.67,70321.67,57783.00,70508.17,8860.17,11153.67,19.17,66.17,13.67,1.00,0.00
9.67,0.33,941016.00,3835223.33,7590.00,329777.33,7867.83,193.00,19287.50,354.67,5058.67,8454.50,34.83,51.17,13.67,0.33,0.00
13.17,0.17,1160566.67,103530.00,4398.67,236302.00,699.33,92527.50,40166.67,92758.00,8340.67,8946.33,19.33,66.17,13.67,0.50,0.00
10.67,0.00,990929.33,6421499.33,6520.67,402056.67,1092.33,222.83,15343.50,365.33,4144.17,8078.17,52.67,33.67,13.83,0.17,0.00
10.33,0.00,966381.33,6157970.67,9193.33,437262.00,380.33,194.17,648.50,302.67,4667.67,8611.67,46.50,39.50,14.00,0.00,0.00
9.50,0.00,963568.00,5591092.00,9554.67,434440.67,195.67,194.33,284.83,310.83,3404.00,6958.67,54.00,32.17,13.67,0.00,0.00
10.17,0.00,957422.67,5340206.67,9900.00,441209.33,321.00,194.33,973.50,331.50,5999.17,13296.00,45.33,40.83,13.67,0.17,0.00
10.67,0.00,956654.67,5230158.67,10170.67,451902.00,190.33,194.33,229.50,330.17,3756.17,6742.17,49.00,37.50,13.83,0.00,0.00
9.50,0.00,955929.33,4539414.67,10525.33,459808.67,143.67,194.17,372.83,342.67,3845.67,7231.33,49.83,36.17,13.67,0.00,0.00
9.67,0.00,955076.00,4041563.33,10844.00,456823.33,60.33,194.17,138.83,321.33,2752.83,5646.00,51.00,35.67,13.50,0.00,0.00
9.33,0.00,889781.33,4164594.00,11434.67,457387.33,175.00,194.50,470.17,373.00,2978.83,7191.17,47.00,39.17,13.50,0.17,0.00
9.50,0.00,889568.00,4857319.33,11782.67,460351.33,63.67,194.33,158.17,337.50,3571.17,7357.67,43.50,42.83,13.67,0.00,0.00
10.00,0.00,883044.00,5079204.67,12141.33,464201.33,225.67,195.50,274.83,370.67,3241.00,6466.83,45.33,41.00,13.83,0.00,0.00
10.83,0.00,1093446.00,3221586.00,12486.67,463620.00,43.00,86028.00,70.17,86171.83,5357.00,7956.67,40.17,46.17,13.83,0.00,0.00
9.17,0.17,879915.33,4026912.00,12784.00,462836.00,46.33,196.67,73.33,328.50,3420.00,6273.83,46.17,40.00,13.83,0.00,0.00
9.83,0.17,879615.33,2713849.33,13095.33,462923.33,64.33,196.50,108.00,357.67,3394.67,6855.00,41.67,45.00,13.50,0.00,0.00
12.83,0.17,922438.00,316149.33,5233.33,275489.33,2511.00,19271.17,38470.67,19449.00,6237.83,9571.50,33.33,52.83,13.67,0.17,0.00
12.00,0.67,1011957.33,882328.00,2164.00,263744.67,1493.67,17233.17,28248.17,17399.00,5640.83,9099.83,31.17,54.83,13.83,0.17,0.00
12.17,0.67,1013210.00,617124.67,5053.33,258560.00,746.17,24205.67,26254.83,24420.83,5745.83,8570.00,29.67,56.33,13.67,0.17,0.00
11.17,0.17,1003335.33,6497109.33,6711.33,356606.00,895.50,238.00,17135.17,373.17,4142.00,6932.33,47.17,38.33,14.33,0.33,0.00
11.33,0.17,969447.33,6154440.00,9423.33,415100.00,1245.50,22044.00,3138.33,22341.17,5039.50,8067.17,40.00,45.83,14.17,0.00,0.00
12.33,0.00,912106.67,5609129.33,9840.67,422548.00,154.83,199.17,196.33,324.33,3887.50,7523.33,46.67,40.00,13.67,0.00,0.00
11.33,0.17,1221892.00,5243256.67,10352.67,423898.00,1164.83,99533.67,1392.00,99701.50,6010.33,8403.17,36.67,49.50,13.67,0.17,0.00
10.83,0.00,897572.00,5019466.67,10696.00,449202.00,76.17,199.67,154.83,330.83,4057.33,8371.50,47.50,38.83,13.67,0.00,0.00
10.33,0.00,896889.33,4525119.33,11112.00,453291.33,102.17,199.50,167.33,381.50,4238.33,7783.33,43.17,42.83,14.33,0.00,0.00
10.00,0.00,883418.67,4563594.67,11552.00,451198.00,93.50,199.83,125.67,377.67,3853.83,7637.33,41.83,44.67,13.50,0.00,0.00
9.83,0.17,882608.00,4473191.33,12049.33,451230.67,76.83,199.83,139.17,361.67,23570.67,54929.67,26.17,59.17,14.83,0.00,0.00
11.33,0.00,873900.00,4241366.67,12358.67,451859.33,102.17,201.00,167.00,293.50,4427.67,8658.17,39.50,46.50,14.00,0.17,0.00
10.83,0.00,873345.33,4247452.00,12666.67,454752.00,76.17,201.00,156.17,367.50,3605.67,6715.67,39.83,46.83,13.83,0.00,0.00
11.67,0.00,872918.67,4570969.33,12991.33,454475.33,70.17,200.83,98.33,359.33,3960.33,7575.17,41.33,45.00,13.67,0.00,0.00
11.67,0.00,1007900.67,2304578.67,13355.33,457448.67,52.83,66718.17,142.17,66957.33,5626.67,8095.67,37.33,48.67,14.17,0.00,0.00
10.83,0.00,870582.00,2383613.33,13734.67,453399.33,73.50,202.00,119.50,341.83,3898.50,7405.17,38.33,48.33,13.67,0.00,0.00
10.83,0.50,967469.33,609420.67,13271.33,427050.67,54.17,60473.33,104.17,60638.50,5768.33,6364.17,31.67,54.00,14.00,0.17,0.00
13.17,1.00,935452.00,439062.67,6609.33,251947.33,613.83,43010.17,29147.83,43158.00,6139.50,7864.50,26.17,60.00,13.50,0.33,0.00
14.00,0.50,929448.00,603171.33,5148.67,241159.33,1077.17,22179.33,27904.83,22349.17,6165.17,8346.17,27.17,59.00,13.50,0.33,0.00
8.67,0.17,942947.33,6364344.67,8191.33,368634.00,970.67,240.67,15981.50,396.50,4977.17,9287.00,34.67,49.83,15.33,0.17,0.00
7.33,0.17,940541.33,6122548.67,9436.67,406577.33,725.33,206.00,1644.83,384.50,3623.67,6965.33,27.33,57.67,15.00,0.00,0.00
8.17,0.17,936018.67,5628676.00,9816.00,420655.33,85.33,206.00,146.33,291.17,3542.17,6621.67,29.67,55.50,14.83,0.00,0.00
8.67,0.17,935549.33,4971325.33,10136.67,419927.33,779.33,205.83,1767.83,345.00,3003.50,5435.83,34.33,50.67,15.00,0.17,0.00
7.33,0.00,934994.67,4955340.00,10468.00,431913.33,290.00,205.83,378.17,369.00,3944.00,8052.00,28.50,56.17,15.17,0.00,0.00
6.17,0.00,1452304.00,4539326.67,10861.33,433123.33,85.33,83277.00,243.50,83444.83,21484.83,56564.00,17.67,64.33,17.83,0.00,0.00
7.50,0.17,841796.00,4297863.33,11185.33,433146.67,96.67,206.83,152.17,362.67,3544.83,7190.17,31.83,53.17,15.17,0.00,0.00
8.17,0.00,841540.00,3181433.33,11643.33,437602.67,95.83,206.67,211.00,362.50,3333.00,6462.67,32.00,52.17,16.00,0.00,0.00
8.00,0.00,840648.67,3178827.33,12047.33,435007.33,76.50,5928.67,172.17,6103.17,3875.17,6871.17,28.17,56.33,15.00,0.00,0.00
8.17,0.00,834255.33,2928012.00,12507.33,439292.00,91.83,209.33,693.83,351.17,3004.00,5910.17,27.00,58.17,15.17,0.00,0.00
8.83,0.00,833978.00,4448966.00,12872.00,444460.67,45.83,209.17,126.17,296.33,4319.17,8366.33,23.50,61.50,15.00,0.00,0.00
6.50,0.00,833714.00,3618684.00,13162.67,442068.00,53.83,209.17,121.33,360.33,3597.67,6787.17,22.33,62.50,15.00,0.00,0.00
8.33,0.17,833464.67,4385355.33,13568.00,440936.67,53.17,209.00,137.33,364.17,3257.00,6715.83,23.33,61.83,15.00,0.00,0.00
8.50,1.17,1064155.33,1576977.33,6713.33,275324.00,35950.50,42080.33,71474.67,42272.33,9283.50,12830.00,13.67,69.17,15.50,1.50,0.00
11.00,1.00,1168106.67,102066.67,2607.33,215113.33,1207.33,95761.17,27064.50,95907.00,8957.17,8009.83,9.33,75.67,13.33,1.17,0.00
8.83,0.00,937673.33,3223442.67,3557.33,359468.67,918.33,212.67,14894.33,364.50,4645.33,8605.17,19.50,64.83,15.17,0.50,0.00
8.50,0.17,936209.33,6312012.67,4338.67,388874.00,235.50,239.33,373.00,405.17,4327.33,7918.33,41.50,43.83,14.50,0.00,0.00
7.83,0.00,941844.00,6078746.67,4828.00,399482.00,107.50,22058.00,195.17,22188.50,3869.17,6176.33,35.33,50.33,14.33,0.00,0.00
9.33,0.00,870096.00,5521367.33,5198.67,400456.67,720.17,6768.50,984.33,6929.00,4031.83,7094.17,39.33,46.00,14.83,0.00,0.00
8.33,0.00,859438.67,5037236.00,6534.00,409360.67,346.83,213.50,1477.67,386.00,3473.33,7141.83,40.83,44.83,14.50,0.00,0.00
9.33,0.17,858884.00,5017680.67,7046.67,419103.33,128.83,213.50,216.33,374.67,3713.83,6679.33,32.67,52.83,14.50,0.00,0.00
7.50,0.00,858500.00,4850332.00,7604.00,420621.33,52.83,213.33,113.67,382.50,28994.33,68119.33,17.17,67.67,15.67,0.00,0.00
7.67,0.00,858158.67,4234302.67,7860.67,418353.33,72.83,213.33,159.00,353.17,4142.33,7986.67,46.00,40.33,13.83,0.00,0.00
8.17,0.00,857945.33,3456530.67,8368.67,428607.33,474.83,213.17,2212.67,376.33,4045.33,7457.33,38.17,47.67,14.17,0.00,0.00
8.33,0.17,857604.00,4122690.00,8802.67,433552.00,54.17,213.17,126.33,367.00,2548.17,5657.33,31.00,54.50,14.33,0.00,0.00
8.00,0.00,857348.00,3535382.00,9153.33,434652.67,56.17,213.00,97.00,302.83,3542.50,7012.33,30.83,54.83,14.33,0.17,0.00
