r,b,交换,空闲,缓冲,缓存,si,so,bi,bo,in,cs,us,sy,id,wa,st
7.67,0.50,1815097.33,3309456.67,12468.00,395120.67,65.33,120598.33,313.17,120736.67,5108.50,7926.83,25.33,58.33,17.00,0.00,0.00
8.50,0.00,903527.33,5125518.67,12829.33,395766.00,27.33,67.83,55.67,212.83,3570.00,6653.00,29.17,54.67,16.17,0.00,0.00
8.00,0.17,902293.33,4299355.33,13171.33,398388.67,36.00,67.67,47.00,235.33,3519.83,6691.17,30.50,53.67,15.83,0.00,0.00
8.50,0.17,901900.67,4334454.00,13481.33,400196.00,38.67,69.17,601.17,234.17,3272.67,6119.00,29.33,55.00,15.83,0.00,0.00
8.33,0.33,902056.00,4059270.67,13784.00,400762.00,26.00,70.50,39.67,246.83,3669.83,6821.17,30.00,54.00,15.83,0.00,0.00
10.17,1.33,1047699.33,237500.67,6068.00,250965.33,800.00,78983.17,27791.83,79156.83,7172.17,8683.00,16.50,67.83,15.17,0.33,0.00
11.50,0.33,1077618.00,494520.00,3530.00,233582.00,948.83,54376.33,33433.00,54538.00,7533.33,9435.33,16.00,67.83,15.33,0.67,0.00
9.00,0.33,1010454.67,6408774.00,8073.33,340760.00,524.67,107.83,19357.00,251.50,3925.67,6699.00,45.00,39.33,15.67,0.00,0.00
9.83,0.17,966502.67,6188451.33,9086.00,367176.00,150.00,74.17,298.83,211.17,3867.50,8000.17,43.17,41.00,15.67,0.00,0.00
8.33,0.50,965777.33,5569176.00,9573.33,379368.67,284.00,74.00,2347.67,263.00,3026.50,6139.83,45.50,39.17,15.17,0.00,0.00
9.17,0.00,964966.67,5381546.00,9984.00,389426.00,599.33,74.00,985.83,259.67,4487.83,8097.67,39.67,44.67,15.33,0.00,0.00
10.33,0.00,939044.00,5245892.00,10289.33,402554.67,129.33,74.67,175.17,219.83,3950.83,7297.33,39.50,44.67,15.67,0.00,0.00
10.83,0.00,927945.33,4390830.67,10736.67,407178.00,45.33,75.83,115.17,222.17,3114.83,6209.17,41.33,43.17,15.33,0.00,0.00
10.00,0.00,1696990.00,4077281.33,11101.33,416069.33,40.00,131199.17,51.83,131295.00,5688.83,8580.50,28.17,56.17,15.83,0.00,0.00
9.83,0.00,1632975.33,3775393.33,11608.00,415630.00,38.00,143067.83,49.83,143206.17,4703.00,6893.50,30.33,54.17,15.33,0.00,0.00
9.33,0.00,917034.67,4459643.33,11916.00,415418.67,54.67,79.67,66.50,231.33,3372.33,6713.83,35.50,49.00,15.50,0.00,0.00
12.00,0.00,916756.00,4237544.67,12249.33,415711.33,24.67,79.50,36.50,241.17,3790.33,6677.83,34.67,50.00,15.50,0.00,0.00
9.17,0.00,916378.67,4634932.67,12573.33,417461.33,104.67,79.50,144.50,227.17,3613.83,6603.17,35.67,48.67,16.17,0.00,0.00
10.17,0.00,916652.00,4352012.00,12837.33,414023.33,30.00,80.83,41.83,213.83,3347.00,5698.17,37.83,47.00,15.33,0.00,0.00
10.00,0.00,915884.00,3592174.67,13140.00,419914.67,20.67,80.83,44.50,211.17,3627.67,6831.50,37.00,47.83,15.33,0.00,0.00
9.67,0.17,915628.00,2914873.33,13496.00,421608.00,26.00,80.83,89.83,272.50,3937.33,7522.33,31.83,52.67,15.67,0.00,0.00
13.00,0.00,1070447.33,249074.67,5972.67,258816.67,1308.67,80844.83,33016.33,80995.83,8092.83,9590.67,18.00,66.33,15.17,0.50,0.00
11.83,0.17,1002860.67,992674.67,5891.33,273758.00,9194.83,5028.50,35604.67,5176.17,6633.83,10989.67,24.83,59.50,15.50,0.50,0.00
10.83,0.00,1013940.00,6470058.00,7832.00,347421.33,850.33,107.17,17828.33,285.50,4650.67,8188.50,47.50,37.33,15.00,0.17,0.00
10.67,0.17,1024395.33,6184063.33,9457.33,392168.67,2839.67,21929.00,4940.67,22101.50,4947.33,8114.17,42.00,42.67,15.17,0.00,0.00
9.83,0.33,971502.67,5537136.00,9890.00,412523.33,583.00,83.83,2337.17,346.83,9301.17,19427.17,41.00,43.67,15.17,0.00,0.00
8.83,0.00,970564.00,5462094.00,10360.00,417165.33,64.33,83.83,105.17,236.83,29668.17,64111.50,18.50,64.33,17.17,0.00,0.00
8.83,0.17,969326.67,5040800.00,10712.67,426810.67,80.33,83.83,133.17,218.83,24535.33,59557.00,27.67,56.83,16.17,0.00,0.00
10.83,0.00,968857.33,4390075.33,11173.33,425609.33,53.67,83.67,66.50,194.17,2979.67,5475.67,46.00,39.33,14.83,0.00,0.00
11.33,0.00,968302.67,4356537.33,11477.33,427215.33,48.33,83.67,75.83,217.33,3466.83,6464.50,40.17,44.83,15.33,0.00,0.00
10.83,0.17,967748.00,4455865.33,11789.33,432650.00,31.67,83.67,264.50,224.67,4641.00,8916.33,38.83,46.17,15.33,0.00,0.00
11.67,0.00,905876.00,4965134.67,12072.00,429730.00,27.67,85.00,40.50,214.00,3219.50,5997.67,41.50,43.50,15.00,0.00,0.00
10.00,0.00,905620.00,4290401.33,12324.00,433772.67,21.00,85.00,33.83,200.67,3202.67,6626.67,45.50,39.00,15.50,0.00,0.00
