stress-vm,stress-cpu(%),stress-io(%),avg-latency
2304M,0,30,35.16054879012345679000
2048M,0,30,36.34730155128205128000
1792M,0,30,39.09617775324675324000
1536M,0,30,36.71916360563380281000
1280M,0,30,36.93660002985074626000
1024M,0,30,32.52712336781609195000
768M,0,30,34.71417281012658227000
512M,0,30,38.10765982608695652000
256M,0,30,32.18186629870129870000
4K,50,20,45.76357441666666666000
7168M,50,20,56.98603584000000000000
6912M,50,20,55.52121659523809523000
6656M,50,20,47.48172115686274509000
6400M,50,20,55.21196815909090909000
6144M,50,20,54.62610352000000000000
5888M,50,20,55.16372680434782608000
5632M,50,20,55.87912218181818181000
5376M,50,20,48.42696677777777777000
5120M,50,20,47.57610657142857142000
4864M,50,20,54.63666062790697674000
4608M,50,20,51.64465611764705882000
4352M,50,20,56.06907078260869565000
4096M,50,20,45.68326750000000000000
3840M,50,20,51.06721863461538461000
3584M,50,20,38.98194831147540983000
3328M,50,20,64.28352592307692307000
3072M,50,20,45.82372377083333333000
2816M,50,20,47.58829771428571428000
2560M,50,20,43.76804360784313725000
2304M,50,20,45.55696936842105263000
2048M,50,20,46.80461012727272727000
1792M,50,20,46.24751398076923076000
1536M,50,20,47.57330728070175438000
1280M,50,20,47.22816894339622641000
1024M,50,20,46.75445035294117647000
768M,50,20,54.75046638636363636000
512M,50,20,46.21084373469387755000
256M,50,20,49.20875500000000000000
4K,30,20,37.42245186764705882000
7168M,30,20,44.97883432758620689000
6912M,30,20,64.44648605128205128000
6656M,30,20,56.47759140000000000000
6400M,30,20,54.19971715094339622000
6144M,30,20,41.15955876271186440000
5888M,30,20,44.84979119230769230000
5632M,30,20,40.19891113636363636000
5376M,30,20,49.53229849056603773000
5120M,30,20,43.28231900000000000000
4864M,30,20,39.28404990625000000000
4608M,30,20,55.16255830612244897000
4352M,30,20,45.86594400000000000000
4096M,30,20,50.99339242000000000000
3840M,30,20,46.93460176271186440000
3584M,30,20,41.44531288333333333000
3328M,30,20,45.76771950980392156000
3072M,30,20,41.36975923437500000000
2816M,30,20,46.12094005660377358000
2560M,30,20,43.63487354545454545000
2304M,30,20,39.82974780882352941000
2048M,30,20,49.26753996226415094000
1792M,30,20,50.26579234782608695000
1536M,30,20,45.34364772881355932000
1280M,30,20,49.44198332692307692000
1024M,30,20,47.07970244067796610000
768M,30,20,62.92695582926829268000
512M,30,20,35.60335078205128205000
256M,30,20,47.82142016363636363000
4K,10,20,29.76811436781609195000
7168M,10,20,79.18407479069767441000
6912M,10,20,83.03702622857142857000
6656M,10,20,78.84600032500000000000
6400M,10,20,34.84867043037974683000
6144M,10,20,32.74807706410256410000
5888M,10,20,39.32938503030303030000
5632M,10,20,38.10807870833333333000
5376M,10,20,42.13716081538461538000
5120M,10,20,37.08553364556962025000
4864M,10,20,41.24312085074626865000
4608M,10,20,34.35296209090909090000
4352M,10,20,37.69601596103896103000
4096M,10,20,34.90446430263157894000
3840M,10,20,32.32143031645569620000
3584M,10,20,40.27123938028169014000
3328M,10,20,37.10673951470588235000
3072M,10,20,37.92887827848101265000
2816M,10,20,38.66414172602739726000
2560M,10,20,37.26971938571428571000
2304M,10,20,43.04663467647058823000
2048M,10,20,36.48324788732394366000
1792M,10,20,37.30701527536231884000
1536M,10,20,33.74441444285714285000
1280M,10,20,33.60071628048780487000
1024M,10,20,33.70097498611111111000
768M,10,20,34.84788191250000000000
512M,10,20,36.29684321538461538000
256M,10,20,41.19319635714285714000
4K,0,20,31.76903335227272727000
7168M,0,20,85.98568642857142857000
6912M,0,20,41.58130963235294117000
6656M,0,20,54.01834374468085106000
6400M,0,20,39.51476720312500000000
6144M,0,20,37.03534200000000000000
5888M,0,20,39.13992989041095890000
5632M,0,20,38.73912036363636363000
5376M,0,20,34.15282739759036144000
5120M,0,20,34.18095121428571428000
4864M,0,20,29.52979780898876404000
4608M,0,20,34.56219839759036144000
4352M,0,20,32.86274226436781609000
4096M,0,20,33.42194452941176470000
3840M,0,20,38.57266790625000000000
3584M,0,20,38.64255675949367088000
3328M,0,20,37.72839320987654320000
3072M,0,20,33.00272752380952380000
2816M,0,20,35.60191195945945945000
2560M,0,20,32.71603158823529411000
2304M,0,20,34.05433686585365853000
2048M,0,20,38.10746428985507246000
1792M,0,20,33.66887955813953488000
1536M,0,20,40.92596559701492537000
1280M,0,20,44.55516582456140350000
1024M,0,20,44.67799324615384615000
768M,0,20,35.51134259340659340000
512M,0,20,34.78627095121951219000
256M,0,20,38.49766868571428571000
4K,50,10,36.85941384507042253000
7168M,50,10,68.60406950000000000000
6912M,50,10,53.05698666666666666000
6656M,50,10,46.97761852830188679000
6400M,50,10,49.42335620833333333000
6144M,50,10,47.39072500000000000000
5888M,50,10,49.42128195833333333000
5632M,50,10,43.07871231481481481000
5376M,50,10,53.66591204347826086000
5120M,50,10,51.23114058823529411000
4864M,50,10,41.89025780357142857000
4608M,50,10,47.62253249090909090000
4352M,50,10,48.29821326530612244000
4096M,50,10,42.58739469642857142000
3840M,50,10,48.23066781250000000000
3584M,50,10,49.80729549056603773000
3328M,50,10,44.90817160714285714000
3072M,50,10,41.94365936842105263000
2816M,50,10,52.34360451063829787000
2560M,50,10,59.80334187804878048000
2304M,50,10,40.50829510169491525000
2048M,50,10,55.54558633333333333000
1792M,50,10,44.08615918181818181000
1536M,50,10,47.12117975438596491000
1280M,50,10,42.69255963333333333000
1024M,50,10,55.45202172093023255000
768M,50,10,77.92213266666666666000
512M,50,10,42.99799319354838709000
256M,50,10,46.29510572340425531000
4K,30,10,32.25793901219512195000
7168M,30,10,39.15814801538461538000
6912M,30,10,73.76500764102564102000
6656M,30,10,71.76648321428571428000
6400M,30,10,45.57820471428571428000
6144M,30,10,50.60649623076923076000
5888M,30,10,38.19884547619047619000
5632M,30,10,38.53276540322580645000
5376M,30,10,34.90141552000000000000
5120M,30,10,41.40560522580645161000
4864M,30,10,48.95366944444444444000
4608M,30,10,50.94489638461538461000
4352M,30,10,37.01620384057971014000
4096M,30,10,41.43897151851851851000
3840M,30,10,40.56213821212121212000
3584M,30,10,40.72967914062500000000
3328M,30,10,35.67359712500000000000
3072M,30,10,37.84924565217391304000
2816M,30,10,36.10716458461538461000
2560M,30,10,36.47828318840579710000
2304M,30,10,44.77404287931034482000
2048M,30,10,41.58175689393939393000
1792M,30,10,44.43405944067796610000
1536M,30,10,38.44865785483870967000
1280M,30,10,41.65948224561403508000
1024M,30,10,38.50923695833333333000
768M,30,10,41.07926223437500000000
512M,30,10,38.83895561904761904000
256M,30,10,44.46045169696969696000
4K,10,10,31.55907424705882352000
7168M,10,10,117.49983260000000000000
6912M,10,10,102.68201833333333333000
6656M,10,10,43.61988287500000000000
6400M,10,10,43.62860681666666666000
6144M,10,10,47.04451227118644067000
5888M,10,10,53.24059366666666666000
5632M,10,10,34.54026380882352941000
5376M,10,10,37.98891348648648648000
5120M,10,10,50.84131088524590163000
4864M,10,10,37.51910907407407407000
4608M,10,10,37.33634331081081081000
4352M,10,10,37.04015895652173913000
4096M,10,10,35.70086879268292682000
3840M,10,10,33.51599245121951219000
3584M,10,10,37.14522112121212121000
3328M,10,10,42.94436479710144927000
3072M,10,10,35.73277689610389610000
2816M,10,10,40.71930368750000000000
2560M,10,10,37.24049759722222222000
2304M,10,10,37.36210183561643835000
2048M,10,10,38.00278245205479452000
1792M,10,10,38.10220986363636363000
1536M,10,10,35.26534221052631578000
1280M,10,10,38.29859389552238805000
1024M,10,10,37.24885819230769230000
768M,10,10,33.83960104494382022000
512M,10,10,38.12199792105263157000
256M,10,10,43.04635033333333333000
4K,0,10,30.86459635483870967000
7168M,0,10,91.21996085714285714000
6912M,0,10,68.13877111904761904000
6656M,0,10,59.55192962745098039000
6400M,0,10,40.31454137681159420000
6144M,0,10,35.13742548611111111000
5888M,0,10,37.19409212328767123000
5632M,0,10,40.96490826760563380000
5376M,0,10,37.06761363636363636000
5120M,0,10,35.69610810714285714000
4864M,0,10,31.17876510752688172000
4608M,0,10,35.11802908235294117000
4352M,0,10,34.58475316091954022000
4096M,0,10,29.02305315555555555000
3840M,0,10,49.95405998387096774000
3584M,0,10,43.06952390909090909000
3328M,0,10,34.47064525000000000000
3072M,0,10,43.16600026470588235000
2816M,0,10,35.84443338157894736000
2560M,0,10,33.85257945161290322000
2304M,0,10,38.16023040789473684000
2048M,0,10,35.22810387341772151000
1792M,0,10,29.02184557954545454000
1536M,0,10,33.59738605681818181000
1280M,0,10,37.17658913043478260000
1024M,0,10,35.54370136363636363000
768M,0,10,36.56289142500000000000
512M,0,10,36.29868087209302325000
256M,0,10,36.73452508974358974000
4K,50,1,37.77875129032258064000
7168M,50,1,61.78515834042553191000
6912M,50,1,60.99978104878048780000
6656M,50,1,51.02280485365853658000
6400M,50,1,65.20293200000000000000
6144M,50,1,39.94098166037735849000
5888M,50,1,46.07484130769230769000
5632M,50,1,49.25818300000000000000
5376M,50,1,45.92814150000000000000
5120M,50,1,50.20227134615384615000
4864M,50,1,46.64134226530612244000
4608M,50,1,46.16178887037037037000
4352M,50,1,41.02004278947368421000
4096M,50,1,48.10203123636363636000
3840M,50,1,50.86541871153846153000
3584M,50,1,43.40697285714285714000
3328M,50,1,44.01792428813559322000
3072M,50,1,49.62722524489795918000
2816M,50,1,51.25533692452830188000
2560M,50,1,54.56037060784313725000
2304M,50,1,48.25407461538461538000
2048M,50,1,50.01105856250000000000
1792M,50,1,47.12058074545454545000
1536M,50,1,48.75789752941176470000
1280M,50,1,46.39241798076923076000
1024M,50,1,49.31602250000000000000
768M,50,1,42.57375161403508771000
512M,50,1,43.94589556000000000000
256M,50,1,54.01338640384615384000
4K,30,1,36.60943636363636363000
7168M,30,1,76.49667267567567567000
6912M,30,1,50.98754775000000000000
6656M,30,1,42.79330236842105263000
6400M,30,1,46.40142061016949152000
6144M,30,1,46.55092162000000000000
5888M,30,1,35.79549293846153846000
5632M,30,1,47.57272762264150943000
5376M,30,1,50.34015466666666666000
5120M,30,1,48.85807650819672131000
4864M,30,1,36.25122213235294117000
4608M,30,1,41.74606526470588235000
4352M,30,1,40.66905560317460317000
4096M,30,1,42.70518616666666666000
3840M,30,1,46.65509633333333333000
3584M,30,1,35.71195046666666666000
3328M,30,1,46.17313620689655172000
3072M,30,1,35.94580093650793650000
2816M,30,1,41.11192023880597014000
2560M,30,1,39.53593168181818181000
2304M,30,1,37.88868352307692307000
2048M,30,1,52.34738554385964912000
1792M,30,1,40.07986425000000000000
1536M,30,1,51.93031442857142857000
1280M,30,1,44.19692249206349206000
1024M,30,1,44.47887721818181818000
768M,30,1,41.79456970312500000000
512M,30,1,42.11846636666666666000
256M,30,1,52.64545452272727272000
4K,10,1,28.62607500000000000000
7168M,10,1,64.39433615686274509000
6912M,10,1,73.05937610000000000000
6656M,10,1,63.07271813725490196000
6400M,10,1,38.00569501449275362000
6144M,10,1,42.22061481034482758000
5888M,10,1,40.45702731884057971000
5632M,10,1,33.06852460000000000000
5376M,10,1,39.63973838571428571000
5120M,10,1,36.91131062500000000000
4864M,10,1,51.30631826530612244000
4608M,10,1,35.16817022222222222000
4352M,10,1,37.15190286111111111000
4096M,10,1,48.53106254000000000000
3840M,10,1,29.99499043333333333000
3584M,10,1,38.72687950602409638000
3328M,10,1,39.37140127397260273000
3072M,10,1,35.17489214864864864000
2816M,10,1,39.48749046031746031000
2560M,10,1,37.07096958750000000000
2304M,10,1,41.71023721126760563000
2048M,10,1,39.83160491304347826000
1792M,10,1,34.81346610958904109000
1536M,10,1,32.32423087058823529000
1280M,10,1,38.81297751515151515000
1024M,10,1,38.35409837500000000000
768M,10,1,42.88007795522388059000
512M,10,1,47.27996863333333333000
256M,10,1,38.90040174285714285000
4K,0,1,30.05581657281553398000
7168M,0,1,36.81006572839506172000
6912M,0,1,84.57239202941176470000
6656M,0,1,85.08784221212121212000
6400M,0,1,34.16200412820512820000
6144M,0,1,35.01552313095238095000
5888M,0,1,34.62493160714285714000
5632M,0,1,31.71103361904761904000
5376M,0,1,33.82087635555555555000
5120M,0,1,32.66898985227272727000
4864M,0,1,38.62050181333333333000
4608M,0,1,36.35532005263157894000
4352M,0,1,30.25450420408163265000
4096M,0,1,29.55488486666666666000
3840M,0,1,29.93751158095238095000
3584M,0,1,29.76705342268041237000
3328M,0,1,31.36828615853658536000
3072M,0,1,32.26687357303370786000
2816M,0,1,34.54613867058823529000
2560M,0,1,37.45440726315789473000
2304M,0,1,35.09654241666666666000
2048M,0,1,36.02866641333333333000
1792M,0,1,37.21516119277108433000
1536M,0,1,34.27435272619047619000
1280M,0,1,32.99852195348837209000
1024M,0,1,36.60350022535211267000
768M,0,1,33.29343976744186046000
512M,0,1,29.48618522222222222000
256M,0,1,36.52797293055555555000
