stress-vm,stress-cpu(%),stress-io(%),avg-latency
4K,50,30,36.09005189855072463000
7168M,50,30,61.54952032608695652000
6912M,50,30,59.57239643181818181000
6656M,50,30,59.43465675000000000000
6400M,50,30,51.22898530909090909000
6144M,50,30,47.52333131372549019000
5888M,50,30,43.75264719230769230000
5632M,50,30,47.29065432653061224000
5376M,50,30,55.19315680000000000000
5120M,50,30,51.88416182692307692000
4864M,50,30,47.17773367924528301000
4608M,50,30,48.47223519298245614000
4352M,50,30,53.70532968085106382000
4096M,50,30,45.26196822413793103000
3840M,50,30,48.77696466037735849000
3584M,50,30,44.71741661224489795000
3328M,50,30,49.51302746428571428000
3072M,50,30,51.71701243750000000000
2816M,50,30,46.62715956363636363000
2560M,50,30,52.00020280000000000000
2304M,50,30,42.02791432203389830000
2048M,50,30,41.26872563157894736000
1792M,50,30,49.77116363636363636000
1536M,50,30,67.25665228260869565000
1280M,50,30,74.79998805714285714000
1024M,50,30,39.76748285185185185000
768M,50,30,43.33638630000000000000
512M,50,30,50.03119393750000000000
256M,50,30,51.51564720000000000000
4K,30,30,41.36621288709677419000
7168M,30,30,70.63879855813953488000
6912M,30,30,49.04963248979591836000
6656M,30,30,44.69800629032258064000
6400M,30,30,46.78697475471698113000
6144M,30,30,42.43089168181818181000
5888M,30,30,39.91272613235294117000
5632M,30,30,50.52445045614035087000
5376M,30,30,48.51124831372549019000
5120M,30,30,56.95343136956521739000
4864M,30,30,40.59467416417910447000
4608M,30,30,44.51894140000000000000
4352M,30,30,39.25801938235294117000
4096M,30,30,37.29025450000000000000
3840M,30,30,44.59528282456140350000
3584M,30,30,38.92601876056338028000
3328M,30,30,47.36604206896551724000
3072M,30,30,46.44880773333333333000
2816M,30,30,33.70733064556962025000
2560M,30,30,37.33732717460317460000
2304M,30,30,35.51395300000000000000
2048M,30,30,52.71511731481481481000
1792M,30,30,37.58970350000000000000
1536M,30,30,35.92506966216216216000
1280M,30,30,46.10286540000000000000
1024M,30,30,41.43196350000000000000
768M,30,30,42.20473747368421052000
512M,30,30,47.66386716666666666000
256M,30,30,39.69840936363636363000
4K,10,30,31.43043077380952380000
7168M,10,30,101.27609892857142857000
6912M,10,30,63.70447272093023255000
6656M,10,30,41.03323417391304347000
6400M,10,30,42.75028647368421052000
6144M,10,30,38.41698570270270270000
5888M,10,30,37.01455142647058823000
5632M,10,30,43.14869696923076923000
5376M,10,30,37.77452287837837837000
5120M,10,30,42.85808772580645161000
4864M,10,30,40.85940527941176470000
4608M,10,30,34.69549380519480519000
4352M,10,30,33.51160354666666666000
4096M,10,30,37.54797722368421052000
3840M,10,30,31.62209293258426966000
3584M,10,30,45.31570874137931034000
3328M,10,30,39.04829983076923076000
3072M,10,30,36.76310012500000000000
2816M,10,30,46.20511034482758620000
2560M,10,30,34.54672623880597014000
2304M,10,30,37.10717236842105263000
2048M,10,30,35.02339976315789473000
1792M,10,30,34.69473528169014084000
1536M,10,30,41.02264974242424242000
1280M,10,30,38.06614983098591549000
1024M,10,30,42.77229016949152542000
768M,10,30,37.04876583116883116000
512M,10,30,35.17855429487179487000
256M,10,30,37.33592019444444444000
4K,0,30,29.18409524761904761000
7168M,0,30,125.60914992000000000000
6912M,0,30,37.16691483333333333000
6656M,0,30,41.14172885074626865000
6400M,0,30,38.10502649206349206000
6144M,0,30,40.41914291139240506000
5888M,0,30,39.82575819718309859000
5632M,0,30,34.46985111688311688000
5376M,0,30,43.70190830000000000000
5120M,0,30,32.33567194382022471000
4864M,0,30,38.78980589333333333000
4608M,0,30,34.51734814864864864000
4352M,0,30,34.26175507594936708000
4096M,0,30,33.83888818604651162000
3840M,0,30,32.41599610344827586000
3584M,0,30,33.35120151648351648000
3328M,0,30,31.29912927551020408000
3072M,0,30,42.18347176811594202000
2816M,0,30,32.87355922093023255000
2560M,0,30,30.96351438823529411000
