r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%)
7.4,0.8,863790.4,2229813.6,114359.2,390284.0,400.0,0.0,2671.8,17876.0,10051.4,18624.2,28.2,61.0,9.2,1.4,0.0
6.0,0.4,863483.2,2198035.2,126891.2,413528.8,589.6,0.0,903.2,15351.2,9768.4,16979.0,31.2,58.2,9.4,1.2,0.0
6.2,0.0,862971.2,2911540.8,132018.4,413864.8,86.4,0.0,149.6,16568.0,9877.2,18090.2,31.4,55.4,12.2,1.4,0.0
7.8,0.0,873805.6,815160.8,85533.6,295519.2,312.0,21130.4,4552.2,33253.6,10436.6,15722.8,14.0,70.4,11.4,4.2,0.0
6.4,0.0,855482.4,1314216.0,47846.4,374128.8,136.0,1520.8,14149.8,15167.2,9238.2,16047.8,15.6,68.6,13.6,2.2,0.0
7.2,0.4,937791.2,831352.0,25003.2,286406.4,1708.8,12412.8,22848.4,24116.0,9265.0,14382.6,18.2,68.0,8.4,5.2,0.0
4.0,0.6,948389.6,2715196.0,61077.6,335756.8,624.0,1033.6,15666.0,16792.8,9943.4,18030.8,20.0,62.8,15.0,2.2,0.0
5.2,0.0,946117.6,3084272.8,105248.0,342876.0,150.4,0.0,4885.6,17499.2,11270.8,20863.2,20.8,58.8,17.8,3.0,0.0
5.6,0.4,942892.0,2626394.4,126163.2,372996.0,488.8,0.0,1897.6,18616.0,11543.0,20995.4,21.6,58.6,17.8,2.2,0.0
5.2,0.2,942380.0,3826601.6,135206.4,376261.6,112.8,0.0,1141.6,18578.4,10156.0,19523.0,21.6,59.4,17.6,1.2,0.0
5.4,1.0,933637.6,391776.8,59388.0,232516.8,117.6,46864.0,13312.4,56400.8,10519.4,13820.4,6.2,77.2,10.2,6.4,0.0
4.6,0.0,894704.8,568106.4,26433.6,303248.0,1277.6,30328.8,22305.4,40372.8,9869.6,12962.4,7.0,79.0,9.0,4.8,0.0
6.6,0.4,982416.8,261788.8,20328.8,234048.0,3328.8,22084.0,28717.0,32005.6,8992.6,12701.6,11.2,80.2,4.2,4.0,0.0
4.4,0.4,877794.4,3096199.2,45925.6,296650.4,1038.4,705.6,16666.8,18287.2,13737.0,18729.6,15.8,69.8,12.2,2.2,0.0
5.8,0.2,876247.2,3709668.0,97866.4,358284.8,544.0,0.0,5877.2,16140.8,10119.0,19014.2,15.2,59.6,21.0,4.0,0.0
4.0,0.6,875940.0,4255206.4,119372.0,360158.4,64.0,0.0,198.4,16629.6,10294.0,19397.8,17.6,59.0,19.4,4.2,0.0
3.4,0.2,874404.0,4138744.0,129720.8,368267.2,322.4,0.0,703.6,18560.8,12508.2,21702.2,16.2,62.8,17.6,3.2,0.0
7.0,0.2,874392.8,1186800.0,109046.4,317068.8,77.6,515.2,3262.2,16499.2,10058.0,17825.4,32.0,61.2,6.4,0.8,0.0
9.6,0.2,861412.8,1709331.2,57856.0,428242.4,161.6,760.0,20304.0,16200.8,10414.4,17801.2,31.0,61.6,6.0,1.0,0.0
8.0,0.0,870968.8,1615951.2,58529.6,377316.8,159.2,833.6,15233.6,15334.4,9928.8,17127.0,34.4,58.6,6.2,1.0,0.0
6.4,0.0,887071.2,1461324.8,55397.6,380757.6,271.2,1356.8,15878.8,17684.0,10427.2,18040.8,33.8,60.2,4.8,1.4,0.0
8.8,0.2,889900.0,1610725.6,95772.8,387106.4,848.8,0.0,7485.6,15736.8,9652.2,17277.6,35.8,57.6,5.8,1.2,0.0
7.4,0.6,889132.0,2287127.2,116959.2,406244.0,160.8,0.0,1279.8,16332.8,10281.0,18369.0,34.8,57.8,6.4,1.0,0.0
6.4,0.2,888620.0,4282276.8,128072.8,407792.8,37.6,0.0,217.6,17882.4,10685.8,19445.8,37.6,55.0,6.0,1.0,0.0
8.6,0.6,875915.2,534322.4,67032.8,252384.8,99.2,13032.0,8008.2,25288.8,9177.0,14277.8,22.6,69.0,4.8,3.6,0.0
9.4,0.6,856208.0,834976.8,39285.6,338345.6,107.2,11384.8,24792.6,26517.6,9868.2,16224.8,27.2,65.0,6.2,1.8,0.0
6.8,0.2,891535.2,1587372.0,48486.4,386081.6,208.0,1973.6,16265.4,17660.0,9577.2,16955.0,27.8,62.6,8.4,1.4,0.0
