stress-vm,stress-cpu(%),stress-io(%),avg-latency(ms)
5888M,10,30,11.395652937798445
5632M,10,30,12.047093077357037
5376M,10,30,12.118116051259667
5120M,10,30,12.068718252047686
4864M,10,30,12.685620507528617
4608M,10,30,12.0722439981276
4352M,10,30,11.68097801578855
4096M,10,30,11.068331335917417
3840M,10,30,13.646697456186468
3584M,10,30,12.919709086418152
3328M,10,30,16.500465777697485
3072M,10,30,11.943896928156514
2816M,10,30,9.968262209030328
2560M,10,30,11.462338098132882
2304M,10,30,11.509608856318321
2048M,10,30,10.794064375731322
1792M,10,30,10.254742141462799
1536M,10,30,10.82492218981581
1280M,10,30,10.832298573830146
1024M,10,30,10.623300329167792
768M,10,30,11.762785911560059
512M,10,30,11.93313371567499
256M,10,30,12.027960740970466
4k,10,30,9.655269831658947
7168M,0,30,10.52203805823075
6912M,0,30,12.754342611681377
6656M,0,30,5.447684201327237
6400M,0,30,34.28163815065811
6144M,0,30,4.515543321783415
5888M,0,30,4.588521640479656
5632M,0,30,4.6545585490161585
5376M,0,30,3.8245095282184836
5120M,0,30,4.019461886983523
4864M,0,30,3.844430157586196
4608M,0,30,4.455256373465725
4352M,0,30,4.635759775526101
4096M,0,30,3.805527611384316
3840M,0,30,4.427286159340705
3584M,0,30,4.482256101029514
3328M,0,30,5.608039218984662
3072M,0,30,4.385819989743683
2816M,0,30,4.188115408502202
2560M,0,30,4.279216811284264
2304M,0,30,4.2331991559368065
2048M,0,30,4.566824654253518
1792M,0,30,4.387449625639888
1536M,0,30,4.43291840468638
1280M,0,30,4.597311370943221
1024M,0,30,4.001436469074244
768M,0,30,4.190321068663698
512M,0,30,4.222765103192397
256M,0,30,4.203110891505345
4k,0,30,3.295703665642636
7168M,50,20,8.110978474488128
6912M,50,20,8.949054158035938
6656M,50,20,6.490005071147663
6400M,50,20,7.350948803565081
6144M,50,20,8.016227082135206
5888M,50,20,7.007765714253221
5632M,50,20,6.679190559217288
5376M,50,20,5.52252558519214
5120M,50,20,7.324818285500131
4864M,50,20,8.368773833333448
4608M,50,20,6.401984134376876
4352M,50,20,5.624381425566169
4096M,50,20,6.1130236898844155
3840M,50,20,7.361929498466791
3584M,50,20,7.338293627196667
3328M,50,20,6.851977212088449
3072M,50,20,6.0415804446284875
2816M,50,20,6.113569022681708
2560M,50,20,7.550948212669238
2304M,50,20,6.883370493530133
2048M,50,20,7.322855984292379
1792M,50,20,6.392706129739831
1536M,50,20,6.392452508401769
1280M,50,20,5.955538186203048
1024M,50,20,11.172297724576413
768M,50,20,8.45756281918632
512M,50,20,7.127358995634935
256M,50,20,7.360950734750059
4k,50,20,6.817778856716287
7168M,30,20,9.568668438487075
6912M,30,20,7.162568115052723
6656M,30,20,6.050062661219124
6400M,30,20,6.000273936503643
6144M,30,20,5.6668561861159565
5888M,30,20,5.207517683557797
5632M,30,20,6.854291915893555
5376M,30,20,6.160797097577588
5120M,30,20,6.139867991483565
4864M,30,20,4.998750543475052
4608M,30,20,5.092447454279119
4352M,30,20,7.577388953201717
