stress-vm,stress-cpu(%),stress-io(%),avg-latency(ms)
1280M,10,30,4.246908780873328
1024M,10,30,4.347645086685413
768M,10,30,4.005030036610078
512M,10,30,4.9953486522038775
256M,10,30,4.825367443803428
4k,10,30,3.9685629850981248
7168M,0,30,4.995293021202087
6912M,0,30,6.347287256838912
6656M,0,30,4.908998123843781
6400M,0,30,3.5889262924651186
6144M,0,30,3.64907708441006
5888M,0,30,4.205317350122738
5632M,0,30,3.7319154810727087
5376M,0,30,3.46296184040882
5120M,0,30,3.600393329654728
4864M,0,30,3.275655006450382
4608M,0,30,3.641531215403523
4352M,0,30,4.152778280500067
4096M,0,30,3.8187984301119435
3840M,0,30,3.6850164620951045
3584M,0,30,4.055659567712931
3328M,0,30,4.664515004013524
3072M,0,30,4.196090858523585
2816M,0,30,4.315239821860393
2560M,0,30,4.414008065477025
2304M,0,30,4.0476066208143315
2048M,0,30,4.403568015379064
1792M,0,30,4.101583192317475
1536M,0,30,4.6245047339686645
1280M,0,30,4.965620981135839
1024M,0,30,4.335869410966136
768M,0,30,4.218237164994361
512M,0,30,4.156134510768279
256M,0,30,5.157140079600148
4k,0,30,3.732674292686201
7168M,50,20,8.856855732955157
6912M,50,20,7.502313554286957
6656M,50,20,8.794522355378897
6400M,50,20,8.459137396866016
6144M,50,20,7.177172095011295
5888M,50,20,6.323508177952837
5632M,50,20,5.930585352328455
5376M,50,20,6.332469464858961
5120M,50,20,7.111094600365255
4864M,50,20,6.783160860919196
4608M,50,20,10.190856294567082
4352M,50,20,6.5371025609606095
4096M,50,20,5.622898309946284
3840M,50,20,6.723760222105701
3584M,50,20,25.07069011529287
3328M,50,20,19.321496846974856
3072M,50,20,10.601363417959044
2816M,50,20,12.730271446730175
2560M,50,20,10.19804760561151
2304M,50,20,8.747338901108277
2048M,50,20,6.846979600653801
1792M,50,20,7.317943596286797
1536M,50,20,6.646551291147867
1280M,50,20,6.108915732980018
1024M,50,20,6.156032713352407
768M,50,20,6.895374895921393
512M,50,20,7.255163377480126
256M,50,20,8.665593717828651
4k,50,20,6.359879631398843
7168M,30,20,8.019250014732624
6912M,30,20,6.9414661438376815
6656M,30,20,6.798294666402735
6400M,30,20,10.754432729495468
6144M,30,20,6.547284360280344
5888M,30,20,6.04069592727262
5632M,30,20,6.721872385307278
5376M,30,20,4.903710347331029
5120M,30,20,5.790391175643258
4864M,30,20,5.372822231145346
4608M,30,20,5.290348411870087
4352M,30,20,5.396373630321102
4096M,30,20,4.9807472878516315
3840M,30,20,6.562622754197371
3584M,30,20,6.75673925621265
3328M,30,20,6.058095318723858
3072M,30,20,5.318229137105866
2816M,30,20,5.215655626474618
2560M,30,20,5.9733858621452915
2304M,30,20,5.308642231119323
2048M,30,20,5.674578926780008
1792M,30,20,5.17964837050376
1536M,30,20,5.432271439096202
1280M,30,20,6.264218725419942
1024M,30,20,6.487296515212947
768M,30,20,6.878478381992345
512M,30,20,6.385042009770045
256M,30,20,5.867289983093681
4k,30,20,4.283682630264904
7168M,10,20,4.128162159252627
6912M,10,20,10.048395435282048
6656M,10,20,5.410643045652645
6400M,10,20,5.364114142061346
6144M,10,20,4.975022469644134
5888M,10,20,4.1628839241133795
5632M,10,20,4.591530766980401
5376M,10,20,4.559685159545434
5120M,10,20,4.7359515517055515
4864M,10,20,4.323242030618511
4608M,10,20,4.027524942992836
4352M,10,20,4.021491460352136
4096M,10,20,3.8902730117609474
3840M,10,20,4.990937908490499
3584M,10,20,4.0833223433721635
3328M,10,20,4.3147069944752205
3072M,10,20,5.342822202614376
2816M,10,20,4.977193610796791
2560M,10,20,6.792596408299038
2304M,10,20,5.1561535583522335
2048M,10,20,5.15277170827972
1792M,10,20,6.026271360004367
1536M,10,20,4.706999009220716
1280M,10,20,5.24425298183948
1024M,10,20,4.440600253917553
768M,10,20,4.4958439545295406
512M,10,20,5.09447751402044
256M,10,20,4.690015446598728
4k,10,20,4.601505840181481
7168M,0,20,8.792308768219263
6912M,0,20,9.563533883345755
6656M,0,20,5.643658269821138
6400M,0,20,5.59217115836357
6144M,0,20,3.5879262402555603
5888M,0,20,3.982153705075126
5632M,0,20,3.525069601395551
5376M,0,20,3.527079840980606
5120M,0,20,3.569017847379049
4864M,0,20,3.7451305985450745
4608M,0,20,3.7409034412303073
4352M,0,20,4.393830851725469
4096M,0,20,4.012091890715531
3840M,0,20,3.775056873821191
3584M,0,20,3.8013542969214735
3328M,0,20,3.692354306863255
3072M,0,20,3.953691051000027
2816M,0,20,3.7047118409297757
2560M,0,20,4.218640753620532
2304M,0,20,3.710048918676849
2048M,0,20,3.9877037551209393
1792M,0,20,5.172120177406397
1536M,0,20,4.679969511926174
1280M,0,20,5.057674118235141
1024M,0,20,4.052930210761791
768M,0,20,4.066483460093774
512M,0,20,4.108847170085697
256M,0,20,4.547918576042853
4k,0,20,3.5530627127361183
7168M,50,10,10.928241556340998
6912M,50,10,9.948888361848743
6656M,50,10,10.518367763981878
6400M,50,10,9.780725880509294
6144M,50,10,7.928699924262387
5888M,50,10,7.7715942717953865
5632M,50,10,8.065715271939514
5376M,50,10,5.457702230234616
5120M,50,10,6.107888086055353
4864M,50,10,5.321406852701859
4608M,50,10,6.497795824890798
4352M,50,10,6.672971232696738
4096M,50,10,9.628878741930231
3840M,50,10,7.5187000197980876
3584M,50,10,6.612614996509489
3328M,50,10,8.384446497563717
3072M,50,10,6.715373523024402
2816M,50,10,5.939904367319996
2560M,50,10,5.989783293717391
2304M,50,10,6.10144916895326
2048M,50,10,6.76376709405841
1792M,50,10,8.509165851782399
1536M,50,10,7.595256914066363
1280M,50,10,6.137223969441026
1024M,50,10,6.98237235729511
768M,50,10,5.755595683592575
512M,50,10,6.626560938292446
256M,50,10,6.049733590165493
4k,50,10,5.2747114142935425
7168M,30,10,8.651404072054856
6912M,30,10,8.880840956106693
6656M,30,10,6.816251169551503
6400M,30,10,6.279983320785442
6144M,30,10,6.339793981507767
5888M,30,10,5.848976693502286
5632M,30,10,5.160941724727978
5376M,30,10,5.581292884294377
5120M,30,10,5.48894872595539
4864M,30,10,5.316624518718567
4608M,30,10,5.319259094726129
4352M,30,10,7.440792699778302
4096M,30,10,4.869620714868818
3840M,30,10,6.097599788211733
3584M,30,10,4.946053618251687
3328M,30,10,4.713270274348229
3072M,30,10,4.997575084368388
2816M,30,10,6.4632851501991
2560M,30,10,5.7525623358037485
2304M,30,10,4.806345333169724
2048M,30,10,7.032465962704014
1792M,30,10,5.167114118049884
1536M,30,10,5.70525986807687
1280M,30,10,5.524938117523897
1024M,30,10,5.380886294195826
768M,30,10,8.995519028053627
512M,30,10,6.576219583840062
256M,30,10,6.3597849400973345
4k,30,10,8.296033682255203
7168M,10,10,9.64265229422629
