ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
0.77,5.920,22.650,32008.192,274.668,1.39,347.973,13.27
0.84,6.128,17.277,31838.208,296.728,1.32,373.917,12.75
0.88,5.605,13.483,38048.768,273.760,1.14,345.199,11.76
0.84,4.713,19.683,26299.392,230.235,1.32,292.24,12.22
0.84,5.103,13.076,34206.72,229.280,1.16,286.19,12.25
0.86,5.029,14.239,29672.448,222.826,1.23,279.625,11.87
0.86,5.179,17.799,29557.76,231.461,1.25,289.168,12.15
0.74,4.841,22.037,20855.808,196.013,1.64,246.314,12.06
0.83,4.946,14.107,29187.072,209.445,1.34,262.075,12.44
0.80,4.754,20.306,23070.72,193.654,1.60,271.836,10.46
0.82,4.585,28.437,13912.064,157.170,1.94,305.199,8.50
1.03,4.854,19.763,19753.984,238.041,1.13,398.225,7.48
1.11,4.552,18.639,9505.792,244.376,1.05,433.614,6.34
0.67,5.182,17.480,1234.944,173.085,1.57,221.351,11.66
0.80,4.251,26.410,42016.768,228.791,1.29,285.649,12.24
0.85,5.009,24.497,41075.712,235.994,1.14,298.754,12.00
0.85,5.017,25.265,36702.208,228.866,1.14,288.549,12.15
0.84,4.326,23.669,30669.824,210.178,1.45,263.544,11.92
0.86,4.946,23.645,33665.024,219.279,1.19,279.686,11.84
0.83,4.821,24.227,32555.008,211.803,1.22,267.494,12.60
0.82,4.772,21.280,38683.648,213.057,1.17,261.806,12.81
0.83,4.946,22.486,32561.152,210.274,1.21,264.589,12.40
1.08,4.511,23.726,9692.16,185.830,1.31,435.692,6.44
1.03,5.009,22.061,25841.664,213.290,1.20,415.098,7.40
1.16,4.709,25.102,21079.04,256.932,0.99,452.417,6.55
1.28,5.197,21.551,6640.64,304.678,0.88,557.131,5.44
1.19,4.594,27.687,13102.08,279.239,0.90,496.247,5.84
0.64,5.116,22.397,1527.808,174.239,1.57,219.464,11.25
0.77,4.651,31.695,47425.536,216.074,1.54,269.54,12.46
0.81,4.675,25.253,33719.296,197.534,1.15,253.0,12.39
0.80,3.888,47.127,36465.664,196.981,1.27,249.861,13.14
0.82,5.324,31.776,43961.344,222.475,1.13,277.947,12.90
0.82,5.686,31.813,37800.96,216.913,1.11,275.903,12.44
0.80,4.093,42.020,16694.272,202.388,1.34,260.363,11.02
0.89,5.236,31.917,37251.072,199.931,1.28,333.242,9.89
0.78,4.631,28.476,33826.816,173.276,1.29,213.154,12.89
1.09,5.027,24.233,14959.616,188.914,1.25,441.92,6.44
0.97,3.903,39.116,12867.584,211.235,1.23,335.754,7.39
