ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency(ms)
1.01,10.431,25.429,16397.312,385.475,1.21,483.131,8.44,8.6,0.0,889704.0,5355044.0,137244.0,520216.0,3.2,0.0,17.6,27029.6,20460.8,43666.2,37.4,60.4,1.8,0.2,0.0,0.69409
0.97,9.94,32.58,18711.552,346.259,1.39,473.178,8.8,10.6,0.4,889604.0,5795747.2,137248.0,524555.2,12.0,0.0,12.0,28002.4,18131.8,39738.2,41.2,55.0,3.8,0.2,0.0,0.655015
0.67,7.429,40.268,28656.64,268.428,2.0,353.289,10.11,10.0,0.4,1306042.4,118514.4,49165.6,260285.6,5180.0,175484.8,7792.4,192893.6,19653.0,29688.6,25.8,70.6,2.2,1.4,0.0,0.763233
0.72,9.367,29.218,36307.968,277.026,1.77,364.374,13.13,11.6,0.2,1410836.0,2720992.0,52974.4,337744.8,2544.0,848.0,9995.4,25675.2,18501.4,37259.2,27.0,70.0,2.6,0.4,0.0,0.515009
0.71,9.359,32.472,34898.944,271.25,1.78,356.567,13.29,8.0,0.0,1393570.4,3601823.2,35833.6,306835.2,3662.4,245.6,5109.4,28505.6,19671.2,37510.0,29.0,66.8,3.6,0.8,0.0,0.510631
0.67,11.796,33.471,38417.408,265.173,2.02,349.069,14.35,8.2,0.2,1370084.0,3487025.6,97171.2,338680.0,651.2,0.0,1321.6,29521.6,19381.0,47963.8,29.0,66.4,4.8,0.4,0.0,0.456923
0.67,11.583,30.819,40519.68,260.946,2.0,336.787,13.99,9.8,0.0,1346685.6,4288251.2,125872.8,355667.2,3586.4,0.0,4957.0,27679.2,21089.4,46183.8,28.8,67.0,3.6,0.6,0.0,0.468295
0.68,10.921,27.378,34293.76,255.544,1.9,332.458,13.98,6.8,0.2,1344228.0,3984508.8,133401.6,366350.4,105.6,0.0,278.4,28396.8,21033.6,45814.0,29.6,66.6,3.4,0.8,0.0,0.524314
0.81,11.481,30.686,20983.808,230.262,2.17,439.141,9.78,7.0,0.4,1343101.6,2596208.8,135838.4,373970.4,97.6,0.0,1279.2,24984.0,20612.6,45712.8,32.2,63.2,3.8,1.0,0.0,0.557847
0.69,10.806,24.566,38072.32,253.545,1.99,331.007,13.87,8.0,0.0,1336719.2,4870039.2,136532.0,389509.6,965.6,0.0,1790.4,26983.2,21003.4,44020.0,29.8,67.2,2.6,0.2,0.0,0.572267
0.68,11.951,28.97,33150.976,256.873,2.07,333.242,14.05,9.4,0.4,1334213.6,4995014.4,136916.0,388618.4,36.0,0.0,45.6,27318.4,21486.4,46821.6,29.0,66.6,3.8,0.6,0.0,0.543965
0.68,10.688,30.778,31204.352,245.344,2.22,322.341,13.47,8.4,0.0,1332310.4,5116994.4,137196.8,398880.8,1525.6,0.0,2325.0,26972.0,18974.2,39298.0,34.4,61.8,3.4,0.8,0.0,0.475526
0.64,11.387,21.97,37980.16,243.964,2.18,314.712,14.77,8.2,0.2,1326234.4,5313663.2,137293.6,406977.6,94.4,0.0,226.4,28124.8,22601.2,46885.6,27.2,69.6,3.4,0.2,0.0,0.417207
0.65,11.729,22.53,44964.864,239.305,2.15,306.657,15.11,8.8,0.0,1325333.6,4545810.4,137316.8,411156.0,45.6,0.0,45.6,26576.8,20582.4,47807.2,29.6,66.0,3.8,0.6,0.0,0.47975
