ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
0.70,11.685,41.433,48531.456,176.066,2.78,456.261,9.50
0.79,12.322,33.725,47482.88,183.906,2.56,559.515,7.92
0.78,13.517,50.006,36216.832,164.096,2.96,539.516,7.90
0.72,12.104,42.373,36473.856,232.127,2.12,460.078,8.88
0.92,12.823,37.395,35974.144,253.754,1.96,592.228,7.12
0.88,13.378,37.651,34694.144,228.617,1.92,541.129,7.54
0.74,11.926,45.048,24225.792,258.508,1.98,453.256,8.78
0.84,12.091,30.205,28289.024,231.944,2.12,505.869,8.25
0.88,10.550,43.851,16610.304,268.165,1.73,529.638,6.47
0.96,13.584,26.525,28109.824,300.847,1.67,604.35,6.95
1.05,12.685,35.648,23790.592,338.856,1.42,683.532,6.05
1.03,13.153,35.179,21030.912,352.958,1.38,696.309,6.17
1.11,9.438,55.091,14825.472,345.422,1.19,674.704,4.96
1.22,11.496,39.799,15203.328,345.250,1.24,820.824,4.67
0.99,11.241,60.562,12659.712,302.760,1.52,624.551,6.08
1.01,12.816,51.136,23767.04,401.722,1.20,519.918,8.03
0.98,12.377,37.259,24986.624,417.323,1.22,465.887,8.67
0.77,10.867,27.567,20065.28,246.974,1.96,411.391,9.03
0.71,7.898,31.634,31171.584,260.299,1.75,339.881,11.77
0.70,7.677,27.298,29390.848,252.355,1.77,332.725,11.73
0.75,9.958,21.053,25243.648,268.923,1.69,340.238,13.19
0.74,9.264,19.901,39249.92,271.555,1.61,351.198,13.20
0.75,9.971,24.613,33221.632,271.347,1.81,351.946,13.14
0.74,9.812,22.778,37578.752,269.580,1.82,352.385,13.45
0.72,10.660,18.611,24136.704,263.036,1.87,340.906,13.62
0.70,10.058,25.063,41245.696,247.497,1.93,317.238,14.25
0.73,9.751,20.987,32957.44,263.536,1.81,340.756,13.39
0.73,9.102,26.356,38019.072,272.632,1.84,353.61,13.34
0.71,10.700,19.739,31466.496,268.566,1.97,346.904,13.38
0.72,10.360,20.908,35529.728,257.669,1.86,328.363,13.76
0.73,8.117,21.027,18403.328,259.874,1.84,338.494,11.54
0.71,10.893,15.436,35860.48,244.928,2.10,316.122,13.89
0.69,11.365,14.227,35823.616,239.317,2.12,331.446,13.61
0.71,9.760,20.374,19831.808,275.224,1.82,353.99,11.25
0.77,8.857,29.774,15684.608,256.955,1.87,394.608,9.53
0.84,8.137,28.019,12838.912,265.380,1.79,445.122,8.58
0.83,8.882,26.311,13230.08,268.852,1.79,445.763,8.60
