ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
0.79,4.605,24.531,46174.208,195.011,1.05,247.74,12.53
0.81,4.689,30.968,42009.6,203.476,1.06,264.505,11.65
0.77,3.889,42.064,30817.28,186.476,1.23,238.308,11.79
0.72,3.734,37.172,29070.336,167.184,1.32,212.369,12.44
0.67,2.939,58.228,19321.856,160.770,1.68,196.166,10.66
0.68,2.762,51.277,28508.16,178.434,1.23,209.844,11.51
0.74,4.856,20.286,44595.2,169.605,1.46,217.089,11.56
0.73,4.452,23.987,41337.856,185.375,0.98,237.171,11.56
0.70,4.771,22.019,56048.64,162.304,1.01,201.416,13.09
0.69,5.022,27.362,57601.024,168.624,0.94,211.503,14.23
0.70,4.794,29.234,50778.112,157.284,0.98,198.594,13.63
0.66,2.593,97.173,17014.784,179.174,1.49,209.103,10.65
0.57,3.996,33.739,38843.392,143.937,1.11,181.775,13.29
0.73,3.455,34.100,29546.496,183.538,0.90,237.369,10.03
0.60,3.874,55.162,31757.312,138.368,1.16,179.684,12.73
0.63,5.620,21.922,59163.648,146.142,0.84,184.479,15.02
0.63,4.776,27.656,48865.28,128.193,0.96,165.108,14.66
0.64,5.737,12.404,55806.976,142.967,0.81,184.85,14.17
