ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
0.65,4.778,30.304,56836.096,171.889,1.14,211.037,13.64
0.64,5.069,27.119,45195.264,154.871,1.19,192.598,13.38
0.65,5.227,22.860,56411.136,177.942,1.25,220.149,13.80
0.63,5.514,19.592,55812.096,161.474,1.20,198.785,13.42
0.68,5.541,19.896,55009.28,167.935,1.28,230.354,12.01
0.84,3.321,51.396,8219.648,156.623,1.25,258.777,7.12
0.87,5.178,22.264,46124.032,126.480,1.51,363.475,6.57
0.79,5.360,29.366,49693.696,132.987,1.55,307.152,7.95
0.83,5.377,31.853,44794.88,127.453,1.61,335.299,7.33
1.01,5.338,35.052,38478.848,162.179,1.31,456.823,5.21
0.92,3.648,54.242,18488.32,188.092,1.05,352.413,5.52
1.03,3.741,28.221,18091.008,218.452,0.96,366.637,5.27
1.10,5.703,31.006,39768.064,206.370,0.95,423.447,5.73
1.05,5.290,23.519,36393.984,185.197,1.03,385.5,5.90
1.25,5.356,27.186,31242.24,240.778,0.77,495.122,4.51
1.26,4.990,38.836,26629.12,229.582,0.80,505.822,4.20
1.52,5.261,34.494,18229.248,288.169,0.61,709.228,3.02
1.54,5.053,27.428,14326.784,292.353,0.64,696.918,3.05
1.46,5.406,23.244,16182.272,272.116,0.71,658.37,3.16
1.26,5.402,27.452,29211.648,276.852,0.69,542.167,4.36
0.93,3.842,50.317,23515.136,223.088,0.84,253.501,7.20
1.24,5.129,21.059,33787.904,305.241,0.61,434.498,5.17
0.60,5.459,18.428,5861.376,162.847,1.77,205.764,11.61
0.72,4.134,28.618,42999.808,194.459,1.38,240.359,12.61
0.77,4.524,20.394,33969.152,186.827,1.38,233.599,13.11
0.78,4.813,20.973,43223.04,211.963,1.28,267.188,13.09
0.79,5.004,24.969,40906.752,211.936,1.29,261.216,13.50
0.81,4.518,22.767,39643.136,221.052,1.23,279.299,12.24
0.77,4.642,25.014,38622.208,198.676,1.31,250.373,13.01
0.82,4.694,27.007,35441.664,212.107,1.23,268.909,11.96
0.83,4.864,26.032,39931.904,226.409,1.24,283.035,12.19
0.85,4.728,25.143,31376.384,226.695,1.18,284.401,11.89
