r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%)
7.8,0.4,1325006.4,2680548.8,137331.2,416229.6,29.6,0.0,33.6,27116.0,21581.4,42511.4,35.6,59.2,4.6,0.6,0.0
7.6,0.4,1321472.0,4433367.2,137345.6,419696.0,41.6,0.0,101.0,29071.2,21057.0,45446.2,30.4,66.4,3.2,0.4,0.0
7.8,0.0,1317403.2,4265417.6,137356.0,424166.4,52.0,0.0,52.8,28147.2,19728.4,40021.8,31.6,64.2,3.6,0.4,0.0
7.2,0.2,1314385.6,3983060.8,137370.4,431018.4,1313.6,0.0,3431.4,26856.8,21618.8,43828.8,34.6,62.2,2.8,0.4,0.0
6.4,0.0,1301082.4,3953543.2,138065.6,450252.0,32.8,0.0,83.2,29131.2,21022.6,44077.4,37.6,58.4,3.8,0.6,0.0
7.0,0.2,1298480.8,4122488.0,138124.8,464650.4,11.2,0.0,44.0,30052.0,24632.4,46703.4,30.8,66.4,2.6,0.4,0.0
6.0,0.6,1297475.2,4690713.6,138380.0,470856.0,16.0,0.0,16.0,28632.8,21978.4,47281.6,32.0,63.8,4.0,0.8,0.0
6.6,0.2,1297636.0,4987225.6,138380.0,478929.6,19.2,0.0,26.4,30477.6,21689.2,45901.4,32.6,62.2,4.8,0.6,0.0
9.2,0.0,1505910.4,5241477.6,138384.8,477517.6,23.2,94944.0,23.2,121028.0,19384.8,37515.6,30.8,65.2,3.6,1.0,0.0
7.6,0.0,1557716.8,5511292.0,138388.0,477711.2,20.8,84308.8,20.8,110056.8,19101.8,45552.6,29.0,65.6,4.4,0.6,0.0
8.0,0.2,1295848.8,5488984.0,138392.0,484069.6,21.6,0.0,22.4,28721.6,22026.2,43858.6,31.8,63.2,4.4,0.6,0.0
8.2,0.0,1296459.2,5527272.8,138396.0,484978.4,8.8,16810.4,8.8,45331.2,19644.6,41769.0,35.4,59.6,4.4,0.6,0.0
9.8,0.4,1296408.0,5479024.8,138412.0,491786.4,8.0,0.0,8.0,29742.4,24176.8,45261.4,34.0,61.6,4.0,0.8,0.0
10.0,0.2,1437077.6,5838346.4,138412.0,487231.2,10.4,121483.2,10.4,145131.2,17255.2,34733.6,39.4,53.4,6.0,1.2,0.0
6.8,0.2,1363041.6,6118016.8,138415.2,490956.8,65.6,52428.8,68.0,78370.4,18816.4,36530.2,32.8,62.6,4.4,0.6,0.0
8.0,0.2,1315399.2,6301484.8,138416.8,491697.6,24.0,26214.4,36.0,51692.0,21304.8,45000.4,31.8,64.6,3.0,0.6,0.0
11.6,0.6,1685191.2,129640.0,14845.6,219016.0,38343.2,148397.6,55071.4,167068.8,21881.4,32155.0,14.2,79.6,3.0,2.8,0.0
6.6,1.2,1434815.2,4273945.6,44425.6,337997.6,4687.2,1028.0,10616.2,28535.2,20959.6,42533.4,21.4,73.6,4.4,1.0,0.0
11.2,0.0,1408447.2,4185960.0,109310.4,394459.2,2188.8,0.0,4489.2,28456.8,20347.2,43159.2,22.4,71.8,4.8,0.8,0.0
6.8,0.4,1354277.6,3276592.0,76545.6,418021.6,257.6,0.0,374.4,27177.6,19788.0,43662.4,27.2,68.6,4.0,0.6,0.0
7.2,0.0,1330572.0,4003120.0,117152.8,426831.2,118.4,0.0,388.8,29335.2,21652.0,52680.6,25.0,70.2,4.4,0.8,0.0
8.2,0.0,1327551.2,4245820.0,128884.0,433666.4,88.0,0.0,712.0,27118.4,18905.4,44542.0,29.4,66.4,3.8,0.6,0.0
8.4,0.0,1327192.8,4614860.0,133455.2,437273.6,73.6,0.0,84.0,28804.0,20144.6,50692.4,26.4,69.2,4.0,0.4,0.0
6.4,0.2,1326476.0,4772352.0,135161.6,443442.4,56.0,0.0,131.2,30767.2,21497.8,46166.2,27.4,68.0,3.8,1.0,0.0
7.8,0.4,1314444.0,4470306.4,136242.4,467130.4,48.8,0.0,50.4,28734.4,21394.8,49254.2,26.8,68.0,5.0,0.8,0.0
7.4,0.0,1312261.6,4339942.4,136800.8,481844.0,291.2,0.0,1439.0,28576.8,19749.2,46789.8,25.4,69.4,4.8,0.6,0.0
8.2,0.0,1309292.0,3806928.8,136874.4,480237.6,28.8,0.0,45.6,31004.8,21534.6,51083.6,23.0,71.0,5.4,0.6,0.0
8.2,0.2,1307858.4,3398638.4,136902.4,484746.4,174.4,0.0,174.4,27828.0,20575.8,47315.2,31.0,64.2,4.6,1.0,0.0
7.4,0.6,1306988.0,3189682.4,136924.8,492160.8,16.8,0.0,16.8,31320.8,22834.2,47425.6,26.8,67.8,4.8,1.0,0.0
6.8,0.2,1305443.2,3327076.0,136944.8,493096.8,465.6,0.0,1452.8,28797.6,21028.2,42656.2,29.8,63.4,5.8,1.0,0.0
8.8,0.4,1693448.8,4344304.0,136962.4,503442.4,29.6,138699.2,29.6,160973.6,19414.0,37673.2,20.4,73.8,4.4,1.6,0.0
9.8,0.0,1303596.0,3448960.0,136976.0,507645.6,14.4,0.0,15.2,28947.2,21400.2,45411.6,31.0,61.0,6.8,1.0,0.0
8.0,0.0,1303596.0,4397486.4,136984.8,510515.2,14.4,0.0,14.4,30170.4,21256.4,41686.8,27.8,68.2,3.4,0.2,0.0
8.8,0.4,1679132.0,4533562.4,137400.0,512112.0,15.2,121378.4,15.2,145267.2,19364.4,41568.6,25.0,70.6,3.6,0.6,0.0
10.0,0.2,1719453.6,4800108.0,137401.6,518174.4,0.0,111325.6,0.8,136509.6,19323.2,43240.0,27.2,68.2,4.2,0.8,0.0
6.4,0.2,1301642.4,4880056.0,137414.4,521495.2,11.2,0.0,17.6,31244.8,21228.2,47528.6,29.4,65.2,5.0,0.6,0.0
7.4,0.0,1301262.4,5003841.6,137421.6,533938.4,21.6,0.0,24.0,29660.8,21861.0,47133.0,30.4,64.2,4.8,0.8,0.0
7.6,0.2,1300965.6,5067294.4,137440.0,534965.6,20.8,0.0,20.8,28509.6,20601.2,48149.0,32.0,63.4,4.0,0.8,0.0
7.4,0.6,1300338.4,4957082.4,137447.2,535275.2,8.0,0.0,8.8,25644.0,19144.6,42925.2,35.6,58.8,4.6,0.6,0.0
7.8,0.0,1300155.2,5172873.6,137459.2,542716.0,19.2,0.0,25.6,29857.6,21761.4,49463.0,32.2,62.8,4.6,0.6,0.0
8.8,0.2,1300432.0,5588787.2,137464.0,544742.4,19.2,0.0,19.2,29125.6,19344.8,49779.6,33.6,58.6,7.2,0.8,0.0
8.8,0.2,1300444.0,5686648.8,137799.2,543857.6,7.2,3763.2,72.8,30294.4,20234.2,40064.2,35.4,57.4,6.4,1.0,0.0
6.6,0.0,1300290.4,6079258.4,137804.8,549134.4,22.4,0.0,26.4,29864.8,22746.2,48867.2,27.0,67.8,4.6,0.8,0.0
9.4,0.2,1308802.4,6238645.6,137808.0,551224.8,13.6,26214.4,14.4,51936.8,20663.6,40966.0,28.8,58.6,11.6,1.4,0.0
8.2,1.0,1836666.4,132573.6,15289.6,287088.0,41411.2,174650.4,61019.0,186875.2,22533.6,28279.2,8.8,81.0,2.6,7.8,0.0
7.8,0.4,1480723.2,2315052.8,29892.8,254383.2,36050.4,56325.6,55501.8,75384.8,20589.2,33845.2,15.2,79.0,2.2,3.4,0.0
8.4,0.0,1393564.8,4821034.4,62754.4,326192.8,5872.0,1456.0,14483.0,29984.8,20266.6,42169.8,22.4,73.0,3.6,1.2,0.0
7.2,0.0,1358646.4,4962477.6,118053.6,377175.2,1584.0,0.0,2867.2,30176.0,23435.0,45730.2,19.0,73.6,6.4,1.0,0.0
10.0,0.6,1352502.4,2776369.6,133126.4,386963.2,1429.6,0.0,2451.0,27593.6,20309.6,45337.6,32.4,63.2,3.8,1.0,0.0
5.8,0.4,1314358.4,4450791.2,137663.2,396662.4,68.0,0.0,68.8,31068.8,21570.8,50422.0,18.4,76.2,4.8,0.6,0.0
7.6,0.4,1312412.8,4108472.0,139137.6,413528.8,126.4,0.0,126.4,32228.0,22472.4,50053.8,15.6,80.2,3.8,0.2,0.0
6.2,0.0,1310620.8,4193370.4,139681.6,408733.6,82.4,0.0,143.8,30244.0,22452.2,48364.2,21.6,72.4,5.2,1.0,0.0
7.6,0.0,1309648.0,4109072.8,139844.8,419334.4,37.6,0.0,37.6,30352.8,22857.2,50634.2,17.0,79.0,4.0,0.6,0.0
7.6,0.0,1309136.0,3207388.0,139976.8,426172.0,19.2,0.0,78.4,32059.2,21428.6,51452.4,28.8,66.6,3.8,0.8,0.0
8.0,0.4,1303504.0,3274947.2,140092.8,435354.4,965.6,0.0,1488.8,30828.8,21735.4,43854.8,22.2,73.4,4.2,0.8,0.0
6.6,0.0,1302787.2,3365004.8,140116.8,435756.0,35.2,0.0,35.2,32597.6,20409.0,48204.6,28.6,66.8,4.0,0.4,0.0
8.2,0.0,1302070.4,3159234.4,140358.4,440900.0,28.8,0.0,28.8,32768.0,23844.0,56030.4,23.6,71.0,4.6,0.6,0.0
6.0,0.2,1600800.0,3911400.8,140380.0,444648.0,12.0,87727.2,12.0,115908.8,20770.0,49015.0,22.6,72.0,4.4,1.4,0.0
7.0,0.0,1300656.8,4073363.2,140405.6,447985.6,24.0,0.0,24.0,32683.2,22087.4,50348.8,28.6,66.2,4.4,1.0,0.0
8.4,0.0,1298642.4,4111916.0,140560.0,458468.0,6.4,0.0,6.4,31624.0,22872.8,51061.4,27.0,66.4,5.4,1.2,0.0
8.6,0.0,1696631.2,4483467.2,140628.8,471626.4,2028.8,107768.0,4523.2,133195.2,20866.4,46677.2,21.0,73.8,4.0,1.2,0.0
6.6,0.0,1287244.0,4986100.0,140844.0,486101.6,40.0,0.0,49.6,30872.0,23938.4,48603.2,22.2,72.6,4.2,0.8,0.0
5.6,0.0,1662876.0,4556502.4,141167.2,495605.6,35.2,162296.0,172.0,185427.2,19102.8,39244.0,25.0,68.6,4.6,2.0,0.0
8.8,0.2,1285622.4,5035840.0,141178.4,501036.8,28.8,0.0,28.8,31205.6,23413.6,55389.4,25.0,67.8,6.2,1.0,0.0
5.2,0.2,1284886.4,5023485.6,141190.4,502189.6,53.6,0.0,53.6,30883.2,23376.8,51952.2,28.0,67.0,4.4,1.0,0.0
7.0,0.2,1284661.6,4898520.0,141192.0,505243.2,11.2,0.0,11.2,31551.2,22408.2,53028.8,25.2,68.4,5.8,0.4,0.0
5.6,0.6,1569668.0,5101840.8,141196.8,508934.4,25.6,152231.2,25.6,173935.2,17980.6,35717.0,28.8,63.4,5.8,2.4,0.0
5.8,0.0,1284940.0,5230861.6,141208.8,516599.2,8.0,0.0,8.0,28272.8,20118.2,46545.4,35.8,58.0,6.0,1.0,0.0
6.8,0.2,1358712.8,5468712.8,141212.8,524696.0,10.4,53562.4,11.2,80266.4,21907.0,46594.8,23.0,71.2,4.8,1.0,0.0
9.6,0.0,1284451.2,5860695.2,141220.8,523010.4,69.6,0.0,69.6,29403.2,22178.6,52319.2,24.4,71.0,4.2,0.8,0.0
6.6,0.0,1283976.0,6063188.0,141371.2,531706.4,5.6,0.0,8.0,28424.0,22922.4,49876.4,25.8,66.0,7.4,1.2,0.0
6.8,0.2,1284131.2,6249023.2,141386.4,532664.0,15.2,0.0,64.8,23900.0,21795.8,43994.8,29.2,65.6,4.4,1.0,0.0
11.8,0.4,1396370.4,328468.0,60811.2,343943.2,206.4,73562.4,7884.6,93370.4,18170.4,33409.2,29.6,66.6,2.6,1.0,0.0
9.4,0.6,1467363.2,435944.0,50129.6,320393.6,8780.0,79459.2,11434.4,100312.0,17554.2,29345.4,28.4,68.0,2.8,0.8,0.0
10.2,0.4,1326548.8,2869040.0,93292.0,356291.2,1202.4,0.0,2607.2,24914.4,18773.2,38097.4,32.8,63.2,3.8,0.2,0.0
11.4,0.0,1305732.0,2366441.6,122908.0,364186.4,106.4,0.0,156.0,26613.6,19158.8,36946.6,32.0,65.6,2.4,0.0,0.0
8.0,0.0,1303957.6,3539402.4,132547.2,366203.2,68.8,0.0,182.2,25807.2,19019.4,40849.2,31.6,63.8,4.4,0.4,0.0
11.2,0.2,1302349.6,3846764.8,135280.8,373050.4,270.4,0.0,458.0,27200.8,18451.6,39026.4,33.2,61.4,5.0,0.4,0.0
9.8,0.6,1301747.2,3280889.6,136255.2,382680.8,7.2,0.0,7.2,26182.4,19382.0,42219.8,31.2,65.2,3.0,0.6,0.0
9.4,0.2,1301387.2,4396163.2,136649.6,377240.8,25.6,0.0,25.6,27892.0,17816.2,41022.2,30.8,66.0,3.2,0.0,0.0
9.8,0.2,1301057.6,4731060.0,136851.2,378360.0,16.8,0.0,52.8,25700.8,19471.6,38603.0,33.6,64.0,2.2,0.0,0.0
9.4,0.0,1300433.6,4882828.0,136936.8,377739.2,165.6,0.0,236.6,25849.6,17508.6,35726.4,35.2,61.6,2.8,0.4,0.0
8.6,0.2,1299476.8,5265672.8,136955.2,386416.0,52.8,0.0,52.8,28347.2,20237.2,42937.0,28.4,68.2,3.2,0.0,0.0
9.8,0.4,1299125.6,5281715.2,136966.4,389584.0,27.2,0.0,33.6,25176.0,18655.0,41140.6,35.0,61.8,3.0,0.0,0.0
10.6,0.2,1493380.8,3892516.0,137806.4,413284.0,10.4,87723.2,10.4,108260.8,17954.4,33262.0,32.2,64.8,2.8,0.4,0.0
8.6,0.2,1289882.4,5142195.2,137994.4,418107.2,14.4,0.0,880.4,25915.2,19418.4,42870.6,31.8,66.6,1.2,0.2,0.0
8.8,0.4,1289409.6,4776480.8,138120.0,426665.6,24.8,0.0,24.8,26589.6,21410.6,44829.0,30.8,66.2,2.6,0.8,0.0
9.6,0.4,1780707.2,4362632.0,138136.0,428489.6,16.8,132256.8,18.4,155016.0,17855.0,36766.8,29.6,68.4,1.8,0.4,0.0
10.2,0.4,1759855.2,3819904.8,138304.8,432527.2,33.6,128048.8,91.2,146767.2,16461.0,36022.0,34.0,62.4,3.0,1.0,0.0
8.2,0.0,1811732.8,3941805.6,138328.0,429947.2,47.2,147710.4,47.2,169769.6,18191.6,31733.4,34.4,61.8,3.0,0.8,0.0
8.6,0.0,1712428.8,4160456.8,138329.6,436606.4,8.8,129108.0,114.2,147983.2,18471.4,37286.4,34.8,62.6,2.4,0.6,0.0
8.4,0.8,1256336.8,4823919.2,138351.2,439788.0,10.4,0.0,10.4,22939.2,17699.0,36870.8,39.8,57.4,2.6,0.6,0.0
8.6,0.4,1256028.8,5234261.6,138360.0,444228.0,12.8,0.0,16.0,22237.6,19226.8,41232.6,37.6,59.4,2.6,0.4,0.0
8.8,0.8,1255936.8,5467302.4,138360.0,449048.8,2.4,0.0,16.2,22012.0,19776.6,43202.4,34.4,63.2,2.6,0.2,0.0
11.2,0.0,1255137.6,5423468.8,138371.2,451425.6,0.0,0.0,0.0,27763.2,19432.4,45023.6,35.0,61.4,3.4,0.4,0.0
8.0,0.4,1255040.0,5440860.8,138377.6,455735.2,4.0,0.0,8.0,22802.4,20004.4,40088.6,38.6,57.6,3.4,0.4,0.0
9.4,0.2,1479171.2,5539352.8,138396.0,448632.8,5.6,87047.2,6.4,106941.6,17348.4,33726.8,38.2,58.4,3.2,0.8,0.0
8.0,0.0,1255452.0,5681008.8,138410.4,452601.6,0.8,0.0,0.8,21949.6,19713.4,41189.2,40.6,55.4,3.6,0.6,0.0
8.8,0.8,1302839.2,6093898.4,138415.2,458808.0,0.0,52428.8,0.0,72270.4,18622.6,35725.2,37.0,59.4,2.8,0.4,0.0
9.4,0.0,1255564.0,6282939.2,138436.8,465300.0,0.0,0.0,2.4,25324.8,20275.2,39419.2,33.2,63.0,3.4,0.2,0.0
12.4,1.8,1529776.8,163863.2,37772.8,298251.2,6505.6,129324.8,23507.0,146248.0,18937.6,31426.2,20.0,76.8,1.2,1.4,0.0
11.6,0.6,1441577.6,1627429.6,22428.8,249444.0,20004.0,16764.8,44354.8,37716.0,19335.6,33240.4,25.2,71.6,1.6,2.0,0.0
12.0,0.2,1390945.6,2719844.0,45685.6,330344.0,9717.6,2612.0,16507.4,26493.6,19332.0,36178.6,25.0,72.8,1.8,0.4,0.0
8.4,0.0,1355327.2,1837541.6,97581.6,337440.8,96.8,0.0,429.2,24948.0,19600.8,38356.6,24.2,73.0,2.8,0.4,0.0
8.6,0.2,1352664.8,3856834.4,128254.4,352148.0,367.2,0.0,1984.4,27376.0,19244.2,39328.4,28.4,68.6,2.8,0.4,0.0
7.6,0.2,1348773.6,4817257.6,137079.2,363648.0,303.2,0.0,1768.8,25397.6,18570.2,39114.2,30.8,65.0,4.0,0.6,0.0
6.8,0.4,1345804.0,3630824.8,139695.2,370010.4,40.0,0.0,40.0,25429.6,20921.6,50330.4,25.4,72.2,2.4,0.2,0.0
8.6,0.2,1543090.4,2918328.8,140652.8,382094.4,52.8,93936.8,639.2,116188.8,18580.2,38257.0,31.2,65.4,3.0,1.0,0.0
10.6,0.0,1337161.6,4226319.2,140937.6,389639.2,36.0,0.0,41.6,29734.4,19320.2,39235.6,28.6,65.4,5.0,0.6,0.0
8.2,0.0,1336568.0,5256902.4,141056.8,397750.4,126.4,0.0,740.4,25952.0,20379.2,41328.4,29.0,67.0,4.0,0.6,0.0
8.8,0.2,1323127.2,5008989.6,141101.6,409755.2,51.2,0.0,52.0,26569.6,21371.2,41906.8,29.0,67.0,3.6,0.6,0.0
7.4,0.2,1322744.8,4838753.6,141200.8,415334.4,20.8,0.0,59.2,27358.4,20223.6,43877.6,29.8,66.0,3.8,0.6,0.0
9.4,0.0,1739376.0,3764528.8,141275.2,412796.8,23.2,132055.2,25.6,152768.8,18252.4,37283.8,30.2,65.6,3.4,0.8,0.0
9.8,0.0,1320885.6,4245417.6,141289.6,426891.2,16.0,0.0,16.0,26262.4,20608.2,43276.0,29.6,65.8,4.2,0.4,0.0
7.6,0.0,1320420.0,3712146.4,141334.4,435856.0,31.2,0.0,31.2,27473.6,20100.4,44425.8,32.2,63.4,3.6,0.8,0.0
8.8,0.2,1319992.8,3920039.2,141358.4,436671.2,28.0,0.0,49.6,28502.4,19464.8,39852.6,36.4,58.6,4.4,0.6,0.0
8.8,0.0,1319625.6,4056815.2,141360.0,438386.4,28.8,0.0,28.8,26831.2,20544.4,41840.4,36.6,60.0,2.8,0.4,0.0
7.6,0.0,1319369.6,4825812.0,141379.2,442341.6,56.8,0.0,56.8,27413.6,20096.4,40358.2,37.8,59.0,3.2,0.4,0.0
8.0,0.2,1321069.6,4067130.4,141393.6,450213.6,48.8,2489.6,48.8,30267.2,20475.0,48788.6,33.4,63.4,3.0,0.4,0.0
6.8,0.4,1373856.8,4525994.4,141404.0,474043.2,88.8,45654.4,371.2,68662.4,19233.0,35624.0,36.0,60.8,2.8,0.6,0.0
7.8,0.6,1788792.0,5213009.6,141782.4,511151.2,555.2,125632.0,1011.4,146999.2,18974.2,38928.0,31.2,65.0,3.2,0.8,0.0
9.2,0.2,1279882.4,5400008.8,142102.4,539076.8,7.2,0.0,33.6,29245.6,21255.4,45444.2,34.2,61.8,3.8,0.6,0.0
8.8,0.4,1279192.0,5175666.4,142237.6,553090.4,16.0,0.0,17.6,25528.0,20422.8,40973.6,37.2,58.4,3.6,0.8,0.0
7.4,0.4,1278892.0,5298253.6,142267.2,549958.4,16.0,0.0,16.0,24080.0,21389.4,44688.4,35.6,59.6,4.6,1.0,0.0
7.6,0.2,1278676.0,5368239.2,142283.2,549887.2,11.2,0.0,12.0,23386.4,19780.0,39816.4,42.2,53.0,4.2,0.8,0.0
