min,max,avg,samples/s
0,13,0.38,96
0,3,0.14,97
0,18,0.57,94
0,6,0.36,95
0,22,0.37,95
0,4,0.39,95
0,6,0.28,96
0,2,0.21,97
0,2,0.14,96
0,2,0.24,97
0,4,0.24,97
0,2,0.12,97
0,1,0.20,97
0,8,0.26,97
0,1,0.13,98
0,2,0.29,95
0,3,0.26,94
0,6,0.27,97
0,15,0.49,95
0,1,0.18,97
0,1,0.11,97
0,1,0.14,98
0,1,0.06,98
0,2,0.11,98
0,1,0.13,97
0,1,0.16,97
0,1,0.14,97
0,1,0.16,96
0,3,0.19,97
0,1,0.10,98
0,1,0.13,98
0,10,0.36,94
0,9,0.29,96
0,16,0.35,96
0,2,0.20,97
0,2,0.45,95
0,1,0.13,98
0,2,0.15,97
0,16,0.43,96
0,2,0.26,98
0,1,0.07,98
0,1,0.07,97
0,2,0.14,97
0,1,0.11,98
0,1,0.20,98
0,2,0.21,95
0,1,0.16,97
0,23,0.58,93
0,8,0.42,92
0,3,0.20,95
0,2,0.24,97
0,6,0.28,95
0,1,0.09,98
0,2,0.38,95
0,5,0.36,95
0,4,0.27,97
0,3,0.29,93
0,8,0.27,96
0,1,0.11,98
0,1,0.14,97
0,3,0.26,93
0,1,0.11,97
0,1,0.23,97
0,5,0.24,95
0,13,0.55,94
0,1,0.12,97
0,13,0.44,95
0,5,0.32,96
0,1,0.19,97
0,2,0.18,97
0,12,0.28,96
0,5,0.38,96
0,1,0.31,94
0,11,0.49,92
0,3,0.24,95
0,4,0.26,95
0,1,0.16,94
0,5,0.35,96
0,3,0.28,96
0,5,0.36,95
0,7,0.26,97
0,2,0.10,97
