ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
0.88,2.594,15.962,8528.896,256.370,1.35,297.089,11.20
0.96,1.751,11.151,26264.576,301.350,1.05,353.166,12.81
0.57,2.068,2.956,748.589,227.660,0.85,240.806,16.09
1.35,1.753,2.622,14203.904,515.626,0.50,425.076,12.28
1.34,2.245,3.745,27941.888,525.189,0.41,499.17,9.60
1.32,2.217,6.235,7439.36,357.974,0.57,602.21,6.67
1.66,2.025,1.915,570.157,468.638,0.40,1026.048,4.49
1.21,2.076,4.913,25860.096,358.435,0.58,554.202,7.72
1.50,2.085,3.498,19830.784,470.662,0.45,873.738,5.40
1.30,2.231,2.822,36798.464,393.588,0.50,615.689,7.89
1.25,1.831,4.830,16912.384,332.379,0.65,578.587,7.48
1.25,2.032,3.285,17515.52,367.259,0.58,633.616,7.57
1.09,19.110,5.538,23996.416,289.174,0.78,529.298,7.33
1.21,25.931,3.498,32075.776,279.733,0.78,738.131,6.32
1.10,23.342,2.956,39514.112,242.753,0.89,652.28,7.15
0.83,21.772,5.996,56990.72,270.018,0.78,329.866,14.95
0.84,3.425,18.334,6629.376,238.993,1.53,275.612,11.83
0.80,2.860,15.404,10158.08,274.895,1.02,306.669,12.40
0.68,1.462,4.994,778.017,234.573,1.09,263.99,14.56
1.17,1.934,5.621,22284.288,371.146,0.76,511.444,8.82
1.31,2.501,5.372,29146.112,477.243,0.55,545.563,8.97
1.46,2.028,5.745,7577.6,389.224,0.58,723.104,5.71
1.48,2.080,7.120,10255.36,452.416,0.66,865.751,5.46
1.39,2.096,5.244,19069.952,435.796,0.58,756.811,6.29
1.28,1.886,4.784,31196.16,430.552,0.64,624.001,8.27
1.12,1.905,8.261,13090.816,279.639,0.80,452.638,8.12
1.27,2.052,5.329,24200.192,340.948,0.75,671.917,7.28
1.30,2.219,8.740,18467.84,324.546,0.78,706.048,6.76
1.23,1.262,7.944,33349.632,298.510,0.86,717.842,7.13
1.17,1.651,8.704,34044.928,301.741,0.92,666.228,8.01
1.00,1.847,8.280,53179.392,314.646,0.86,458.735,12.01
0.92,3.102,11.377,19121.152,252.170,1.25,303.017,12.03
0.91,4.093,11.057,30261.248,276.804,1.10,324.891,13.15
0.82,2.706,18.988,9110.528,256.107,1.05,296.477,10.86
0.71,2.886,4.698,1585.152,239.657,1.34,281.811,13.94
1.13,1.784,4.283,17312.768,353.309,0.95,506.461,8.97
1.17,1.967,7.615,17436.672,361.581,0.79,451.604,9.68
1.44,1.286,4.954,1184.768,434.869,0.72,839.653,5.65
1.28,2.177,5.372,19204.096,377.644,0.86,599.773,7.14
1.28,1.623,4.578,25839.616,421.000,0.74,597.118,8.22
1.23,2.082,4.327,25177.088,368.092,0.79,566.177,8.26
1.26,1.867,3.993,23386.112,334.479,0.87,630.366,7.56
1.26,1.554,3.995,19927.04,334.319,0.91,683.057,7.49
1.09,17.475,3.205,11754.496,241.209,1.23,547.857,8.11
1.04,1.455,4.330,36960.256,287.888,1.03,458.048,10.76
0.97,1.835,7.370,51392.512,327.551,0.86,416.227,13.05
0.95,2.193,7.953,49260.544,304.879,1.00,370.349,14.12
0.94,1.947,6.829,48701.44,310.745,0.93,357.676,14.51
0.76,3.437,30.069,7782.4,195.995,1.55,248.983,10.46
0.87,3.041,15.585,10523.648,278.718,1.14,329.16,10.75
0.80,2.229,3.618,787.108,284.655,1.22,327.802,13.73
1.08,2.349,15.713,10496.0,293.943,0.98,402.529,9.53
1.18,26.290,3.161,18104.32,390.926,0.85,586.037,8.74
1.15,2.083,9.896,7972.864,302.068,0.93,427.996,8.61
1.28,1.561,6.229,16470.016,394.643,0.94,632.46,7.08
1.18,2.579,4.277,24159.232,353.272,0.87,511.64,9.18
1.23,1.484,3.913,19963.904,351.206,0.92,611.051,7.95
1.23,1.720,3.448,16169.984,308.713,1.06,625.268,7.58
1.04,1.874,3.908,32660.48,294.084,1.10,453.248,10.78
1.01,1.587,3.369,40252.416,304.570,1.08,429.077,11.82
0.79,12.250,3.577,37990.4,225.861,1.26,274.365,15.97
0.90,18.625,3.993,33961.984,289.164,1.09,345.557,13.99
0.89,15.978,5.243,28158.976,283.027,1.10,350.742,13.61
0.89,9.302,14.450,12880.896,275.612,1.46,353.287,11.18
0.89,7.137,21.572,17718.272,265.849,2.48,327.766,10.40
0.91,2.376,14.627,8076.288,270.282,1.23,313.461,11.26
0.75,3.425,7.773,1967.104,234.892,1.29,272.535,14.63
1.19,2.172,6.155,14451.712,375.605,0.83,492.649,9.33
1.28,2.413,8.727,698.878,372.077,0.82,620.657,7.47
1.37,1.703,2.790,3926.016,436.795,0.71,715.182,7.17
1.17,1.848,2.456,20349.952,393.093,0.80,526.95,9.70
1.17,2.092,5.745,17654.784,320.811,0.95,465.912,9.67
0.99,15.695,5.701,9393.152,203.151,1.36,471.269,8.06
1.10,2.503,4.747,15232.0,306.119,1.05,504.287,10.10
1.01,2.117,3.706,33130.496,331.031,0.97,442.979,12.65
0.80,17.398,4.030,32159.744,243.210,1.25,295.054,15.90
0.95,1.967,3.536,46000.128,343.308,1.00,388.107,14.49
0.96,2.044,1.831,37860.352,349.335,0.93,392.299,14.28
1.01,1.692,1.789,30962.688,361.185,0.90,414.78,13.53
0.87,2.834,14.875,7444.48,252.535,1.44,300.404,11.81
0.89,2.569,12.996,24916.992,288.817,1.27,331.915,12.60
0.92,2.876,6.241,30828.544,317.919,1.06,365.347,14.43
0.65,2.142,6.612,647.435,310.786,0.73,313.944,16.90
1.08,1.708,7.156,14838.784,357.725,0.70,426.817,11.74
1.11,2.033,13.235,20659.2,390.043,0.53,359.972,12.50
1.42,1.811,9.828,14460.928,464.871,0.44,810.921,6.73
1.45,2.295,9.489,6008.832,436.210,0.46,813.455,6.13
1.15,2.051,12.761,14107.648,407.256,0.54,491.718,9.79
1.16,2.278,8.030,30835.712,388.205,0.60,592.286,9.45
1.21,1.784,10.195,9723.904,336.691,0.67,568.235,8.33
1.14,2.086,7.868,14320.64,350.835,0.57,531.854,9.08
1.22,1.650,5.495,22864.896,315.319,0.65,660.616,7.95
1.18,2.051,6.036,27563.008,306.327,0.69,678.091,8.19
0.97,14.958,8.737,569.929,233.720,0.88,420.876,7.66
0.81,16.375,5.618,36566.016,202.365,0.99,356.938,12.02
0.73,15.890,7.552,39029.76,225.952,1.17,270.95,15.62
0.66,11.942,18.648,17848.32,184.614,1.77,238.917,13.16
0.72,11.632,16.920,10855.424,239.167,1.20,275.816,11.62
0.70,2.104,4.910,935.158,301.079,0.86,317.725,15.87
1.13,2.029,5.116,20395.008,389.754,0.79,512.23,10.20
1.15,2.185,8.886,16512.0,371.839,0.69,504.322,9.76
1.46,3.029,5.661,1477.632,403.179,0.54,784.295,5.91
1.37,1.243,5.246,15832.064,468.062,0.54,765.456,7.00
1.22,1.782,8.866,9695.232,405.439,0.61,543.095,8.88
1.20,2.323,4.287,23759.872,361.090,0.71,593.572,9.28
1.23,1.767,5.450,19368.96,351.212,0.80,634.256,8.35
1.12,2.201,5.200,27189.248,321.331,0.82,596.07,9.43
1.04,1.944,10.161,16030.72,333.990,0.75,424.853,10.43
1.04,1.819,5.911,41287.68,330.598,0.85,493.643,11.68
0.98,1.753,5.246,48248.832,331.042,0.81,442.28,13.07
0.89,1.974,5.414,55493.632,344.747,0.77,369.843,16.44
0.96,2.074,4.370,48614.4,308.914,0.84,407.829,13.27
0.76,13.670,7.309,42438.656,245.134,0.99,280.589,16.71
0.77,4.767,26.850,8275.968,228.459,1.33,268.993,11.27
0.79,2.299,4.561,805.762,298.166,1.07,332.361,14.52
1.20,2.262,10.597,15184.896,351.374,2.39,507.608,7.67
