ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency(ms),category
1.28,5.197,21.551,6640.64,304.678,0.88,557.131,5.44,6.6,0.6,824076.0,5667477.6,138055.2,469451.2,1357.6,0.0,5057.8,20434.4,12196.6,21066.4,50.2,45.8,3.6,0.8,0.0,0.3,1
1.19,4.594,27.687,13102.08,279.239,0.9,496.247,5.84,6.6,0.2,811496.0,6074668.0,138072.8,472766.4,5.6,3328.8,33.6,23111.2,11647.6,19691.8,51.6,44.8,3.0,0.8,0.0,0.19,1
0.64,5.116,22.397,1527.808,174.239,1.57,219.464,11.25,9.2,0.2,808055.2,6503413.6,138098.4,469417.6,10.4,38.4,92.0,23266.4,11822.2,21163.6,55.2,41.2,3.4,0.2,0.0,0.31,1
0.77,4.651,31.695,47425.536,216.074,1.54,269.54,12.46,8.4,1.0,811845.6,1270007.2,121330.4,417103.2,11.2,2639.2,11671.4,23457.6,11353.8,20151.6,31.2,62.6,5.2,1.2,0.0,0.18,1
0.81,4.675,25.253,33719.296,197.534,1.15,253.0,12.39,9.4,0.2,788742.4,2353044.8,74062.4,394470.4,103.2,0.0,15063.0,19560.0,11472.0,19799.6,36.6,57.8,4.8,0.8,0.0,0.23,1
0.8,3.888,47.127,36465.664,196.981,1.27,249.861,13.14,7.0,0.2,816680.8,2349092.8,107840.8,408124.8,54.4,22137.6,1512.8,40523.2,9648.6,16088.6,35.8,57.2,5.6,1.2,0.0,0.29,1
0.82,5.324,31.776,43961.344,222.475,1.13,277.947,12.9,9.2,0.4,786801.6,4340673.6,123355.2,424844.0,37.6,0.0,638.0,22837.6,11643.4,21073.4,38.2,55.8,5.2,0.8,0.0,0.35,1
0.82,5.686,31.813,37800.96,216.913,1.11,275.903,12.44,9.2,0.0,786660.0,4558297.6,132861.6,424759.2,9.6,0.0,80.0,20985.6,12841.4,22718.6,38.2,56.2,5.0,0.8,0.0,0.24,1
0.8,4.093,42.02,16694.272,202.388,1.34,260.363,11.02,10.0,0.6,989488.8,3585112.8,135896.8,422988.0,9.6,87679.2,9.6,103114.4,11544.6,16898.0,39.0,55.6,4.2,1.6,0.0,0.56,1
0.89,5.236,31.917,37251.072,199.931,1.28,333.242,9.89,8.0,0.4,785379.2,4674167.2,137000.0,422869.6,6.4,0.0,1522.8,19051.2,11404.0,20625.4,40.2,53.4,5.6,0.8,0.0,0.42,1
0.78,4.631,28.476,33826.816,173.276,1.29,213.154,12.89,7.8,0.2,785304.8,5137348.0,137499.2,431280.8,6.4,0.0,305.6,17945.6,10643.6,19498.2,40.8,51.2,7.6,0.8,0.0,0.26,1
1.09,5.027,24.233,14959.616,188.914,1.25,441.92,6.44,7.4,0.0,785216.8,4522585.6,137701.6,428596.8,2.4,0.0,2.4,18824.8,11374.4,20649.6,46.4,45.6,7.2,0.8,0.0,0.27,1
0.97,3.903,39.116,12867.584,211.235,1.23,335.754,7.39,7.6,0.0,1172992.8,4827028.8,137774.4,437328.8,10.4,99750.4,11.2,114198.4,11445.0,16129.6,40.8,53.0,4.6,1.8,0.0,0.31,1
1.21,5.704,19.904,22566.912,269.43,0.92,513.047,6.07,6.2,0.8,785476.0,5469212.8,137821.6,441724.8,9.6,0.0,10.4,20746.4,12587.2,22663.8,44.4,47.4,7.8,1.0,0.0,0.36,1
1.35,5.174,25.412,10152.96,306.482,0.72,619.313,4.51,6.8,0.6,785476.0,5565056.0,137842.4,436929.6,102.4,0.0,687.2,19059.2,11852.0,20737.8,52.4,42.6,4.8,0.8,0.0,0.38,1
1.22,4.78,24.097,12593.152,290.847,0.75,401.389,6.47,7.2,0.2,785476.0,6095421.6,137876.8,449640.0,12.8,0.0,72.0,17013.6,10968.6,19117.4,49.4,44.6,4.8,1.2,0.0,0.31,1
0.58,5.713,24.938,1051.648,167.577,1.48,211.568,11.79,8.6,0.2,785783.2,6523908.0,137900.0,452916.0,9.6,57.6,83.2,22561.6,13287.4,23765.8,56.0,36.4,7.0,0.8,0.0,0.24,1
0.79,5.687,27.853,45218.816,206.288,1.03,266.434,13.0,8.6,0.2,785732.0,3035594.4,137955.2,450612.8,7.2,0.0,8.8,20599.2,15952.8,22670.0,30.4,57.8,10.6,1.6,0.0,0.22,1
0.8,5.453,31.552,46672.896,206.428,1.02,261.695,13.2,5.6,0.2,785220.0,4147284.8,137992.8,449762.4,11.2,0.0,23.2,24954.4,12051.4,22112.0,32.6,57.2,9.2,1.2,0.0,0.23,1
0.85,5.402,26.344,33088.512,214.947,0.98,273.64,12.38,7.2,0.2,785220.0,3066766.4,138004.8,449634.4,3.2,0.0,33.6,18892.0,11223.4,20453.4,34.2,53.2,11.4,1.2,0.0,0.12,1
0.84,5.028,30.048,18489.344,186.13,1.08,241.067,11.57,6.4,0.0,783940.0,3824212.0,138020.0,456472.8,2.4,0.0,2.4,17954.4,10961.8,19590.2,32.8,56.8,8.8,1.4,0.0,0.28,1
0.8,5.3,22.142,49992.704,184.095,1.08,258.026,12.25,5.2,0.0,783684.0,4398293.6,138028.8,452436.0,1.6,0.0,5.6,19323.2,11213.2,20880.2,34.6,51.8,11.8,1.8,0.0,0.22,1
0.9,5.524,21.58,46673.92,202.93,1.06,361.068,9.12,7.8,0.8,783684.0,4309364.0,138052.0,453586.4,4.8,0.0,4.8,19915.2,11906.0,21880.0,36.8,50.6,11.2,1.4,0.0,0.29,1
1.06,5.522,26.585,36237.312,181.318,1.18,460.636,6.18,5.8,0.6,774807.2,3841898.4,138257.6,465322.4,7.2,0.0,17.6,20543.2,12148.6,22494.6,39.0,47.6,12.0,1.8,0.0,0.29,1
1.06,4.916,41.319,23974.912,155.785,1.43,436.809,5.86,5.2,0.2,797847.2,3810868.8,138271.2,466734.4,0.0,20945.6,0.0,39536.0,12494.8,21469.2,45.0,42.4,10.8,2.2,0.0,0.19,1
1.14,5.827,27.024,32787.456,222.049,0.96,455.13,6.3,7.4,0.0,774347.2,4844828.0,138276.0,469306.4,3.2,0.0,46.4,20729.6,12626.4,23076.0,42.4,46.0,10.4,1.4,0.0,0.38,1
0.99,3.94,50.725,16654.336,221.774,1.07,345.476,7.03,6.2,0.4,1324488.8,4718760.0,138285.6,464863.2,4.0,128739.2,36.8,142945.6,11306.2,15712.4,33.8,56.0,7.4,2.8,0.0,0.26,1
1.1,3.336,41.313,9469.952,223.803,0.97,367.28,5.81,7.2,0.4,1298686.4,5244187.2,138296.0,466615.2,2.4,92600.0,2.4,104716.0,9662.8,13465.8,36.0,52.8,8.2,3.2,0.0,0.45,1
