ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency(ms),category
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.0,1.4,1455777.6,3010378.4,135424.0,395453.6,89.6,0.0,99.2,7684.8,6666.4,11820.2,17.0,69.4,9.4,4.2,0.0,2.753419,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.0,0.0,1454565.6,4664147.2,136348.0,402999.2,187.2,0.0,187.2,18955.2,16526.8,31665.2,15.0,71.8,11.6,1.8,0.0,1.042426,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,5.8,0.0,1448127.2,4439057.6,137223.2,415372.8,210.4,0.0,231.2,20756.8,17878.2,36584.0,17.2,66.6,14.4,1.6,0.0,0.868747,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,5.8,0.6,1446963.2,4277113.6,137456.0,414984.0,129.6,0.0,129.6,23825.6,21116.2,44256.6,17.4,66.8,14.8,1.4,0.0,0.634413,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.8,0.0,1446158.4,3455338.4,137550.4,412235.2,94.4,0.0,94.4,22386.4,20488.6,43888.0,24.4,59.2,14.6,1.8,0.0,0.616744,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.2,0.6,1445363.2,3861296.0,137620.0,413820.8,82.4,0.0,88.0,22980.8,20582.6,44402.8,25.8,59.4,13.2,1.8,0.0,0.694094,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.2,0.0,1444188.0,4995624.0,137662.4,411042.4,108.8,0.0,108.8,19799.2,18200.4,35835.8,17.8,67.4,13.6,1.8,0.0,0.81191,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.4,0.2,1762226.4,4221820.0,137692.8,420923.2,572.8,91828.8,572.8,110904.0,19709.0,34892.4,16.8,67.4,13.4,3.0,0.0,0.82873,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.4,0.2,1765834.4,4321445.6,137708.8,417351.2,109.6,94882.4,112.0,111922.4,17131.4,30877.4,18.4,67.2,12.6,2.2,0.0,0.778545,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.2,0.0,1438672.8,4472076.0,137720.8,417161.6,100.0,0.0,100.8,20181.6,17204.4,36169.6,27.4,60.0,11.8,1.2,0.0,0.887993,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,5.6,0.0,1437650.4,4453353.6,137729.6,411155.2,120.8,0.0,120.8,20687.2,21008.0,39549.8,23.0,60.8,14.0,1.8,0.0,0.774123,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,5.8,0.4,1436709.6,4991054.4,137744.0,414879.2,70.4,0.0,70.4,19519.2,19914.6,38412.4,25.8,61.0,12.0,1.2,0.0,0.942299,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.2,0.0,1435794.4,5516927.2,137760.8,398173.6,202.4,0.0,202.4,12291.2,11066.0,22174.0,22.8,63.6,10.6,3.0,0.0,0.982361,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,4.4,0.4,1434935.2,5370930.4,137774.4,413518.4,81.6,0.0,81.6,21937.6,20150.2,41159.0,27.4,60.4,10.4,1.8,0.0,0.703779,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.6,0.6,1434126.4,5508507.2,137801.6,415653.6,88.0,0.0,93.6,22326.4,20286.6,40440.0,24.0,60.6,14.0,1.8,0.0,0.797644,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.6,0.0,1433584.0,5437468.0,137828.0,408461.6,65.6,0.0,66.4,17518.4,15748.6,30038.0,26.8,59.6,11.6,1.6,0.0,0.965889,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.6,0.2,1432556.0,5460621.6,137848.0,411614.4,66.4,0.0,66.4,16131.2,14108.0,30627.6,31.4,54.8,11.6,2.4,0.0,0.98991,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,4.2,0.0,1431544.8,5719545.6,137849.6,409270.4,124.8,0.0,124.8,19360.0,17695.0,36901.6,30.0,54.8,13.0,2.2,0.0,0.900538,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,5.0,0.2,1432028.8,6077065.6,137864.0,408706.4,116.8,0.0,116.8,16951.2,15885.6,29743.4,31.2,54.6,12.2,2.2,0.0,0.984454,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,4.4,0.4,1476604.8,6345578.4,137901.6,418478.4,70.4,52428.8,86.4,72949.6,19530.0,39559.0,21.2,63.0,14.8,1.2,0.0,0.904481,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.0,0.0,1430328.0,6419305.6,137911.2,419663.2,68.0,0.0,68.0,22716.8,18709.0,42614.6,23.2,62.4,13.2,1.4,0.0,0.639429,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.2,0.0,1429969.6,6657626.4,137925.6,419245.6,75.2,56.0,76.0,20441.6,19748.4,37703.6,35.6,46.2,15.4,3.0,0.0,0.938998,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,12.6,0.2,1429713.6,2092896.8,137928.0,417773.6,132.0,0.0,132.0,17166.4,16775.2,30006.2,27.4,66.2,5.6,0.8,0.0,1.182161,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,10.8,0.8,1428352.0,2958596.8,48488.8,378876.0,66.4,0.0,1513.6,13600.0,12505.2,26010.8,29.0,63.6,5.8,1.8,0.0,1.339573,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.4,0.4,1487897.6,3818879.2,49226.4,355265.6,927.2,0.0,7800.0,19932.8,18204.4,34299.8,27.6,66.4,5.6,1.0,0.0,0.749909,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,10.0,0.2,1465830.4,2932144.0,108993.6,372968.0,358.4,0.0,569.0,19662.4,18150.6,36048.6,29.6,64.0,5.4,0.8,0.0,0.811525,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,10.0,0.0,1454822.4,2193265.6,129449.6,375124.8,152.0,0.0,291.2,16598.4,14928.2,30995.6,33.6,61.2,4.8,0.8,0.0,0.940393,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,10.0,0.2,1453491.2,4096164.8,136283.2,379459.2,196.8,0.0,210.0,20409.6,18755.2,37403.6,27.0,65.8,6.2,1.0,0.0,0.660492,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.2,0.4,1452006.4,2706536.0,138968.0,377873.6,104.0,0.0,107.2,20173.6,17641.6,36619.4,30.2,63.6,5.8,0.8,0.0,0.903763,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.2,0.0,1446016.0,3328936.8,140068.8,380577.6,80.0,0.0,80.0,19943.2,18559.2,36343.6,29.8,63.6,6.0,0.6,0.0,0.762853,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.4,0.6,1444480.0,4564006.4,140344.0,384327.2,93.6,0.0,325.8,19595.2,18900.6,36202.4,26.6,67.2,5.4,0.8,0.0,0.900952,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.8,0.2,1443712.0,3080796.8,140439.2,380725.6,76.0,0.0,76.8,19928.8,17784.6,36419.2,32.0,62.8,5.0,1.0,0.0,0.726668,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.8,0.6,1646692.8,3390294.4,140477.6,385959.2,101.6,95185.6,102.4,114441.6,18576.8,32540.2,25.0,68.0,6.4,1.2,0.0,0.85924,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.8,0.2,1432856.8,5004204.8,140492.8,385905.6,142.4,0.0,143.2,20644.0,18107.8,33800.2,32.8,61.2,5.4,0.4,0.0,0.817549,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,10.4,0.4,1431807.2,4613086.4,140530.4,383570.4,82.4,0.0,82.4,18572.8,19305.6,37725.6,28.6,65.0,6.4,0.4,0.0,0.69278,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,10.4,0.0,1589036.0,3983327.2,140605.6,377788.0,109.6,55122.4,112.0,66422.4,11116.6,21134.6,31.2,62.8,4.8,1.4,0.0,1.426788,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.2,0.4,1429168.0,5514756.8,140616.0,387870.4,108.0,0.0,112.0,22412.8,21448.4,41502.6,29.4,64.0,5.8,0.8,0.0,0.662052,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,10.6,0.0,1428663.2,5072976.0,140633.6,381608.8,67.2,0.0,67.2,21578.4,21880.8,41876.6,28.4,65.2,5.6,0.8,0.0,0.661996,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.4,0.2,1428206.4,5042730.4,140671.2,389115.2,64.0,0.0,64.0,23317.6,20672.8,44018.4,30.4,64.8,4.6,0.4,0.0,0.573437,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.6,0.0,1427739.2,4973563.2,140702.4,390518.4,54.4,0.0,54.4,22033.6,19427.8,41672.2,31.0,64.0,4.8,0.4,0.0,0.579096,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.0,0.4,1426961.6,5159812.0,140704.0,385890.4,76.8,0.0,211.8,20682.4,19329.6,35800.2,31.4,62.6,5.6,0.4,0.0,0.716526,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.2,0.2,1426311.2,4886157.6,140712.0,392704.8,84.0,0.0,84.0,22289.6,17259.8,37745.6,36.6,60.2,3.4,0.4,0.0,0.619726,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.4,0.0,1424313.6,5010131.2,140795.2,389995.2,561.6,0.0,2342.6,22408.0,22829.6,40704.8,32.2,62.8,4.6,1.0,0.0,0.704782,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,10.0,0.2,1514664.0,5247607.2,141353.6,404357.6,721.6,55064.0,1745.6,77516.0,20440.2,40021.0,34.8,60.2,4.6,0.8,0.0,0.751782,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.8,0.4,1694689.6,5546395.2,141457.6,405621.6,52.8,118039.2,52.8,136884.8,19357.6,34221.2,32.2,63.2,4.0,0.8,0.0,0.87382,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.6,0.4,1711908.8,5754509.6,141460.0,404150.4,84.8,131072.0,84.8,148961.6,18400.8,32632.4,32.8,63.2,3.4,1.0,0.0,0.835803,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.4,0.0,1417080.0,5759590.4,141468.0,405109.6,94.4,0.0,94.4,24183.2,19627.2,42426.6,35.4,61.2,3.2,0.4,0.0,0.598931,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.8,0.0,1416456.0,6045215.2,141508.8,402464.8,87.2,0.0,173.6,22239.2,21211.8,38913.4,37.2,58.2,3.8,0.6,0.0,0.786803,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.4,0.6,1513880.8,6231841.6,141630.4,402263.2,76.8,85115.2,77.6,104919.2,18850.8,34734.6,33.4,62.6,3.0,0.8,0.0,0.725154,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.2,0.0,1414154.4,6458635.2,141638.4,415677.6,92.8,0.0,95.2,21723.2,19279.0,41071.6,36.8,59.8,3.0,0.6,0.0,0.651929,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.8,0.2,1413796.0,6670397.6,141650.4,421430.4,96.8,26.4,96.8,24146.4,23172.2,49674.0,37.8,57.4,4.8,0.6,0.0,0.580453,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.8,0.4,1727268.0,268780.8,38896.8,357638.4,15673.6,147128.0,16268.6,165048.8,19625.6,35289.6,26.0,69.0,3.4,1.8,0.0,0.691152,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,10.4,0.4,1540827.2,735228.8,39190.4,286322.4,27336.8,76903.2,45252.4,95936.0,19425.8,37218.2,23.4,71.8,3.0,1.6,0.0,0.886728,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.8,0.0,1705759.2,1126619.2,58775.2,296857.6,184.0,110095.2,3395.4,130178.4,19429.4,33898.0,26.4,68.4,4.6,1.0,0.0,0.890128,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.8,0.0,1448990.4,1652087.2,82549.6,302524.8,515.2,0.0,4003.4,18184.0,15001.2,29684.0,28.6,66.0,5.0,0.8,0.0,1.069129,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.0,0.0,1446985.6,3313889.6,121707.2,312524.0,231.2,0.0,1162.4,22633.6,20008.4,38271.2,25.4,67.8,6.2,0.8,0.0,0.655292,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.0,0.2,1445410.4,4087842.4,134120.8,318862.4,271.2,0.0,2147.8,23929.6,20665.6,44647.2,27.2,66.4,6.0,0.8,0.0,0.593335,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.4,0.0,1443472.8,4557419.2,137821.6,325299.2,76.0,0.0,104.8,22322.4,19175.0,41482.4,30.4,63.6,5.4,0.8,0.0,0.54056,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.2,0.2,1976882.4,2760348.0,138756.0,328157.6,151.2,110855.2,187.2,130387.2,18867.4,39277.6,26.6,68.6,4.2,1.2,0.0,0.695062,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.2,0.2,1440844.8,5029221.6,139048.8,333259.2,76.8,0.0,77.6,24205.6,20538.2,42597.6,25.2,69.2,5.2,0.4,0.0,0.709957,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.8,0.0,1440164.0,5120408.0,139157.6,330548.8,117.6,0.0,120.0,24212.0,20661.6,41324.2,25.8,66.8,6.6,1.0,0.0,0.654771,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.4,0.4,1439346.4,4851584.0,139224.0,323949.6,93.6,0.0,96.0,20931.2,21137.0,38952.4,30.4,64.2,4.6,0.6,0.0,0.744298,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.2,0.4,1909196.8,3844656.0,139248.0,332396.0,102.4,141523.2,122.4,159948.0,17118.4,33108.4,28.6,66.8,3.6,1.0,0.0,0.723173,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.4,0.2,1437872.0,5068721.6,139265.6,332172.8,135.2,0.0,1624.6,23971.2,19723.8,41135.4,27.2,67.4,5.4,0.2,0.0,0.605393,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.8,0.4,1433490.4,5308584.8,139303.2,352636.0,165.6,0.0,476.2,24386.4,22723.8,45654.4,25.6,69.2,5.0,0.6,0.0,0.620528,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.0,0.0,1420284.8,3928690.4,139765.6,380356.0,4273.6,0.0,10245.4,25639.2,20667.0,44540.2,30.8,63.4,5.0,0.6,0.0,0.651209,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.4,0.2,1405193.6,4364893.6,140188.8,407131.2,356.0,0.0,468.2,25513.6,22661.6,45507.4,27.6,65.8,6.0,0.6,0.0,0.65055,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.4,0.2,1404248.0,4168544.8,140308.0,406221.6,63.2,0.0,63.2,26347.2,21945.6,47930.4,30.2,64.6,4.6,0.4,0.0,0.610651,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,10.0,0.0,1409267.2,4214092.8,140321.6,401780.8,55.2,5409.6,55.2,27257.6,19778.8,40072.2,34.8,59.2,5.6,1.0,0.0,0.705626,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.2,0.0,1402861.6,4591768.0,140332.0,401740.0,57.6,0.0,64.8,22362.4,20383.6,38750.6,37.4,58.0,4.2,0.6,0.0,0.691165,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.0,0.2,1402523.2,4844040.8,140352.0,405616.0,32.8,0.0,38.4,23757.6,23145.2,43224.0,32.8,62.0,5.0,0.6,0.0,0.656773,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.8,0.0,1401987.2,5265673.6,140352.8,408369.6,50.4,0.0,56.6,23428.0,23676.4,47430.6,29.8,63.8,5.6,1.0,0.0,0.681935,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,11.0,0.0,1401514.4,5426840.8,140376.0,409575.2,43.2,0.0,88.0,26040.0,21484.2,43542.2,30.4,63.8,5.8,0.4,0.0,0.585374,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.0,0.2,1400701.6,5478634.4,140387.2,406832.0,44.8,0.0,44.8,23763.2,20820.0,40991.2,31.6,62.2,5.8,0.8,0.0,0.652422,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.6,0.4,1400028.8,5689840.8,140388.0,408124.8,77.6,0.0,77.6,24821.6,20484.6,41313.0,33.8,58.0,7.2,1.0,0.0,0.67527,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.0,0.0,1399592.0,5640862.4,140389.6,405471.2,52.8,0.0,52.8,22684.8,20121.8,37767.8,36.2,59.0,4.2,0.8,0.0,0.737089,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.0,0.0,1398393.6,5906261.6,140403.2,408522.4,52.0,0.0,52.8,23037.6,21082.8,41078.4,34.8,58.8,5.6,0.8,0.0,0.631123,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.4,0.0,1464676.8,6272714.4,140412.0,404364.0,59.2,58230.4,60.0,79912.0,17872.2,36532.8,32.4,62.2,4.8,0.8,0.0,0.810489,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.2,0.0,1398376.0,6416012.0,140420.0,408496.8,76.0,0.0,78.4,23172.0,21178.6,44900.0,32.4,61.0,6.0,0.8,0.0,0.644541,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.6,0.8,1398600.0,6637843.2,140440.8,408778.4,66.4,40.0,66.4,26366.4,24350.4,47339.8,37.8,55.4,5.8,0.8,0.0,0.567351,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.6,0.4,1707108.0,122706.4,13462.4,262460.8,41261.6,150796.0,52292.2,165037.6,21229.2,34890.0,18.0,74.8,2.6,4.4,0.0,0.674042,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.6,0.6,1722243.2,844124.0,27958.4,268177.6,48607.2,104831.2,52657.2,123012.8,21967.8,39155.2,18.0,73.8,5.2,3.4,0.0,0.682693,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.8,0.0,1469311.2,4192604.8,65113.6,231378.4,143.2,3850.4,2314.8,26659.2,20454.0,41194.6,20.0,70.4,8.8,1.2,0.0,0.682377,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.0,0.2,1470782.4,4809528.8,119660.0,272969.6,133.6,0.0,1256.4,26952.0,20605.2,43062.2,21.2,70.8,7.6,0.6,0.0,0.624758,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.2,0.6,1468836.8,3956957.6,133175.2,278856.8,329.6,0.0,3670.2,21712.0,19743.4,41773.0,22.0,69.0,8.2,1.2,0.0,0.700774,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.0,0.0,1466840.0,4243182.4,137298.4,307996.0,314.4,0.0,3943.6,23266.4,18807.0,39300.2,22.8,69.2,7.0,0.6,0.0,0.644813,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.0,0.0,1463921.6,4765180.0,138489.6,317530.4,1080.0,0.0,6743.8,23244.0,19440.0,45641.4,25.6,66.2,7.4,1.0,0.0,0.551879,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,5.0,0.4,1453016.0,5174672.8,139365.6,346570.4,497.6,0.0,2961.4,25224.8,19473.8,39763.0,23.6,66.0,9.6,1.0,0.0,0.742293,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.2,0.4,1450916.8,4559927.2,139517.6,354925.6,145.6,0.0,384.8,24144.8,19045.4,46295.6,26.8,65.2,7.0,0.6,0.0,0.527201,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.4,0.0,1445284.8,4804147.2,139561.6,359588.8,1165.6,0.0,2378.4,26796.0,20865.0,43504.6,25.2,65.6,8.0,0.8,0.0,0.518463,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.4,0.0,1443544.0,4297143.2,139595.2,363800.0,71.2,0.0,71.2,29600.8,22532.4,42077.2,19.4,71.2,9.0,0.8,0.0,0.617228,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,5.8,0.0,1442724.8,3899344.8,139620.0,362788.8,120.8,0.0,123.2,28304.0,19159.2,42658.0,28.2,64.2,6.8,0.8,0.0,0.595702,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.8,0.0,1440984.0,3755649.6,139896.8,364867.2,84.0,0.0,99.2,27333.6,18507.2,41370.8,32.6,60.2,6.2,1.0,0.0,0.596736,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.0,0.0,1440488.0,3544156.8,139912.8,367588.8,80.8,0.0,107.2,29485.6,20205.6,42444.0,27.2,65.0,7.4,0.8,0.0,0.675972,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.2,0.2,1438730.4,3948734.4,139921.6,368725.6,96.8,0.0,97.6,28929.6,20989.2,47122.4,27.0,62.6,9.6,1.0,0.0,0.548258,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.8,0.6,1604776.8,3552280.0,139931.2,370092.0,88.8,85742.4,101.6,110295.2,18371.6,38106.2,33.4,59.6,5.8,1.4,0.0,0.544233,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.2,0.6,1437424.8,4418032.0,139954.4,368947.2,78.4,0.0,80.8,29907.2,21477.4,43431.2,29.2,61.8,8.2,0.8,0.0,0.583786,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.8,0.2,1436355.2,4735440.8,139963.2,367312.8,165.6,0.0,165.6,27069.6,21450.2,46109.4,27.0,62.4,9.8,1.0,0.0,0.619154,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.2,1.2,1543913.6,4533272.0,139969.6,362893.6,60.8,66808.0,63.2,90276.8,19910.4,39352.4,26.6,62.8,9.6,1.4,0.0,0.776954,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.2,0.2,1695410.4,4862005.6,140013.6,368425.6,57.6,75072.8,58.4,99317.6,19410.6,37661.6,26.0,65.4,7.0,1.2,0.0,0.58998,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.6,0.0,1433556.8,5292296.0,140055.2,368821.6,68.8,0.0,69.6,28990.4,21277.6,45485.4,31.6,59.8,8.2,1.0,0.0,0.56952,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.0,0.2,1432884.8,5097412.8,140064.8,369216.0,64.0,0.0,64.0,27884.8,21713.4,47083.6,34.8,56.8,7.6,1.0,0.0,0.593171,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.2,0.0,1432180.0,5404825.6,140169.6,372525.6,58.4,0.0,58.4,27261.6,19676.2,42215.2,33.2,57.8,7.8,1.2,0.0,0.601473,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.8,0.0,1431529.6,5468521.6,140330.4,370852.8,131.2,0.0,206.0,23521.6,17084.4,35601.6,36.2,56.0,7.0,0.8,0.0,0.715966,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.2,0.2,1430796.0,5622214.4,140363.2,370954.4,96.8,0.0,109.6,24936.8,20859.0,39194.0,33.8,55.6,9.8,1.2,0.0,0.689608,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.4,0.2,1430133.6,6076080.8,140376.8,369977.6,112.8,0.0,113.6,26497.6,18868.6,37389.4,30.0,60.4,9.6,0.6,0.0,0.797905,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.0,0.2,1464292.0,6247323.2,140387.2,372605.6,94.4,52428.8,94.4,73694.4,18006.8,36764.0,27.6,61.8,9.0,1.4,0.0,0.752229,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.4,0.2,1430296.0,6487158.4,140396.0,369094.4,61.6,0.0,62.4,22599.2,16581.2,33984.6,31.4,58.8,8.6,1.4,0.0,0.746689,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,10.2,0.8,1429702.4,6686840.8,140400.0,352802.4,93.6,10.4,94.4,5394.4,4199.2,6859.8,47.0,48.8,3.0,1.2,0.0,10.224631,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.2,0.2,1428780.8,4900623.2,140404.0,349351.2,80.8,0.0,93.2,7941.6,6298.4,10827.2,18.6,72.8,6.6,1.4,0.0,3.141552,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.8,0.0,1458045.6,3091044.8,35179.2,368632.0,252.0,0.0,6340.8,12468.8,9238.8,18155.4,15.8,72.6,10.0,1.4,0.0,2.24063,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,6.6,0.4,1485344.0,4253271.2,27752.0,290699.2,695.2,0.0,5458.2,9225.6,6794.2,12217.8,18.8,71.8,7.8,1.6,0.0,3.599888,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.2,0.0,1480019.2,3510945.6,63060.8,310144.8,127.2,0.0,865.6,12084.0,8848.8,17169.8,16.4,71.4,10.8,1.2,0.0,2.510295,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.4,0.0,1477715.2,3948477.6,86072.8,311807.2,583.2,0.0,1932.8,10836.8,8411.4,15094.6,17.0,72.8,8.2,1.8,0.0,1.921477,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.2,0.2,1471520.0,2425703.2,107952.8,322647.2,108.0,0.0,116.8,13890.4,10377.0,19175.0,16.6,70.8,10.8,1.8,0.0,2.058473,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.2,0.2,1469779.2,2960901.6,118298.4,314920.8,92.0,0.0,200.2,11212.0,8341.0,15082.4,18.8,71.0,9.2,1.2,0.0,2.55179,2
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,5.6,0.6,1455136.0,2439100.8,126260.0,321010.4,80.0,0.0,80.0,12965.6,9817.8,19158.4,20.0,68.8,10.4,1.2,0.0,1.901092,2
