r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%)
10.2,0.0,1036.0,2070656.0,201200.8,3231906.4,0.0,0.0,0.0,24117.6,13439.6,25225.6,28.6,69.2,2.0,0.2,0.0
10.6,0.0,1067564.8,833146.4,49339.2,666633.6,8108.8,86004.0,13012.0,108608.0,16463.2,26700.8,29.0,68.0,2.4,0.8,0.0
10.6,0.8,1127167.2,789493.6,35756.0,403806.4,18968.8,69960.0,27217.6,90136.0,14144.6,23074.6,30.6,66.8,2.0,0.8,0.0
11.4,0.2,1102831.2,1367148.8,39134.4,405601.6,8404.0,10191.2,16343.8,33267.2,15439.8,27759.8,33.4,63.4,3.2,0.6,0.0
9.6,0.0,1091591.2,2533229.6,90365.6,409053.6,7023.2,0.0,8641.6,24516.0,15668.6,28211.6,37.8,58.6,3.4,0.6,0.0
8.8,0.4,1601628.0,1499808.8,119800.0,415604.0,436.0,166060.8,524.8,185912.0,14554.2,24211.6,33.8,62.4,3.2,1.0,0.0
8.4,0.0,1048886.4,3639520.0,132284.8,418182.4,52.8,0.0,379.0,25631.2,16291.0,30385.6,33.6,62.4,3.8,0.4,0.0
6.8,0.0,1043091.2,5196593.6,137532.0,430051.2,3748.0,0.0,5273.6,24893.6,16091.0,29840.6,37.2,59.4,2.8,0.4,0.0
8.4,0.0,1038379.2,4030189.6,139135.2,442669.6,28.0,0.0,44.0,24025.6,16066.8,28843.2,38.2,58.8,2.8,0.6,0.0
9.4,0.0,1034976.0,4094082.4,139738.4,446462.4,50.4,0.0,50.4,25793.6,14725.8,27981.4,38.2,59.0,2.4,0.4,0.0
7.8,0.0,1034660.8,4412235.2,139936.0,444886.4,24.0,0.0,24.0,24823.2,15754.4,29630.0,36.8,60.2,3.0,0.0,0.0
9.2,0.2,1353349.6,3377764.8,140048.8,443915.2,16.8,129678.4,16.8,149950.4,14460.0,23864.0,35.6,60.6,3.2,0.6,0.0
8.4,0.4,1131292.0,2212428.0,140108.8,445480.8,48.0,64171.2,48.0,86376.8,15766.8,26555.2,43.0,52.8,3.6,0.8,0.0
8.8,0.2,1002906.4,4585519.2,140147.2,446132.8,285.6,0.0,816.0,25130.4,15234.0,29229.2,36.6,59.8,3.6,0.2,0.0
9.2,0.0,1001072.0,4516480.0,140180.8,445860.0,31.2,0.0,31.2,26811.2,16671.4,31142.2,35.4,61.6,3.0,0.0,0.0
8.4,0.2,1000977.6,4313059.2,140204.0,448352.0,2.4,0.0,17.6,27036.8,15990.6,29360.2,37.6,57.6,4.4,0.4,0.0
10.6,0.2,1000273.6,4152653.6,140231.2,447102.4,28.8,0.0,40.8,25739.2,15657.6,29770.6,39.2,57.8,2.8,0.2,0.0
9.0,0.2,1626807.2,3968921.6,140383.2,453848.0,44.0,177446.4,49.6,198174.4,14823.0,23994.6,35.2,60.8,3.4,1.0,0.0
6.8,0.4,999414.4,4520740.0,140400.8,448825.6,13.6,0.0,30.4,27368.0,17604.8,32128.8,41.6,54.4,4.0,0.6,0.0
8.8,0.2,999280.0,4269545.6,140412.0,448940.0,40.0,0.0,45.6,24045.6,16123.2,29052.2,44.2,51.8,4.0,0.6,0.0
8.8,0.2,1674675.2,4583096.0,140560.8,450508.8,18.4,163152.8,36.0,183286.4,13097.0,22727.8,40.8,55.4,3.2,0.8,0.0
6.2,0.2,991244.0,5325565.6,140868.0,456017.6,23.2,0.0,23.2,25508.0,16363.4,30308.6,39.0,55.4,4.8,0.8,0.0
9.0,0.2,991244.0,5295335.2,140884.0,457807.2,4.0,0.0,11.2,22056.0,14088.8,25634.6,44.2,52.4,3.2,0.2,0.0
8.2,0.6,1546139.2,5428916.0,140899.2,454061.6,7.2,125021.6,7.2,144385.6,13543.8,22824.6,34.2,61.2,4.0,1.2,0.0
8.0,0.0,989760.0,5617591.2,140908.0,458193.6,11.2,0.0,12.0,24148.8,15865.0,29108.8,44.6,51.6,3.6,0.8,0.0
7.6,0.2,988633.6,5622773.6,140928.0,459001.6,211.2,0.0,1917.0,23274.4,14801.4,27020.0,47.2,48.0,4.6,0.8,0.0
7.4,0.2,986432.0,5947759.2,141336.0,468008.8,6.4,0.0,19.2,24576.0,15519.6,28602.6,43.6,52.2,3.8,0.2,0.0
9.8,0.0,986432.0,6117106.4,141338.4,471828.8,11.2,0.0,13.6,23300.0,13762.2,26149.4,48.8,49.2,2.2,0.0,0.0
7.8,0.4,984435.2,6330740.0,141357.6,469923.2,4.8,36.0,8.8,25333.6,16705.6,31306.8,50.0,46.2,3.6,0.6,0.0
7.2,1.6,1132878.4,541881.6,70899.2,379413.6,20.0,100384.8,1308.4,118811.2,16045.6,23625.8,26.8,66.6,4.0,2.4,0.0
7.8,0.6,1045636.0,3505175.2,75360.0,373927.2,13.6,0.0,1140.8,23452.8,16123.8,30345.0,29.2,62.8,6.8,1.2,0.0
7.0,0.6,1107272.0,1200094.4,52630.4,266898.4,3442.4,25039.2,14843.2,48106.4,16213.4,28615.2,28.4,63.8,6.4,1.2,0.0
6.4,0.2,1110954.4,3467850.4,89596.0,340540.0,515.2,0.0,2552.0,24812.8,17699.8,32460.4,33.6,61.2,4.8,0.8,0.0
7.2,0.0,1107575.2,3888612.0,121298.4,343995.2,996.0,0.0,2160.6,25864.0,17186.8,32568.8,33.8,58.8,6.6,1.0,0.0
6.8,0.4,1098973.6,3971123.2,132662.4,354838.4,94.4,0.0,1138.8,27164.8,16671.0,32586.6,32.0,61.8,5.8,0.8,0.0
6.6,0.2,1094980.0,3754641.6,136507.2,362500.8,93.6,0.0,93.6,27561.6,17637.8,33774.4,32.8,61.0,5.4,0.6,0.0
7.4,0.0,1094468.0,4729311.2,137593.6,360992.0,60.0,0.0,74.4,26101.6,17759.2,33935.8,32.4,61.2,5.6,0.8,0.0
8.4,1.0,1281240.0,3400937.6,137977.6,360829.6,16.8,103067.2,29.6,122857.6,14841.6,25217.6,33.6,60.4,5.0,1.2,0.0
9.2,0.2,1080081.6,4738794.4,138146.4,365316.8,40.0,0.0,76.8,24446.4,16082.0,30792.2,34.2,59.4,5.6,1.0,0.0
7.8,0.2,1079454.4,3924240.8,138224.8,364440.8,62.4,0.0,73.6,26089.6,16045.2,31039.4,39.4,53.2,7.2,0.8,0.0
8.4,0.0,1079243.2,4088428.8,138276.0,366210.4,40.8,0.0,251.4,26037.6,16468.0,31458.2,35.2,57.6,6.4,0.8,0.0
8.0,0.0,1078979.2,4999665.6,138304.8,370356.0,21.6,0.0,22.4,27059.2,17086.6,31910.6,33.4,60.0,6.2,0.8,0.0
7.2,0.4,1078611.2,5111349.6,138322.4,367920.8,13.6,0.0,18.4,23539.2,16398.0,30713.6,30.2,63.6,5.8,0.8,0.0
