ipc,context_switches(K/s),cpu_migrations(/s),page_faults(/s),branches(M/s),branch_misses(%),L1_dcache_loads(M/sec),r_procs,b_procs,swap(KB),free(KB),buffers(KB),cached(KB),swap_in(KB/s),swap_out(KB/s),interrupts(/s),user_time(%),idle_time(%),iowait_time(%),avg-latency(ms)
0.71,8.271,26.322,45757.44,246.841,2.05,321.996,7.2,0.0,1107575.2,3888612.0,121298.4,343995.2,996.0,0.0,17186.8,33.8,6.6,1.0,5.093246166647342
0.72,8.162,21.188,46761.984,252.821,1.99,327.757,6.8,0.4,1098973.6,3971123.2,132662.4,354838.4,94.4,0.0,16671.0,32.0,5.8,0.8,4.906660406171983
0.71,8.261,27.131,40682.496,247.263,2.04,324.268,6.6,0.2,1094980.0,3754641.6,136507.2,362500.8,93.6,0.0,17637.8,32.8,5.4,0.6,4.764768917849109
0.72,8.268,21.858,36246.528,233.956,2.0,307.05,7.4,0.0,1094468.0,4729311.2,137593.6,360992.0,60.0,0.0,17759.2,32.4,5.6,0.8,5.4316892476916205
0.76,6.381,25.651,23674.88,253.465,1.78,328.109,8.4,1.0,1281240.0,3400937.6,137977.6,360829.6,16.8,103067.2,14841.6,33.6,5.0,1.2,6.161531220972232
0.72,7.858,24.297,44486.656,234.78,2.01,308.207,9.2,0.2,1080081.6,4738794.4,138146.4,365316.8,40.0,0.0,16082.0,34.2,5.6,1.0,5.184896677010612
0.77,7.639,33.893,21096.448,225.38,2.17,326.318,7.8,0.2,1079454.4,3924240.8,138224.8,364440.8,62.4,0.0,16045.2,39.4,7.2,0.8,4.955336982392041
0.76,7.856,26.679,42941.44,225.469,2.15,342.437,8.4,0.0,1079243.2,4088428.8,138276.0,366210.4,40.8,0.0,16468.0,35.2,6.4,0.8,5.223930920458006
0.72,7.996,20.93,41042.944,224.724,2.08,307.614,8.0,0.0,1078979.2,4999665.6,138304.8,370356.0,21.6,0.0,17086.6,33.4,6.2,0.8,5.433977893127276
0.7,7.621,21.404,40023.04,218.02,2.17,283.169,7.2,0.4,1078611.2,5111349.6,138322.4,367920.8,13.6,0.0,16398.0,30.2,5.8,0.8,5.123723470247709
0.88,7.655,22.276,20428.8,194.264,2.26,420.644,6.8,0.6,1078143.2,3825854.4,138524.0,375714.4,14.4,0.0,15988.8,37.8,6.6,0.6,5.638288083439824
0.82,7.836,17.106,36299.776,196.089,2.24,407.2,7.8,0.2,1077784.0,4392538.4,138544.0,378444.0,14.4,0.0,17218.4,35.4,6.2,0.8,5.947739330690299
0.95,8.553,22.636,20467.712,234.584,2.22,545.58,8.4,0.6,1073659.2,3959116.0,138564.8,377213.6,12.0,0.0,17928.2,37.2,6.8,0.6,4.61497097588026
0.9,8.267,21.865,28951.552,220.022,2.22,506.172,7.2,0.2,1073552.0,4148925.6,138588.0,371938.4,6.4,0.0,18090.6,37.6,5.4,0.8,4.947297250477001
0.94,7.91,26.037,25659.392,228.428,2.04,490.232,8.6,0.2,1073792.0,4354164.8,138602.4,382332.8,64.8,0.0,17143.6,38.4,5.8,0.8,5.897938266513854
0.97,7.936,29.692,28986.368,250.703,1.94,487.094,8.8,0.0,1073536.0,5100696.8,138608.0,380678.4,49.6,0.0,17389.6,39.6,5.6,0.8,5.044873515363494
0.91,7.031,32.217,22817.792,227.194,2.01,451.615,6.0,0.2,1103084.8,4758941.6,139142.4,407690.4,214.4,28246.4,16683.0,38.4,4.8,1.0,5.538005705461485
1.11,7.744,31.444,20782.08,302.847,1.54,564.326,8.6,0.0,1060344.0,5287727.2,139260.0,410195.2,8.0,0.0,15904.6,39.6,5.6,1.0,5.209005780058463
1.15,7.8,27.64,9480.192,312.255,1.45,596.655,8.8,0.2,1060344.0,5255134.4,139400.8,414973.6,0.0,0.0,16217.2,43.4,5.0,0.8,5.410645842982544
1.13,8.187,29.724,15013.888,330.563,1.49,647.205,7.0,0.8,1060344.0,5504774.4,139419.2,414404.8,20.8,0.0,18260.8,41.2,4.8,0.6,4.728176804371061
1.24,7.696,37.171,6812.672,323.417,1.39,702.55,6.6,1.0,1060344.0,5471486.4,139428.0,409542.4,2.4,0.0,16300.6,46.2,5.0,0.6,5.679877418460268
1.12,7.154,47.166,11644.928,301.714,1.53,606.78,8.4,0.6,1073828.8,5786296.0,139432.0,414904.8,5.6,14539.2,16128.8,44.6,5.4,1.2,5.486214150012576
1.11,8.337,34.504,23288.832,390.034,1.27,464.052,7.8,0.2,1058305.6,6144813.6,139432.0,422582.4,32.0,0.0,16813.6,38.2,4.4,0.4,4.698822677696013
1.03,7.878,39.648,19384.32,332.786,1.45,479.144,9.4,0.0,1058484.0,6345524.8,139440.0,415797.6,7.2,8004.8,16541.0,43.4,3.8,0.6,5.353219387678295
0.49,8.81,37.592,1934.336,181.941,2.82,249.171,11.0,0.4,1053530.4,6493612.0,139453.6,418789.6,4791.2,38.4,18240.2,48.6,4.6,0.8,4.785760523031313
0.59,5.948,92.647,27403.264,221.165,2.03,303.416,8.0,1.2,1428144.0,105577.6,15158.4,295430.4,24040.8,163474.4,19942.8,15.8,2.2,4.4,7.988245604676349
0.54,5.981,118.972,26115.072,184.533,2.6,268.401,7.8,0.8,1412683.2,211264.8,19925.6,295588.0,28862.4,86489.6,18749.6,15.2,2.4,6.0,8.797635430814235
0.62,7.951,78.618,43508.736,229.887,2.07,314.719,6.6,0.8,1241788.0,3187744.0,32604.8,307964.8,29454.4,23424.8,18143.0,25.4,5.0,1.8,4.862856304171795
0.67,7.41,77.514,46708.736,234.087,1.8,311.175,7.6,0.8,1194005.6,3567622.4,97048.0,319988.8,5251.2,4600.0,15595.6,27.4,5.6,0.8,5.764694397266095
