ipc,context_switches(K/s),cpu_migrations(/s),page_faults(/s),branches(M/s),branch_misses(%),L1_dcache_loads(M/sec),r_procs,b_procs,swap(KB),free(KB),buffers(KB),cached(KB),swap_in(KB/s),swap_out(KB/s),interrupts(/s),user_time(%),idle_time(%),iowait_time(%),avg-latency(ms)
1.06,9.509,53.399,45480.96,286.436,1.52,631.306,5.6,0.2,1013314.4,4753423.2,140786.4,463528.0,96.0,0.0,18227.6,36.0,6.2,1.2,1.19187
1.03,9.512,37.393,41434.112,273.974,1.48,606.716,5.4,0.0,1013212.0,4645495.2,140796.0,463813.6,15.2,0.0,18207.4,30.4,9.6,0.8,1.283826
1.16,10.007,30.566,18343.936,295.943,1.45,687.145,6.4,0.2,1012700.0,4795640.0,140801.6,463934.4,19.2,0.0,18507.2,33.4,10.4,1.8,1.13562
0.93,7.588,64.351,15222.784,285.273,1.42,522.665,6.4,0.2,1601206.4,4696416.8,140813.6,464439.2,12.8,217779.2,16374.8,23.4,10.8,2.6,1.491055
1.25,9.906,22.653,23388.16,344.786,1.16,787.251,4.8,0.2,1010647.2,4945201.6,140828.8,459670.4,35.2,0.0,19346.8,32.2,11.6,2.0,1.246474
1.35,9.171,45.057,18388.992,375.044,1.06,884.65,7.8,0.0,1009137.6,4924920.0,140838.4,463107.2,1224.0,0.0,17559.0,37.8,8.2,0.8,1.241068
1.22,7.987,59.875,13850.624,351.646,1.09,723.33,6.4,0.4,1262989.6,5168056.8,140844.0,463642.4,16.8,151493.6,15373.6,32.4,9.2,2.4,1.600058
1.21,9.256,35.315,26190.848,326.879,1.25,798.762,7.8,0.0,1005580.0,5469651.2,140866.4,466881.6,16.8,2612.0,17729.6,34.6,8.4,1.2,1.162123
1.22,9.528,53.817,23481.344,411.816,1.02,669.227,5.4,0.4,1005324.0,5779931.2,140888.0,466604.8,15.2,0.0,17900.0,33.6,9.4,1.0,1.11529
1.17,9.937,41.732,34049.024,447.704,1.02,506.16,6.0,0.4,1005272.8,5955313.6,140943.2,466483.2,556.8,0.0,19053.6,34.0,8.2,1.4,1.017442
1.02,9.147,64.726,28295.168,386.264,1.17,458.342,7.4,0.4,1053078.4,6110014.4,141026.4,468116.8,0.8,50504.8,18427.0,31.6,8.8,1.8,1.108509
0.83,9.161,47.091,22320.128,263.24,1.72,427.26,6.0,0.0,1002540.0,6399873.6,141034.4,473026.4,1.6,31604.8,16983.6,31.4,10.2,2.2,1.185781
0.7,7.266,33.435,36916.224,255.911,1.75,339.835,10.8,1.0,1099952.8,1083263.2,62513.6,380823.2,7740.8,67693.6,18816.2,30.2,2.4,1.4,2.315061
0.7,7.377,40.816,32594.944,249.408,1.76,333.371,10.4,0.2,1128590.4,1112600.0,75997.6,309015.2,4928.8,80784.8,17138.8,30.2,3.8,1.2,2.216459
0.77,7.557,20.41,35784.704,286.592,1.91,371.787,11.0,0.6,1022192.0,2440297.6,48935.2,279332.8,102.4,9118.4,16542.2,31.6,2.4,0.2,1.65193
0.76,7.973,28.467,41788.416,275.544,1.72,355.087,9.2,0.4,1046456.8,3833221.6,109612.8,296819.2,92.8,0.0,16348.2,37.4,3.8,0.4,1.795504
0.76,7.945,29.273,41136.128,279.056,1.68,358.05,8.6,0.0,1045228.0,4063840.8,131065.6,302189.6,107.2,0.0,16715.6,35.4,3.2,0.8,1.730742
0.74,8.331,26.246,38913.024,260.943,1.78,335.619,7.8,0.8,1043948.0,3798653.6,137331.2,312420.0,288.0,0.0,17567.6,32.8,4.2,0.4,1.772032
0.75,8.908,19.153,30837.76,255.028,1.96,328.771,8.4,0.2,1042668.0,3720458.4,139716.0,315767.2,124.8,0.0,17680.8,34.0,3.6,0.8,1.448408
0.82,8.309,25.373,20836.352,263.32,1.83,388.945,8.4,0.0,1042309.6,3623828.0,140250.4,315647.2,13.6,0.0,16675.0,36.6,3.8,0.8,1.65471
0.74,8.165,22.299,39658.496,253.716,1.79,323.787,9.0,0.2,1041080.8,5011919.2,140495.2,318292.0,135.2,0.0,16357.6,35.4,3.8,0.4,1.736129
0.73,8.623,24.986,36515.84,260.728,1.85,333.802,8.2,0.2,1040415.2,5203216.8,140615.2,316066.4,95.2,0.0,18857.2,34.2,4.0,0.6,1.655769
0.72,8.571,24.809,36831.232,254.432,1.9,326.7,8.0,0.0,1039084.0,5339999.2,140654.4,320723.2,5.6,0.0,17227.6,35.8,3.8,0.4,1.564194
0.75,8.472,33.712,41347.072,276.426,1.85,350.13,8.8,0.2,1038316.0,5024767.2,140708.8,316800.8,36.8,0.0,16298.6,33.0,4.4,0.4,1.574363
0.77,8.612,31.514,41742.336,234.194,2.09,372.842,8.8,0.0,1037804.0,4661782.4,140800.8,328208.8,104.0,0.0,17277.8,38.4,3.8,0.2,1.586988
0.74,7.936,25.364,40706.048,249.633,1.91,318.738,8.4,0.2,1037343.2,5354246.4,140863.2,330273.6,204.0,0.0,16601.0,34.8,3.6,0.4,1.643439
0.81,8.222,26.192,39025.664,238.28,1.94,393.811,8.4,0.0,1037189.6,4703680.0,140930.4,329244.8,66.4,0.0,17798.6,37.8,3.0,0.0,1.76959
0.89,7.885,37.886,35361.792,227.115,2.0,472.462,8.6,0.2,999452.8,4451662.4,140978.4,328524.0,43.2,0.0,16337.4,39.4,2.6,0.6,1.874773
0.9,8.722,38.972,29848.576,230.115,2.12,508.298,8.2,0.2,998922.4,4389326.4,141026.4,328127.2,31.2,0.0,17081.0,40.2,4.0,0.8,1.627042
0.88,8.99,31.56,30424.064,230.207,2.18,499.894,8.2,0.6,998521.6,4811873.6,141225.6,336216.8,17.6,0.0,18215.2,43.4,3.4,0.8,1.539912
0.95,8.3,40.424,25778.176,253.982,2.06,520.271,8.0,0.0,997586.4,4741799.2,141267.2,348332.8,644.8,0.0,16942.8,42.6,3.6,0.6,1.648014
0.97,8.504,28.952,17311.744,259.706,1.88,501.514,9.6,0.0,996832.0,5077587.2,141307.2,353376.0,22.4,0.0,17662.0,39.8,3.0,0.4,1.473142
0.95,8.374,27.905,28810.24,281.663,2.07,504.192,8.8,0.4,996018.4,5465631.2,141337.6,360259.2,149.6,0.0,16532.2,39.0,2.8,0.0,1.35154
1.0,8.891,26.652,25567.232,308.278,1.7,543.791,9.0,0.4,995207.2,5592332.8,141572.0,367188.8,8.0,0.0,17262.2,39.4,3.2,0.2,1.328121
1.0,8.829,28.608,19557.376,293.758,1.68,535.065,7.0,0.4,994743.2,5700200.8,141624.0,372712.8,61.6,0.0,17668.6,41.2,4.2,0.8,1.560069
1.11,8.618,31.822,15210.496,351.143,1.31,642.252,9.2,0.2,994406.4,5634688.8,141701.6,381679.2,48.0,0.0,17429.4,43.0,2.8,0.6,1.677162
1.25,8.326,33.129,3296.256,360.744,1.26,746.512,9.2,0.4,986624.0,5668918.4,141886.4,379614.4,28.0,0.0,16869.0,42.2,3.8,0.4,1.778371
1.11,8.473,35.14,16940.032,331.936,1.45,666.177,7.8,0.4,986368.0,5964047.2,141941.6,378656.0,9.6,0.0,16145.6,45.6,3.0,0.4,1.441511
1.04,8.172,27.062,18664.448,354.868,1.29,439.022,11.4,0.0,985696.0,6278288.8,142036.8,384476.0,8.8,0.0,16610.2,37.0,3.2,0.0,1.596145
1.02,7.994,30.976,18682.88,349.975,1.33,459.174,7.6,0.4,998601.6,6535435.2,142088.0,376426.4,0.0,41688.8,17110.4,45.6,2.6,0.8,1.774352
0.66,6.479,54.565,22504.448,245.615,2.08,317.129,8.4,2.0,1276031.2,126004.8,36172.8,272512.0,9699.2,121816.8,17106.4,26.0,2.6,2.4,2.474784
0.67,6.763,47.934,25698.304,241.406,1.98,315.607,10.4,0.6,1224562.4,273990.4,20571.2,218824.8,19025.6,121062.4,16746.4,27.6,2.6,1.8,2.284865
0.79,7.069,32.473,24199.168,311.115,1.47,406.78,8.4,0.2,1800584.0,1963326.4,57233.6,265898.4,414.4,202289.6,15228.0,29.4,4.8,1.6,1.726099
0.71,7.84,36.307,48414.72,246.993,1.95,317.961,6.8,0.4,1072889.6,4423442.4,104954.4,314528.8,200.0,0.0,16106.2,31.6,6.0,0.8,1.643981
0.7,8.818,40.791,46308.352,252.033,1.89,325.179,8.4,0.2,1070976.0,3847845.6,127956.0,342793.6,83.2,0.0,16605.8,31.8,5.6,1.0,1.444364
0.72,8.565,53.097,45901.824,264.528,1.83,341.636,8.0,0.2,1069426.4,4536589.6,134228.8,358448.8,752.8,0.0,16239.8,33.8,5.6,0.8,1.434298
0.72,8.775,49.988,49187.84,263.63,1.89,338.97,6.8,0.8,1068928.0,4649928.8,135848.0,364204.8,44.0,0.0,17273.6,32.2,6.4,1.0,1.414179
0.69,8.272,40.03,37633.024,235.12,2.01,305.925,9.4,0.0,1068339.2,5275901.6,136352.8,366756.0,28.8,0.0,16210.0,34.4,6.0,1.0,1.477632
0.7,8.589,35.228,42958.848,248.037,2.1,325.324,8.8,0.0,1067076.8,4901056.8,136495.2,370762.4,108.8,0.0,16629.2,33.6,5.2,0.6,1.236583
0.68,8.562,39.133,48361.472,240.988,1.99,316.887,7.6,0.2,1066513.6,4682632.0,136589.6,373352.8,68.0,0.0,17944.2,31.4,5.4,1.0,1.445295
0.7,8.646,32.437,45967.36,247.244,2.03,317.901,8.8,0.2,1065948.8,5066657.6,136811.2,376644.8,20.0,0.0,17605.4,32.8,5.8,0.6,1.279202
0.72,8.772,43.474,48607.232,238.924,2.04,366.406,8.2,0.2,1065585.6,4580940.8,136842.4,379299.2,15.2,0.0,17401.8,33.8,5.8,1.0,1.390677
0.71,6.631,44.631,22719.488,267.909,1.68,344.131,7.0,0.4,1569816.8,3791765.6,136884.8,384000.8,72.8,191028.0,15087.8,33.4,4.0,1.6,1.775607
0.7,8.868,39.683,42912.768,212.687,2.25,336.717,8.2,0.2,1021947.2,4618782.4,136944.0,383066.4,69.6,0.0,18556.6,32.6,5.4,0.8,1.447033
0.81,8.79,32.806,37520.384,197.407,2.36,447.321,8.6,0.4,1021504.8,4181776.0,136993.6,385944.0,26.4,0.0,17656.0,37.8,5.0,0.8,1.444461
0.89,8.46,47.727,31364.096,210.566,2.17,510.386,7.6,0.4,1020542.4,4239924.0,137231.2,396648.0,82.4,0.0,17047.8,38.8,5.8,1.0,1.52251
0.91,6.936,57.167,16783.36,291.27,1.53,488.903,8.6,0.0,1566436.0,3950728.0,137915.2,420889.6,143.2,207896.8,14469.0,34.4,3.6,1.0,1.916919
0.95,8.811,40.667,34353.152,254.607,1.79,532.081,7.6,0.2,1006521.6,4800681.6,137958.4,428747.2,90.4,0.0,17596.0,39.4,4.6,0.8,1.603798
0.94,9.291,44.893,28450.816,266.656,1.88,529.026,5.8,0.2,1005907.2,5219960.0,138164.0,433740.0,38.4,0.0,17444.6,37.0,5.6,0.6,1.362739
0.99,8.608,45.678,20858.88,271.057,1.76,502.429,8.4,0.0,1005944.8,4861737.6,138215.2,437216.0,84.0,0.0,17357.8,41.2,4.8,0.6,1.399606
1.1,8.796,41.725,16045.056,306.693,1.48,609.914,5.8,0.0,1005484.0,5178408.0,138286.4,440367.2,24.0,0.0,17215.2,39.4,5.2,0.6,1.616057
1.08,8.611,40.813,19297.28,318.137,1.43,612.205,7.8,0.0,1005228.0,5274622.4,138318.4,440376.8,41.6,0.0,17109.8,39.8,5.8,0.6,1.471179
1.16,8.653,42.42,17901.568,354.132,1.3,694.902,7.0,0.0,1004972.0,5433274.4,138354.4,433264.0,36.8,0.0,17392.4,40.6,5.4,0.6,1.572734
1.18,8.96,35.716,13234.176,349.414,1.32,705.266,6.8,0.4,1004460.0,5417008.0,138424.0,439704.8,3.2,0.0,16990.2,44.0,4.6,0.8,1.378572
1.27,8.695,44.271,5783.552,353.203,1.35,768.803,8.2,0.4,1004204.0,5608762.4,138468.8,440538.4,0.8,0.0,16524.2,43.2,5.6,0.8,1.326836
1.04,8.142,38.925,21382.144,317.662,1.44,564.474,8.0,0.6,1003311.2,6097825.6,138519.2,439435.2,16.8,0.0,15666.6,37.6,5.6,0.8,1.384642
1.09,9.141,42.771,20639.744,388.533,1.26,542.028,7.6,0.0,1003172.8,6255643.2,138560.8,438756.0,23.2,0.0,17719.6,38.0,5.6,1.0,1.386138
1.0,8.235,50.151,24056.832,345.897,1.34,475.499,6.0,0.0,1013464.0,6439695.2,138588.0,438108.8,7.2,14832.0,17609.2,40.4,5.6,1.0,1.600036
0.61,8.196,87.959,26525.696,233.55,2.2,319.235,7.0,2.0,1338752.8,1444344.0,17053.6,297837.6,48432.0,108572.8,18952.4,18.6,3.4,4.0,1.706795
0.67,7.865,55.845,32693.248,249.911,1.76,334.034,8.8,0.6,1127718.4,3046588.8,36246.4,260655.2,20586.4,32556.0,17265.0,25.2,4.6,1.2,1.442915
0.59,8.773,65.855,63902.72,215.671,2.13,276.718,6.8,0.0,1045428.8,3746722.4,113077.6,356364.0,96.0,0.0,17176.0,26.8,6.8,0.8,1.266148
0.62,9.122,46.386,57050.112,236.867,1.93,310.496,6.2,0.0,1044592.8,4708173.6,134211.2,365977.6,408.0,0.0,17268.8,30.4,5.2,0.8,1.272121
0.62,9.089,55.569,58157.056,224.642,2.09,294.48,8.2,0.0,1043169.6,4201154.4,140054.4,382529.6,243.2,0.0,17129.6,30.2,5.8,0.8,1.173589
0.66,9.129,69.932,62835.712,226.199,1.98,323.087,6.2,0.2,1042394.4,4156373.6,141740.0,378457.6,64.8,0.0,16751.6,30.2,7.0,1.0,1.276923
0.63,9.167,66.082,57418.752,226.058,2.08,292.49,6.4,0.0,1041857.6,4519253.6,142258.4,380997.6,62.4,0.0,18068.2,29.6,6.6,0.8,1.165001
1.02,8.782,78.269,935.527,184.93,2.33,635.747,6.4,0.2,1041201.6,1601372.0,142460.0,381859.2,29.6,0.0,16763.4,42.2,7.4,1.0,1.34743
0.73,9.598,70.651,56870.912,197.721,2.37,422.067,5.0,0.2,1039136.0,3771914.4,142552.0,390570.4,6.4,0.0,18375.8,30.8,6.6,1.0,1.172749
0.78,8.819,67.46,52120.576,187.705,2.44,454.428,6.6,0.0,1038554.4,3509236.0,142668.8,389237.6,470.4,0.0,16051.4,32.6,6.4,1.0,1.18575
0.82,9.034,70.08,45489.152,201.564,2.41,483.644,4.8,0.6,1022311.2,3628594.4,142942.4,404108.8,2528.8,0.0,17658.0,33.6,5.6,1.2,1.239773
0.85,9.583,51.322,43581.44,177.447,2.54,532.098,6.8,0.0,1021159.2,3209724.0,143158.4,422481.6,39.2,0.0,17515.2,36.4,6.6,1.0,1.247052
0.77,7.277,56.749,26174.464,250.165,1.67,433.465,5.0,0.2,1593829.6,3497136.0,143236.8,424320.0,96.0,220305.6,15280.4,26.8,6.4,2.0,1.714835
0.92,9.091,41.843,36983.808,199.288,2.16,554.964,7.4,0.2,1010853.6,3229805.6,143371.2,431576.8,101.6,0.0,17892.0,34.4,9.6,1.0,1.323475
0.89,8.046,65.166,31998.976,191.742,2.21,527.173,7.6,0.2,1018982.4,3760377.6,143540.8,432944.0,32.0,8565.6,17164.6,37.8,7.2,1.2,1.45434
0.95,9.63,33.904,39834.624,230.282,1.93,540.531,7.6,0.4,1009158.4,4295400.8,143568.0,437595.2,45.6,0.0,17722.8,34.4,8.4,1.2,1.347959
0.96,9.119,49.223,42913.792,255.836,1.73,541.48,6.8,0.0,1008751.2,4746155.2,143613.6,438348.0,104.8,0.0,17492.4,37.4,6.6,1.0,1.314454
0.86,8.068,47.598,29801.472,285.31,1.53,463.199,7.0,0.2,1461964.0,4678560.0,143654.4,437397.6,22.4,181733.6,15653.2,29.6,5.8,1.6,1.554013
1.21,9.058,65.294,16913.408,315.079,1.41,693.723,7.4,0.2,1007389.6,4656026.4,143703.2,439715.2,20.8,0.0,17387.2,39.8,7.2,1.2,1.257936
0.94,7.876,61.596,26262.528,310.664,1.37,512.915,8.6,0.0,1425282.4,5069558.4,143760.0,437178.4,88.0,155161.6,15115.8,29.0,5.4,1.0,1.514582
1.0,7.998,70.423,24048.64,304.288,1.44,580.4,7.6,0.2,1343124.8,5039580.0,143816.8,435332.8,31.2,119996.8,16112.4,33.4,5.8,1.0,1.380263
1.21,8.894,45.724,20742.144,344.058,1.26,720.572,6.2,0.6,1006728.0,5216496.0,143900.8,439120.0,13.6,0.0,17045.6,40.0,5.8,1.0,1.248598
1.3,9.446,64.117,15816.704,385.671,1.11,879.973,5.4,1.0,1006472.0,5174661.6,143988.0,442820.0,48.0,0.0,18410.2,41.6,7.2,1.0,1.31763
1.33,9.394,33.25,10001.408,368.65,1.16,866.018,7.0,0.4,1005960.0,5320488.0,144044.8,444097.6,20.0,0.0,18352.2,43.0,7.4,1.4,1.316184
1.15,8.788,58.908,12284.928,325.164,1.38,740.23,8.2,0.0,1016890.4,5786550.4,144076.0,445685.6,98.4,11968.0,18244.6,45.8,6.8,1.2,1.274113
1.1,8.125,30.826,25997.312,347.864,1.08,479.524,6.0,0.2,1003868.0,6001068.8,144076.0,440748.8,17.6,0.0,16487.4,34.8,9.0,1.2,1.617128
1.05,8.963,40.055,29227.008,399.555,1.1,446.976,6.2,0.2,1008595.2,6241520.8,144080.0,443803.2,14.4,4757.6,17979.2,30.8,9.6,1.2,1.435394
0.95,8.264,36.091,21106.688,296.717,1.4,461.738,5.4,0.4,1034478.4,6405817.6,144103.2,436953.6,15.2,41904.0,17724.4,37.6,7.6,1.6,1.75756
0.53,8.218,63.064,19987.456,190.723,1.92,269.974,6.8,0.6,1483526.4,1472132.8,21318.4,329184.8,30009.6,130908.0,20855.0,15.8,5.0,8.6,1.680498
0.57,8.377,51.122,49432.576,207.862,2.02,277.249,8.4,0.6,1071226.4,3579143.2,21827.2,261134.4,10350.4,19606.4,17939.8,21.2,6.4,2.0,1.721709
0.64,7.252,68.049,24291.328,267.861,1.52,356.743,5.4,0.4,1583822.4,2106509.6,44128.8,343706.4,31.2,222193.6,14957.4,21.4,7.4,2.4,1.460686
0.58,9.886,55.219,66664.448,212.198,2.27,300.832,5.6,0.2,1036404.0,4488836.0,106168.0,351365.6,296.8,0.0,17935.8,27.6,8.0,1.2,0.950339
0.62,9.614,42.836,65130.496,192.038,2.31,335.011,5.6,0.0,1034978.4,3644030.4,131996.8,374928.0,14.4,0.0,18135.0,25.4,8.0,1.4,1.084155
0.65,9.579,28.808,65425.408,199.717,2.08,338.845,6.2,0.0,1034034.4,3911489.6,139849.6,388426.4,36.8,0.0,17345.6,23.6,9.8,1.0,1.27859
0.86,9.477,51.068,32577.536,193.669,2.09,517.58,5.6,0.4,1033258.4,2498427.2,142184.8,392218.4,20.0,0.0,17347.6,31.8,9.4,1.0,1.244276
0.72,9.49,29.317,59670.528,175.181,2.29,430.502,6.0,0.4,1032916.8,3528721.6,142704.0,395551.2,40.8,0.0,18305.2,26.6,8.4,1.2,1.302959
0.69,9.874,55.453,55643.136,161.721,2.8,422.101,5.8,0.4,1005472.0,3415840.8,142982.4,402998.4,59.2,0.0,18110.6,25.2,7.2,1.2,1.042871
0.78,9.582,54.458,52726.784,168.037,2.67,497.358,6.2,0.0,1005118.4,3401834.4,143107.2,403864.8,14.4,0.0,18123.8,29.6,8.0,1.2,1.098809
0.8,10.197,28.44,49226.752,163.389,2.61,513.749,6.4,0.2,1004944.0,3323612.0,143214.4,400976.8,12.0,0.0,18909.2,28.4,10.2,1.0,1.134632
0.86,9.405,38.507,46662.656,163.921,2.64,559.672,4.8,0.2,1004448.0,3357504.0,143312.0,405196.8,8.8,0.0,18110.2,32.2,8.2,1.2,1.107876
0.9,8.894,54.439,42116.096,179.263,2.29,548.019,6.2,0.0,1006864.0,3290275.2,143384.8,411102.4,26.4,2522.4,18118.4,31.4,8.4,1.6,1.242281
0.96,8.686,52.104,44264.448,214.188,1.86,557.898,6.6,0.2,1003208.0,4036608.8,143440.0,404433.6,18.4,0.0,16441.2,35.8,8.2,1.0,1.204205
0.97,8.799,35.266,46281.728,220.741,1.83,542.039,7.0,0.0,1002716.8,4318764.8,143487.2,409103.2,14.4,0.0,16776.2,33.8,8.2,1.4,1.272368
0.97,9.342,42.862,48965.632,250.855,1.61,545.15,6.0,0.2,1002390.4,4569652.0,143580.8,410664.0,9.6,0.0,17555.4,30.6,8.0,0.8,1.264655
1.08,9.646,21.985,31159.296,279.821,1.48,618.153,5.8,0.0,1001376.0,4374516.8,143934.4,411406.4,0.0,0.0,18924.0,34.0,10.0,1.8,1.175119
1.15,9.693,42.752,26934.272,303.629,1.39,710.205,6.2,0.2,1001072.8,4429801.6,143983.2,409710.4,9.6,0.0,18974.2,36.0,8.2,1.4,1.138682
1.15,10.038,54.541,30791.68,311.117,1.44,708.974,4.0,0.8,999066.4,4889660.8,144017.6,412220.0,12.8,0.0,18409.4,35.0,7.6,1.6,1.09341
1.28,9.843,33.564,14653.44,349.561,1.23,842.025,5.4,0.2,998802.4,4675998.4,144099.2,410175.2,14.4,0.0,19973.0,36.0,8.8,1.2,1.109006
1.17,9.464,48.167,23547.904,333.102,1.26,716.326,5.4,0.2,998516.8,5090517.6,144172.0,412607.2,57.6,0.0,19098.0,35.8,8.8,1.2,1.167573
1.46,9.219,56.936,7944.192,402.392,1.02,991.719,5.4,0.4,998391.2,4874564.0,144255.2,416564.0,13.6,0.0,17899.6,44.8,8.8,1.4,1.146307
1.22,8.513,36.889,12853.248,339.25,1.1,703.425,4.4,0.6,1304627.2,5280786.4,144307.2,414321.6,8.0,141016.8,16456.0,29.4,10.6,1.8,1.585165
1.2,9.328,51.933,29148.16,327.469,1.19,795.925,6.6,0.2,998252.0,5867377.6,144357.6,415993.6,19.2,0.0,17932.2,41.8,8.8,1.2,1.329187
1.18,7.931,76.785,23281.664,356.181,1.09,672.455,5.6,0.4,1123308.0,5693931.2,144383.2,414617.6,7.2,86938.4,16304.2,33.2,8.2,2.0,1.421527
1.15,10.135,20.032,32273.408,414.393,1.01,506.429,6.2,0.4,997768.0,6071811.2,144452.8,418218.4,9.6,0.0,18810.6,29.8,10.8,1.8,1.134535
0.97,8.505,69.308,28921.856,360.985,1.23,409.553,6.2,0.2,1042090.4,6285200.0,144501.6,411668.0,58.4,74244.8,17990.0,25.2,10.2,2.0,1.132571
0.91,9.008,19.108,23845.888,269.954,1.49,410.449,5.8,0.4,997360.0,6471927.2,144555.2,410504.8,10.4,2045.6,17521.4,35.2,11.4,2.0,1.441952
0.68,8.562,30.306,25483.264,272.762,1.75,368.639,9.6,0.4,1242063.2,1382592.0,34935.2,520689.6,14.4,95146.4,21261.2,28.8,1.6,1.6,0.695045
0.73,10.278,28.43,47272.96,293.023,1.79,374.252,7.4,0.4,888364.0,2555458.4,101616.0,567408.0,7.2,0.0,20657.2,32.0,2.8,0.4,0.609507
0.73,10.088,26.284,33655.808,285.165,1.83,373.811,9.8,0.0,890924.0,3697384.0,114894.4,506630.4,2.4,517.6,21298.0,29.6,3.0,0.6,0.621877
0.67,7.687,35.183,26244.096,258.625,1.9,343.658,10.8,0.4,1173475.2,217788.8,36218.4,407000.0,7408.0,139789.6,19042.2,26.4,1.6,1.0,0.672152
0.76,8.987,31.504,36769.792,285.392,1.72,369.631,9.4,0.0,908865.6,3312638.4,89738.4,390576.8,66.4,0.0,17096.8,33.6,3.4,0.0,0.628733
0.72,10.643,23.61,37755.904,284.931,1.85,368.493,9.0,0.0,908646.4,3034887.2,122060.8,405475.2,4.0,0.0,19896.6,29.8,2.6,0.0,0.558437
0.72,9.026,32.964,15462.4,270.993,1.93,354.064,11.0,0.4,987076.0,1280317.6,131373.6,411608.8,1235.2,46172.8,19646.6,30.4,3.0,0.8,0.494429
0.75,10.033,19.184,35307.52,268.397,1.78,345.84,8.0,0.2,902384.8,3574711.2,134215.2,419869.6,117.6,0.0,18910.8,33.6,3.2,0.2,0.705733
0.72,9.822,23.811,33873.92,263.804,1.88,340.855,8.2,0.0,902150.4,4330380.8,135260.0,431078.4,9.6,0.0,19704.8,31.4,3.6,0.4,0.593877
0.7,9.93,17.782,36467.712,263.351,1.88,338.984,9.2,0.2,901932.0,4025750.4,135661.6,426974.4,24.8,0.0,19628.0,32.0,1.8,0.0,0.58034
0.71,10.521,21.733,31519.744,264.084,1.99,347.682,8.8,0.0,901904.0,4461268.8,135827.2,436364.8,8.0,0.0,20670.0,30.6,2.8,0.2,0.537698
0.74,8.952,26.939,38110.208,263.165,1.8,333.526,11.4,0.2,894300.0,4635378.4,135879.2,438878.4,11.2,0.0,18056.2,36.0,2.6,0.6,0.723099
0.71,7.136,27.151,20767.744,275.194,1.72,349.367,9.2,0.4,1376508.0,3141601.6,135916.0,442968.8,4.0,178486.4,16649.6,33.0,2.0,0.8,0.693152
0.7,9.915,24.162,34507.776,253.652,2.01,324.95,8.8,0.2,894040.0,4791904.8,136370.4,448442.4,0.0,0.0,20679.8,29.8,2.0,0.2,0.547731
0.72,10.782,22.511,38794.24,225.233,2.11,357.283,8.6,0.0,893988.0,4146768.0,136559.2,450718.4,7.2,0.0,19687.8,32.6,2.4,0.2,0.643104
0.76,9.864,22.808,35995.648,229.074,2.12,375.91,10.4,0.2,893933.6,4008060.0,136581.6,452256.0,0.0,0.0,18993.2,36.0,2.4,0.0,0.715736
0.79,9.763,24.154,30696.448,224.888,2.3,425.402,10.2,0.0,893782.4,4017571.2,136604.0,454096.8,37.6,0.0,19661.2,35.8,2.2,0.2,0.57666
0.9,11.05,25.931,17679.36,243.448,2.09,493.541,10.4,0.2,893728.0,3796780.8,136627.2,455216.0,6.4,0.0,20012.6,39.2,2.2,0.4,0.58186
0.85,10.566,21.254,22459.392,223.409,2.16,470.056,10.8,0.2,893690.4,4015488.0,136636.0,461395.2,1.6,0.0,20461.6,38.8,2.0,0.0,0.60709
0.89,10.802,19.444,20122.624,256.275,2.04,505.533,8.4,0.2,893340.0,4337580.8,136636.0,461250.4,0.8,0.0,19727.8,34.0,2.0,0.0,0.482349
0.97,9.505,26.64,19582.976,278.295,1.69,495.975,8.8,0.2,893968.0,4493719.2,136636.0,474566.4,1.6,0.0,17428.0,40.4,2.6,0.2,0.602129
0.97,10.45,22.821,18144.256,303.608,1.62,523.195,9.2,0.0,893968.0,4846368.0,136636.0,470632.8,4.8,0.0,20073.2,35.4,2.8,0.4,0.548375
0.89,9.377,21.099,18059.264,301.624,1.65,460.019,8.2,0.0,1066058.4,5175589.6,136640.0,469297.6,3.2,74427.2,19370.8,34.4,2.6,0.2,0.689572
1.07,9.852,25.24,15816.704,348.752,1.39,633.853,9.4,0.2,893820.0,5167323.2,136640.0,476544.8,2.4,0.0,21745.2,38.2,2.6,0.6,0.622456
0.91,9.09,28.707,11573.248,315.228,1.65,492.137,9.6,0.2,1105995.2,5267271.2,137062.4,502146.4,2.4,83751.2,18612.4,37.0,3.0,0.8,0.498856
0.99,10.467,26.729,13461.504,297.431,1.77,550.428,7.6,0.0,893236.8,4786852.0,137092.8,517185.6,24.0,0.0,20081.2,36.2,3.2,0.4,0.600791
1.01,10.431,25.429,16397.312,385.475,1.21,483.131,8.6,0.0,889704.0,5355044.0,137244.0,520216.0,3.2,0.0,20460.8,37.4,1.8,0.2,0.69409
0.97,9.94,32.58,18711.552,346.259,1.39,473.178,10.6,0.4,889604.0,5795747.2,137248.0,524555.2,12.0,0.0,18131.8,41.2,3.8,0.2,0.655015
0.67,7.429,40.268,28656.64,268.428,2.0,353.289,10.0,0.4,1306042.4,118514.4,49165.6,260285.6,5180.0,175484.8,19653.0,25.8,2.2,1.4,0.763233
0.72,9.367,29.218,36307.968,277.026,1.77,364.374,11.6,0.2,1410836.0,2720992.0,52974.4,337744.8,2544.0,848.0,18501.4,27.0,2.6,0.4,0.515009
0.71,9.359,32.472,34898.944,271.25,1.78,356.567,8.0,0.0,1393570.4,3601823.2,35833.6,306835.2,3662.4,245.6,19671.2,29.0,3.6,0.8,0.510631
