ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency(ms)
1.21,5.08,22.471,16555.008,281.85,1.0,517.199,5.61,8.8,0.2,1025180.0,5505400.8,137101.6,549078.4,8.0,0.0,50.4,20327.2,11635.8,20424.2,42.6,52.8,4.6,0.6,0.0,39.767482851851845
1.07,4.517,19.487,16444.416,244.425,1.14,409.973,6.49,10.0,0.0,1129672.0,5667200.0,137120.0,549150.4,32.8,48499.2,32.8,65597.6,10527.6,17406.4,39.4,55.8,4.4,0.8,0.0,43.3363863
1.1,4.756,20.716,14881.792,229.452,1.12,422.726,6.15,8.0,0.6,1023524.0,5749748.8,137132.0,549734.4,8.8,0.0,8.8,18430.4,10851.2,18830.4,47.8,48.2,3.4,0.8,0.0,50.0311939375
1.07,4.21,26.618,16502.784,269.138,0.98,329.115,7.71,6.8,0.2,1035420.0,6047839.2,137132.8,552512.8,32.8,12627.2,39.2,30355.2,9912.8,17397.6,42.8,52.6,4.0,0.4,0.0,51.5156472
0.52,4.957,24.943,5870.592,138.583,1.86,176.968,11.43,7.6,0.6,1022064.0,6190079.2,137159.2,590357.6,267.2,32.0,1918.4,20243.2,10518.2,19822.0,47.8,46.4,5.4,0.8,0.0,41.366212887096765
0.72,3.367,38.72,43464.704,185.32,1.32,228.26,12.09,8.4,0.2,1068380.0,931868.8,84691.2,509425.6,44.8,34536.0,1060.2,48650.4,9471.8,14567.6,25.4,69.2,4.0,1.8,0.0,70.63879855813954
0.73,3.612,40.153,40731.648,195.487,1.29,237.943,11.08,11.4,0.8,1223892.8,625128.0,33636.8,431614.4,537.6,57468.0,5376.2,71976.0,9738.4,15428.8,24.8,70.0,3.6,1.8,0.0,49.04963248979592
0.68,4.225,21.829,41336.832,178.121,1.41,222.572,13.16,10.0,0.6,1230166.4,1090106.4,46378.4,369219.2,1545.6,20482.4,5641.6,36070.4,10051.8,16683.4,24.8,68.8,4.8,1.6,0.0,44.698006290322574
0.66,4.463,27.697,57586.688,183.001,1.37,223.164,15.59,8.2,1.0,1239422.4,1852679.2,55341.6,494012.0,591.2,3732.8,1653.2,22556.0,11150.8,19287.8,26.0,69.0,4.2,0.8,0.0,46.78697475471698
0.78,4.289,26.034,42067.968,207.125,1.26,263.309,12.31,8.6,0.0,1252968.8,2138963.2,70269.6,472440.0,591.2,0.0,1601.0,17847.2,10717.2,18655.2,27.2,68.4,4.0,0.4,0.0,42.430891681818174
0.79,4.798,31.058,38113.28,219.017,1.25,273.477,12.58,8.0,0.4,1243804.0,2709561.6,106512.8,487806.4,652.0,0.0,1370.4,18843.2,10849.0,19215.0,28.4,66.2,5.0,0.8,0.0,39.912726132352944
0.76,4.46,25.93,42692.608,190.588,1.3,235.916,12.78,7.4,0.6,1239605.6,4048236.8,122952.8,491231.2,746.4,0.0,936.8,15444.8,9461.6,15918.8,28.6,67.2,3.6,0.8,0.0,50.52445045614035
0.77,4.385,26.807,29839.36,199.713,1.31,246.65,11.88,7.2,0.2,1281122.4,2707040.8,131125.6,494362.4,1063.2,36604.0,1322.4,55081.6,10368.0,18209.6,27.6,65.6,5.8,1.2,0.0,48.51124831372549
0.74,4.242,24.093,37038.08,188.664,1.31,231.083,12.15,8.2,0.0,1260155.2,3147184.0,134513.6,496552.8,1588.0,22074.4,1737.6,39494.4,9849.0,17251.4,29.6,64.2,4.8,1.2,0.0,56.953431369565216
0.78,5.161,19.228,34562.048,201.644,1.39,253.025,11.96,8.0,0.6,1218264.8,4535685.6,136312.0,505342.4,1338.4,0.0,2637.8,17303.2,11924.4,21200.6,31.4,62.6,5.4,1.0,0.0,40.594674164179104
0.73,4.809,28.03,38986.752,178.218,1.4,218.825,13.22,9.0,0.6,1212632.0,4147716.0,137252.8,509201.6,753.6,0.0,894.8,19868.0,11543.2,20124.0,31.6,62.6,5.2,0.8,0.0,44.5189414
0.78,4.668,21.684,38507.52,207.602,1.31,259.268,12.06,8.0,0.6,1210815.2,4645615.2,137631.2,506640.0,208.0,0.0,208.0,17702.4,10398.8,18334.6,32.2,62.2,5.0,0.6,0.0,39.25801938235294
0.76,5.093,27.554,42465.28,198.921,1.31,243.196,12.69,7.8,0.2,1210251.2,4998472.8,137801.6,509064.0,54.4,0.0,54.4,22014.4,11493.0,21208.0,33.2,61.2,5.0,0.6,0.0,37.2902545
0.81,4.656,25.411,22782.976,180.356,1.32,250.584,10.53,7.8,0.2,1204755.2,4004607.2,137927.2,505500.0,613.6,0.0,1366.8,19146.4,10429.4,19120.6,33.6,62.6,3.6,0.2,0.0,44.5952828245614
0.78,4.988,27.021,43971.584,188.437,1.38,262.159,11.71,9.8,0.0,1202519.2,4448197.6,137980.8,509236.8,12.8,0.0,12.8,20600.8,10370.2,19846.4,31.2,62.6,6.2,0.8,0.0,38.92601876056337
0.74,4.652,25.521,39461.888,181.559,1.38,222.407,12.38,8.4,1.2,1201338.4,5062419.2,138080.0,520216.0,964.0,0.0,1639.6,18766.4,10244.0,18673.0,29.8,64.8,4.8,0.8,0.0,47.36604206896552
0.8,4.487,30.598,39574.528,178.5,1.52,278.362,10.1,6.2,0.2,1196175.2,4477376.8,138146.4,520388.8,567.2,0.0,675.2,20096.8,10447.4,19566.8,35.6,60.0,3.8,0.6,0.0,46.448807733333325
