stress-vm,stress-cpu(%),stress-io(%),avg-latency(ms)
4096M,0,20,2.049613
3840M,0,20,1.981316
3584M,0,20,1.752110
3328M,0,20,1.672575
3072M,0,20,1.534305
2816M,0,20,1.474298
2560M,0,20,1.499166
2304M,0,20,1.502320
2048M,0,20,2.308819
1792M,0,20,1.615821
1536M,0,20,1.584041
1280M,0,20,1.909354
1024M,0,20,1.940846
768M,0,20,1.706746
512M,0,20,1.781555
256M,0,20,1.533148
4k,0,20,1.423035
7168M,50,10,1.827354
6912M,50,10,1.248323
6656M,50,10,1.307887
6400M,50,10,0.890013
6144M,50,10,0.853219
5888M,50,10,0.779518
5632M,50,10,0.915710
5376M,50,10,0.846944
5120M,50,10,0.819947
4864M,50,10,0.761302
4608M,50,10,1.010375
4352M,50,10,1.383253
4096M,50,10,1.132376
3840M,50,10,0.729116
3584M,50,10,0.910740
3328M,50,10,0.852128
3072M,50,10,0.824756
2816M,50,10,0.825888
2560M,50,10,0.861592
2304M,50,10,0.887600
2048M,50,10,0.712142
1792M,50,10,0.712762
1536M,50,10,0.626314
1280M,50,10,0.656522
1024M,50,10,1.032850
768M,50,10,0.815849
512M,50,10,0.780450
256M,50,10,0.743617
4k,50,10,0.733859
7168M,30,10,1.334713
6912M,30,10,0.708374
6656M,30,10,0.862740
6400M,30,10,0.877239
6144M,30,10,1.149482
5888M,30,10,0.842303
5632M,30,10,0.812815
5376M,30,10,0.740265
5120M,30,10,0.746289
4864M,30,10,0.730904
4608M,30,10,0.643392
4352M,30,10,0.886769
4096M,30,10,0.962179
3840M,30,10,0.724152
3584M,30,10,0.582255
3328M,30,10,0.712450
3072M,30,10,0.649019
2816M,30,10,0.747657
2560M,30,10,0.739857
2304M,30,10,0.773136
2048M,30,10,0.715044
1792M,30,10,0.712996
1536M,30,10,0.673444
1280M,30,10,0.593878
1024M,30,10,0.629881
768M,30,10,0.712836
512M,30,10,0.632154
256M,30,10,0.881180
4k,30,10,0.467436
7168M,10,10,0.921683
6912M,10,10,0.868663
6656M,10,10,0.775021
6400M,10,10,0.865866
6144M,10,10,2.820042
5888M,10,10,0.728676
5632M,10,10,4.690514
5376M,10,10,1.452240
5120M,10,10,0.917267
4864M,10,10,0.769502
4608M,10,10,0.741109
4352M,10,10,0.960338
4096M,10,10,0.673426
3840M,10,10,0.746227
3584M,10,10,0.760958
3328M,10,10,0.826239
3072M,10,10,0.765449
2816M,10,10,0.855960
2560M,10,10,0.703245
2304M,10,10,0.751405
2048M,10,10,0.831481
1792M,10,10,0.750516
1536M,10,10,1.014889
1280M,10,10,0.882103
1024M,10,10,0.792474
768M,10,10,0.776742
512M,10,10,0.813955
256M,10,10,0.882548
4k,10,10,0.645464
7168M,0,10,0.712451
6912M,0,10,0.725224
6656M,0,10,0.651690
6400M,0,10,0.645907
6144M,0,10,0.692723
5888M,0,10,0.789538
5632M,0,10,0.674677
5376M,0,10,0.633776
5120M,0,10,0.581475
4864M,0,10,0.764247
4608M,0,10,0.622220
4352M,0,10,0.788844
4096M,0,10,0.571609
3840M,0,10,0.751736
3584M,0,10,0.679417
3328M,0,10,0.664068
3072M,0,10,0.523126
2816M,0,10,0.603536
2560M,0,10,0.624166
2304M,0,10,0.731049
2048M,0,10,0.652117
1792M,0,10,0.729582
1536M,0,10,0.661683
1280M,0,10,0.692812
1024M,0,10,0.724270
768M,0,10,0.790545
512M,0,10,0.806989
256M,0,10,0.700087
4k,0,10,0.625372
7168M,50,1,0.951128
6912M,50,1,0.828374
6656M,50,1,0.753093
6400M,50,1,1.173098
6144M,50,1,1.028390
5888M,50,1,1.127726
5632M,50,1,0.819791
5376M,50,1,0.701616
5120M,50,1,0.674475
4864M,50,1,0.690001
4608M,50,1,0.752514
4352M,50,1,0.800945
4096M,50,1,0.807806
3840M,50,1,0.744064
3584M,50,1,0.536016
3328M,50,1,0.563255
3072M,50,1,0.590438
2816M,50,1,0.597400
