ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency(ms)
0.62,6.289,29.55,6837.248,196.997,2.47,275.156,11.94,10.2,0.0,1036.0,2070656.0,201200.8,3231906.4,0.0,0.0,0.0,24117.6,13439.6,25225.6,28.6,69.2,2.0,0.2,0.0,10.418773734051248
0.68,6.247,40.651,46892.032,256.887,1.83,332.352,12.57,10.6,0.0,1067564.8,833146.4,49339.2,666633.6,8108.8,86004.0,13012.0,108608.0,16463.2,26700.8,29.0,68.0,2.4,0.8,0.0,8.284078466481175
0.71,6.235,33.959,35604.48,257.563,2.09,340.019,11.75,10.6,0.8,1127167.2,789493.6,35756.0,403806.4,18968.8,69960.0,27217.6,90136.0,14144.6,23074.6,30.6,66.8,2.0,0.8,0.0,10.376468249258286
0.78,6.748,37.103,34550.784,289.643,1.81,379.816,11.28,11.4,0.2,1102831.2,1367148.8,39134.4,405601.6,8404.0,10191.2,16343.8,33267.2,15439.8,27759.8,33.4,63.4,3.2,0.6,0.0,7.4126456171421
0.75,7.066,30.181,37962.752,265.6,1.78,351.129,12.47,9.6,0.0,1091591.2,2533229.6,90365.6,409053.6,7023.2,0.0,8641.6,24516.0,15668.6,28211.6,37.8,58.6,3.4,0.6,0.0,8.220756986013654
0.77,6.259,34.655,16923.648,286.165,1.66,370.096,9.98,8.8,0.4,1601628.0,1499808.8,119800.0,415604.0,436.0,166060.8,524.8,185912.0,14554.2,24211.6,33.8,62.4,3.2,1.0,0.0,6.973146420835199
0.76,7.702,24.482,37089.28,259.893,1.81,339.122,12.71,8.4,0.0,1048886.4,3639520.0,132284.8,418182.4,52.8,0.0,379.0,25631.2,16291.0,30385.6,33.6,62.4,3.8,0.4,0.0,6.364378453313418
0.76,7.788,23.079,28984.32,240.659,1.95,316.845,11.65,6.8,0.0,1043091.2,5196593.6,137532.0,430051.2,3748.0,0.0,5273.6,24893.6,16091.0,29840.6,37.2,59.4,2.8,0.4,0.0,6.356646880618082
0.73,7.243,26.881,39910.4,243.141,1.91,312.337,12.96,8.4,0.0,1038379.2,4030189.6,139135.2,442669.6,28.0,0.0,44.0,24025.6,16066.8,28843.2,38.2,58.8,2.8,0.6,0.0,6.58593754191975
0.76,7.03,29.891,36349.952,257.968,1.85,334.692,12.38,9.4,0.0,1034976.0,4094082.4,139738.4,446462.4,50.4,0.0,50.4,25793.6,14725.8,27981.4,38.2,59.0,2.4,0.4,0.0,6.479870306478964
0.75,7.526,23.605,34502.656,252.97,1.9,327.4,12.74,7.8,0.0,1034660.8,4412235.2,139936.0,444886.4,24.0,0.0,24.0,24823.2,15754.4,29630.0,36.8,60.2,3.0,0.0,0.0,5.8702397416551015
0.77,6.13,34.713,20420.608,271.426,1.69,345.735,11.11,9.2,0.2,1353349.6,3377764.8,140048.8,443915.2,16.8,129678.4,16.8,149950.4,14460.0,23864.0,35.6,60.6,3.2,0.6,0.0,7.180963733239088
0.87,6.488,32.523,7420.928,216.771,2.11,435.814,7.78,8.4,0.4,1131292.0,2212428.0,140108.8,445480.8,48.0,64171.2,48.0,86376.8,15766.8,26555.2,43.0,52.8,3.6,0.8,0.0,7.179917261272133
0.77,7.384,24.219,41158.656,257.988,1.9,366.615,11.73,8.8,0.2,1002906.4,4585519.2,140147.2,446132.8,285.6,0.0,816.0,25130.4,15234.0,29229.2,36.6,59.8,3.6,0.2,0.0,5.840354495578342
0.78,7.878,23.795,40619.008,243.436,2.05,366.916,11.51,9.2,0.0,1001072.0,4516480.0,140180.8,445860.0,31.2,0.0,31.2,26811.2,16671.4,31142.2,35.4,61.6,3.0,0.0,0.0,6.217055712728669
0.78,7.398,29.109,36407.296,237.634,2.02,351.377,11.9,8.4,0.2,1000977.6,4313059.2,140204.0,448352.0,2.4,0.0,17.6,27036.8,15990.6,29360.2,37.6,57.6,4.4,0.4,0.0,6.142606256438084
0.83,7.521,23.303,34056.192,222.924,2.18,429.222,9.26,10.6,0.2,1000273.6,4152653.6,140231.2,447102.4,28.8,0.0,40.8,25739.2,15657.6,29770.6,39.2,57.8,2.8,0.2,0.0,6.233168986631778
0.8,6.267,34.144,16278.528,266.275,1.72,373.132,9.36,9.0,0.2,1626807.2,3968921.6,140383.2,453848.0,44.0,177446.4,49.6,198174.4,14823.0,23994.6,35.2,60.8,3.4,1.0,0.0,7.654437312373409
0.86,7.933,28.103,27413.504,217.991,2.18,456.628,8.41,6.8,0.4,999414.4,4520740.0,140400.8,448825.6,13.6,0.0,30.4,27368.0,17604.8,32128.8,41.6,54.4,4.0,0.6,0.0,5.968961345247064
0.93,7.255,25.719,22268.928,224.155,1.99,468.177,7.56,8.8,0.2,999280.0,4269545.6,140412.0,448940.0,40.0,0.0,45.6,24045.6,16123.2,29052.2,44.2,51.8,4.0,0.6,0.0,6.773598450051862
0.92,6.052,34.459,9189.376,271.808,1.54,414.995,7.39,8.8,0.2,1674675.2,4583096.0,140560.8,450508.8,18.4,163152.8,36.0,183286.4,13097.0,22727.8,40.8,55.4,3.2,0.8,0.0,7.903392837041285
0.94,7.379,19.101,21310.464,240.209,1.81,435.003,7.85,6.2,0.2,991244.0,5325565.6,140868.0,456017.6,23.2,0.0,23.2,25508.0,16363.4,30308.6,39.0,55.4,4.8,0.8,0.0,6.878512714980939
0.89,6.501,22.806,21771.264,213.52,1.88,385.158,8.45,9.0,0.2,991244.0,5295335.2,140884.0,457807.2,4.0,0.0,11.2,22056.0,14088.8,25634.6,44.2,52.4,3.2,0.2,0.0,6.99345400619952
0.77,6.045,24.516,15153.152,228.523,1.79,317.294,9.59,8.2,0.6,1546139.2,5428916.0,140899.2,454061.6,7.2,125021.6,7.2,144385.6,13543.8,22824.6,34.2,61.2,4.0,1.2,0.0,7.009153756481863
1.06,7.491,17.945,12307.456,286.962,1.5,539.303,6.2,8.0,0.0,989760.0,5617591.2,140908.0,458193.6,11.2,0.0,12.0,24148.8,15865.0,29108.8,44.6,51.6,3.6,0.8,0.0,6.785793002374571
1.12,6.754,23.223,6522.88,281.422,1.43,554.477,5.51,7.6,0.2,988633.6,5622773.6,140928.0,459001.6,211.2,0.0,1917.0,23274.4,14801.4,27020.0,47.2,48.0,4.6,0.8,0.0,8.37184064215122
1.08,7.269,22.648,15335.424,350.454,1.3,480.244,7.3,7.4,0.2,986432.0,5947759.2,141336.0,468008.8,6.4,0.0,19.2,24576.0,15519.6,28602.6,43.6,52.2,3.8,0.2,0.0,6.722054758861294
1.04,6.636,20.852,15922.176,308.123,1.31,410.453,7.54,9.8,0.0,986432.0,6117106.4,141338.4,471828.8,11.2,0.0,13.6,23300.0,13762.2,26149.4,48.8,49.2,2.2,0.0,0.0,7.235130153605389
0.54,7.996,15.654,1134.592,190.839,2.51,250.212,12.24,7.8,0.4,984435.2,6330740.0,141357.6,469923.2,4.8,36.0,8.8,25333.6,16705.6,31306.8,50.0,46.2,3.6,0.6,0.0,5.757437557725669
0.66,5.793,31.562,37415.936,218.633,1.84,281.829,12.21,7.2,1.6,1132878.4,541881.6,70899.2,379413.6,20.0,100384.8,1308.4,118811.2,16045.6,23625.8,26.8,66.6,4.0,2.4,0.0,7.779011621240203
0.75,7.593,17.137,38288.384,248.202,1.91,324.119,12.07,7.8,0.6,1045636.0,3505175.2,75360.0,373927.2,13.6,0.0,1140.8,23452.8,16123.8,30345.0,29.2,62.8,6.8,1.2,0.0,5.354407429695129
0.71,7.35,30.01,35378.176,250.813,2.08,332.931,12.31,7.0,0.6,1107272.0,1200094.4,52630.4,266898.4,3442.4,25039.2,14843.2,48106.4,16213.4,28615.2,28.4,63.8,6.4,1.2,0.0,5.932013981406114
0.74,7.995,17.298,37246.976,255.9,1.88,336.876,12.8,6.4,0.2,1110954.4,3467850.4,89596.0,340540.0,515.2,0.0,2552.0,24812.8,17699.8,32460.4,33.6,61.2,4.8,0.8,0.0,5.2435907061853015
0.71,8.271,26.322,45757.44,246.841,2.05,321.996,13.26,7.2,0.0,1107575.2,3888612.0,121298.4,343995.2,996.0,0.0,2160.6,25864.0,17186.8,32568.8,33.8,58.8,6.6,1.0,0.0,5.093246166647342
0.72,8.162,21.188,46761.984,252.821,1.99,327.757,13.39,6.8,0.4,1098973.6,3971123.2,132662.4,354838.4,94.4,0.0,1138.8,27164.8,16671.0,32586.6,32.0,61.8,5.8,0.8,0.0,4.906660406171983
0.71,8.261,27.131,40682.496,247.263,2.04,324.268,13.56,6.6,0.2,1094980.0,3754641.6,136507.2,362500.8,93.6,0.0,93.6,27561.6,17637.8,33774.4,32.8,61.0,5.4,0.6,0.0,4.764768917849109
0.72,8.268,21.858,36246.528,233.956,2.0,307.05,13.1,7.4,0.0,1094468.0,4729311.2,137593.6,360992.0,60.0,0.0,74.4,26101.6,17759.2,33935.8,32.4,61.2,5.6,0.8,0.0,5.4316892476916205
0.76,6.381,25.651,23674.88,253.465,1.78,328.109,11.19,8.4,1.0,1281240.0,3400937.6,137977.6,360829.6,16.8,103067.2,29.6,122857.6,14841.6,25217.6,33.6,60.4,5.0,1.2,0.0,6.161531220972232
0.72,7.858,24.297,44486.656,234.78,2.01,308.207,13.55,9.2,0.2,1080081.6,4738794.4,138146.4,365316.8,40.0,0.0,76.8,24446.4,16082.0,30792.2,34.2,59.4,5.6,1.0,0.0,5.184896677010612
0.77,7.639,33.893,21096.448,225.38,2.17,326.318,11.7,7.8,0.2,1079454.4,3924240.8,138224.8,364440.8,62.4,0.0,73.6,26089.6,16045.2,31039.4,39.4,53.2,7.2,0.8,0.0,4.955336982392041
0.76,7.856,26.679,42941.44,225.469,2.15,342.437,11.79,8.4,0.0,1079243.2,4088428.8,138276.0,366210.4,40.8,0.0,251.4,26037.6,16468.0,31458.2,35.2,57.6,6.4,0.8,0.0,5.223930920458006
0.72,7.996,20.93,41042.944,224.724,2.08,307.614,12.84,8.0,0.0,1078979.2,4999665.6,138304.8,370356.0,21.6,0.0,22.4,27059.2,17086.6,31910.6,33.4,60.0,6.2,0.8,0.0,5.433977893127276
0.7,7.621,21.404,40023.04,218.02,2.17,283.169,13.04,7.2,0.4,1078611.2,5111349.6,138322.4,367920.8,13.6,0.0,18.4,23539.2,16398.0,30713.6,30.2,63.6,5.8,0.8,0.0,5.123723470247709
0.88,7.655,22.276,20428.8,194.264,2.26,420.644,8.04,6.8,0.6,1078143.2,3825854.4,138524.0,375714.4,14.4,0.0,32.0,25374.4,15988.8,29641.8,37.8,54.8,6.6,0.6,0.0,5.638288083439824
0.82,7.836,17.106,36299.776,196.089,2.24,407.2,8.87,7.8,0.2,1077784.0,4392538.4,138544.0,378444.0,14.4,0.0,14.4,25281.6,17218.4,31404.8,35.4,58.0,6.2,0.8,0.0,5.947739330690299
0.95,8.553,22.636,20467.712,234.584,2.22,545.58,7.13,8.4,0.6,1073659.2,3959116.0,138564.8,377213.6,12.0,0.0,33.6,27069.6,17928.2,34247.6,37.2,55.8,6.8,0.6,0.0,4.61497097588026
0.9,8.267,21.865,28951.552,220.022,2.22,506.172,7.38,7.2,0.2,1073552.0,4148925.6,138588.0,371938.4,6.4,0.0,6.4,26518.4,18090.6,33030.4,37.6,56.4,5.4,0.8,0.0,4.947297250477001
0.94,7.91,26.037,25659.392,228.428,2.04,490.232,7.27,8.6,0.2,1073792.0,4354164.8,138602.4,382332.8,64.8,0.0,72.8,26698.4,17143.6,31861.4,38.4,55.2,5.8,0.8,0.0,5.897938266513854
0.97,7.936,29.692,28986.368,250.703,1.94,487.094,7.54,8.8,0.0,1073536.0,5100696.8,138608.0,380678.4,49.6,0.0,49.6,28060.8,17389.6,32433.0,39.6,54.0,5.6,0.8,0.0,5.044873515363494
0.91,7.031,32.217,22817.792,227.194,2.01,451.615,7.41,6.0,0.2,1103084.8,4758941.6,139142.4,407690.4,214.4,28246.4,845.6,50973.6,16683.0,29622.8,38.4,55.6,4.8,1.0,0.0,5.538005705461485
1.11,7.744,31.444,20782.08,302.847,1.54,564.326,6.2,8.6,0.0,1060344.0,5287727.2,139260.0,410195.2,8.0,0.0,8.0,25624.8,15904.6,30391.4,39.6,54.2,5.6,1.0,0.0,5.209005780058463
1.15,7.8,27.64,9480.192,312.255,1.45,596.655,5.6,8.8,0.2,1060344.0,5255134.4,139400.8,414973.6,0.0,0.0,0.8,25778.4,16217.2,30653.0,43.4,50.8,5.0,0.8,0.0,5.410645842982544
1.13,8.187,29.724,15013.888,330.563,1.49,647.205,5.68,7.0,0.8,1060344.0,5504774.4,139419.2,414404.8,20.8,0.0,60.8,25909.6,18260.8,33111.2,41.2,53.4,4.8,0.6,0.0,4.728176804371061
1.24,7.696,37.171,6812.672,323.417,1.39,702.55,4.66,6.6,1.0,1060344.0,5471486.4,139428.0,409542.4,2.4,0.0,7.2,26740.0,16300.6,31110.0,46.2,48.4,5.0,0.6,0.0,5.679877418460268
