ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
0.56,8.618,22.818,52442.112,187.912,2.47,247.796,15.36
0.79,8.42,24.161,29041.664,175.570,2.54,397.78,8.41
0.67,8.34,34.667,53554.176,159.662,2.81,342.391,10.45
0.63,7.233,43.283,51122.176,156.843,2.63,285.7,11.58
0.62,8.063,16.021,46840.832,154.708,2.64,280.071,11.48
0.79,8.707,13.108,39844.864,143.101,3.15,444.386,7.42
0.75,8.028,17.982,38161.408,135.240,3.05,383.542,7.90
1.04,8.296,15.655,6649.856,187.510,2.17,512.183,5.28
0.83,7.274,13.778,31759.36,132.312,2.69,412.727,6.60
0.90,8.689,13.324,32774.144,175.678,2.43,468.184,6.46
1.04,8.532,13.980,21625.856,229.884,1.89,506.286,5.83
0.97,8.17,21.652,34875.392,222.717,1.94,455.805,6.82
0.99,8.633,15.064,35147.776,229.173,1.86,480.979,6.54
0.94,6.949,34.627,20076.544,254.646,1.62,442.152,6.17
1.04,6.373,54.038,12725.248,288.589,1.54,516.058,5.28
1.16,8.348,16.566,17683.456,298.624,1.38,618.158,4.86
1.45,8.247,15.152,8017.92,328.613,1.23,803.603,3.41
1.18,8.724,13.641,16003.072,270.163,1.60,637.514,4.62
1.08,7.883,35.683,18008.064,322.746,1.39,507.125,5.86
0.97,7.7,27.630,23391.232,342.364,1.32,364.44,7.90
0.92,8.135,34.684,18887.68,257.455,1.83,426.369,6.92
0.26,9.444,27.859,932.937,120.067,4.19,176.53,12.82
0.70,6.057,25.166,40338.432,223.888,1.91,287.958,12.45
0.68,6.409,24.371,46010.368,210.109,2.03,270.354,13.49
0.77,7.288,19.284,39138.304,255.042,1.81,332.071,12.34
0.75,7.313,19.192,34082.816,238.764,1.78,311.175,13.12
0.79,6.777,18.019,29594.624,231.512,1.94,301.752,12.44
0.75,7.414,15.458,40203.264,235.472,1.86,304.374,13.65
0.76,7.7,17.028,38480.896,245.210,1.89,315.415,13.32
0.75,7.653,13.778,34563.072,242.068,2.01,311.674,13.24
0.74,7.361,20.066,39762.944,230.555,1.88,300.105,13.62
0.72,6.467,21.694,26885.12,201.953,1.87,262.838,12.97
0.76,7.673,16.196,34244.608,244.914,1.90,316.127,12.71
0.76,8.016,17.822,32887.808,246.934,1.97,321.812,12.79
0.77,7.765,19.309,30997.504,234.756,1.97,303.079,12.84
0.76,6.072,27.806,17730.56,244.123,1.82,311.454,10.92
0.76,7.258,21.309,33380.352,228.770,1.84,292.092,12.85
0.74,7.64,21.342,36211.712,215.421,2.05,290.142,12.83
0.79,7.801,25.040,33755.136,218.708,2.12,342.936,11.23
0.90,7.673,20.145,27458.56,206.220,2.24,447.185,8.20
0.90,7.229,21.262,25608.192,198.780,2.15,421.505,8.19
0.95,7.192,23.501,21018.624,221.886,1.97,462.864,7.53
0.92,6.953,26.561,17958.912,215.379,2.05,436.077,7.71
0.98,7.528,22.895,22729.728,251.718,1.82,448.184,8.05
0.98,7.503,24.190,19422.208,248.824,1.82,426.017,8.04
1.09,7.694,16.614,14801.92,283.031,1.59,533.6,6.42
0.87,5.158,30.760,7497.728,204.629,1.80,332.329,7.65
0.96,5.949,23.389,9972.736,223.877,1.74,411.357,6.86
1.11,7.751,18.609,18115.584,344.796,1.27,492.048,7.08
1.03,7.025,21.937,17386.496,304.970,1.39,378.533,8.41
0.57,7.595,25.913,1250.304,183.433,2.40,241.026,12.23
0.69,5.652,37.808,34458.624,217.567,2.05,280.823,11.41
0.66,6.203,41.135,32826.368,213.281,2.02,286.436,12.17
0.73,7.347,24.400,37642.24,217.673,1.96,287.129,13.02
0.74,7.485,27.650,33520.64,246.503,1.81,325.388,12.27
0.74,7.93,25.500,37135.36,237.087,1.91,310.497,12.88
0.71,7.749,27.496,39592.96,227.510,2.07,297.939,13.46
0.74,6.241,37.384,23106.56,232.023,1.85,297.591,11.65
0.71,6.356,28.652,22656.0,217.510,1.93,284.202,12.66
0.76,7.922,24.598,24673.28,237.785,1.85,308.469,12.70
0.71,7.889,25.387,34626.56,223.091,2.07,293.591,13.35
0.77,7.961,24.445,19273.728,233.070,2.04,317.285,11.88
0.71,6.006,21.769,18225.152,218.622,1.86,279.711,11.35
0.68,7.505,19.260,35524.608,200.887,2.22,257.616,14.03
0.73,7.866,23.902,39285.76,200.923,2.32,310.408,11.81
0.78,8.06,28.118,39275.52,209.530,2.18,368.432,10.14
0.76,8.168,28.627,33003.52,189.472,2.61,354.294,10.05
0.80,7.49,24.464,33641.472,190.440,2.27,353.19,9.79
0.84,7.441,22.772,28706.816,177.478,2.37,388.613,8.52
0.92,7.819,18.156,22994.944,198.878,2.28,459.202,7.15
0.92,8.06,23.804,26441.728,216.549,2.15,460.013,7.62
0.95,7.814,24.428,22934.528,232.868,2.04,447.223,7.50
1.01,7.738,23.057,28610.56,259.551,1.74,467.568,7.41
0.98,6.403,28.816,9765.888,252.614,1.75,449.649,6.59
1.20,7.762,21.554,15075.328,323.403,1.32,629.287,5.34
1.08,8.017,26.962,12024.832,296.783,1.60,553.339,6.03
1.22,7.696,20.150,10333.184,312.150,1.40,634.483,5.18
1.11,7.79,24.440,21616.64,352.954,1.24,438.257,7.52
