ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency(ms)
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.6,0.0,1321915.2,5686092.0,142074.4,539832.0,132.0,0.0,396.0,23300.0,18426.0,36764.4,35.0,60.6,4.4,0.0,0.0,0.893424
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.4,0.4,1314235.2,5995855.2,142080.0,543993.6,165.6,0.0,211.2,17816.0,16694.4,30461.6,39.2,56.2,4.0,1.2,0.0,0.858323
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.2,0.0,1311982.4,6274444.0,142096.8,551745.6,420.8,0.0,763.6,21132.8,21491.2,42419.0,31.8,61.8,6.0,0.6,0.0,0.686579
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.0,0.2,1311368.0,6436457.6,142100.0,552622.4,87.2,36.8,88.0,23359.2,20727.2,43642.2,41.8,52.6,5.8,0.4,0.0,0.673053
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,8.6,0.0,1311112.0,3140939.2,142116.8,560064.0,123.2,0.0,1626.8,22226.4,20056.2,43811.8,23.4,69.6,6.4,0.8,0.0,0.801931
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.0,0.0,1511032.0,542551.2,65007.2,478007.2,14763.2,128058.4,15425.4,146628.8,21511.2,36392.6,20.6,71.4,7.4,1.0,0.0,0.905903
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.8,0.2,1395824.0,897240.0,46852.0,374081.6,1873.6,28627.2,9563.6,49946.4,21035.2,40494.2,25.0,68.0,6.2,1.2,0.0,0.750786
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.8,0.6,1397244.8,3800973.6,92361.6,408944.8,205.6,0.0,3046.4,21880.8,18530.8,37475.0,25.4,67.6,6.0,1.0,0.0,0.568092
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,9.4,0.0,1395248.0,3142250.4,126604.0,411624.0,148.0,0.0,200.0,22654.4,20270.0,38881.0,22.4,70.4,6.8,0.6,0.0,0.76214
0.74,12.936,47.389,17223.68,258.242,2.02,426.866,9.11,7.4,0.2,1393865.6,3454076.0,136536.8,411608.8,119.2,0.0,189.2,21800.8,18027.0,38106.6,29.2,63.6,6.6,0.8,0.0,0.723717
