r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%)
5.2,0.6,1077488.0,4373562.4,136210.4,453224.8,514.4,0.0,2083.2,22464.0,12676.2,23446.0,33.8,54.0,10.8,1.4,0.0
6.6,0.0,1075952.0,4066661.6,136242.4,454285.6,192.0,0.0,192.0,22464.0,12364.8,23394.6,34.2,52.8,11.6,1.2,0.0
6.6,0.0,1075696.0,4593736.0,136276.8,458784.0,64.8,0.0,76.0,24548.0,13201.6,24807.4,35.2,52.0,11.4,1.4,0.0
6.0,0.0,1075440.0,4006988.8,136308.0,457584.0,12.0,0.0,12.0,23194.4,13066.6,24504.6,37.0,52.0,10.0,1.4,0.0
7.2,0.2,1075440.0,4686575.2,136331.2,457020.0,36.0,0.0,52.8,21919.2,13045.8,23898.2,35.0,53.6,10.2,1.2,0.0
4.2,1.0,1024387.2,3606958.4,136344.8,465733.6,252.0,0.0,252.0,21551.2,12504.4,23685.2,45.4,42.0,10.6,2.0,0.0
5.8,1.2,1009419.2,4169960.8,136498.4,478873.6,1360.8,0.0,1951.8,22063.2,12659.4,23433.6,38.2,51.0,9.8,1.4,0.0
7.2,0.2,1008637.6,4164635.2,136630.4,478238.4,794.4,0.0,951.0,22008.0,13765.4,25331.2,44.4,43.6,10.2,2.0,0.0
5.2,1.0,1007460.0,4396540.8,136664.0,483613.6,348.0,0.0,363.2,22980.8,12596.2,23829.6,45.8,42.2,10.4,1.4,0.0
6.6,0.2,1006771.2,4861591.2,136804.0,484587.2,34.4,0.0,55.2,22227.2,12815.2,24592.8,43.0,44.0,11.2,1.8,0.0
6.0,0.2,1006420.8,5070412.8,136816.0,479576.0,52.0,0.0,88.0,23424.8,13285.0,25534.6,43.4,46.6,8.6,1.6,0.0
6.8,0.6,997647.2,4712756.0,136821.6,485628.0,100.0,0.0,257.6,25569.6,12242.0,23200.4,45.2,41.8,11.8,1.4,0.0
3.8,0.2,996981.6,5265663.2,136892.0,482655.2,178.4,0.0,204.0,20644.0,12001.6,22494.0,45.0,42.2,11.2,1.4,0.0
5.2,0.4,996572.0,5265429.6,136904.0,483888.8,50.4,0.0,51.2,22328.0,12249.2,23453.8,48.2,40.0,10.8,1.4,0.0
6.6,0.2,976080.0,5342015.2,136920.0,484911.2,329.6,0.0,924.6,19845.6,11377.4,21190.6,48.6,41.4,9.0,1.2,0.0
6.0,0.2,1046586.4,5680272.8,136929.6,486427.2,10.4,54517.6,10.4,76528.8,12953.2,21694.0,44.6,45.6,8.0,1.8,0.0
6.8,1.0,973668.0,5877809.6,136940.0,492591.2,4.0,0.0,4.0,23208.8,12394.6,23699.4,44.0,42.6,12.2,1.2,0.0
7.4,0.4,1001901.6,6033745.6,136940.0,487348.0,4.8,52428.8,4.8,70730.4,12155.4,20137.6,42.2,45.8,9.4,2.2,0.0
5.2,0.4,973863.2,6260386.4,136948.0,486930.4,2.4,55.2,68.0,23111.2,12807.6,24806.2,51.8,28.2,17.4,2.8,0.0
8.8,0.4,1237265.6,167681.6,35192.0,244362.4,2815.2,131701.6,35107.8,145136.8,17460.2,18177.4,10.6,79.8,5.6,3.8,0.0
11.4,0.0,1159092.8,381602.4,24937.6,234440.8,2635.2,14404.0,23440.0,26063.2,9059.0,14054.6,15.6,76.2,6.2,2.0,0.0
4.8,1.0,1093892.8,1674428.0,48544.8,349897.6,96.0,1868.8,3564.2,20766.4,11204.0,20847.4,16.8,68.0,12.6,2.6,0.0
5.0,0.2,1137693.6,3708961.6,80795.2,365149.6,6443.2,897.6,15006.4,21197.6,11638.4,20516.2,19.2,69.6,9.0,2.4,0.0
6.4,0.0,1120157.6,3817918.4,118856.8,386939.2,180.8,0.0,1860.0,24440.8,14506.4,27283.4,23.6,55.4,18.4,2.6,0.0
5.8,0.2,1091844.0,3844992.8,133188.0,407805.6,76.0,0.0,137.6,22173.6,12920.0,24570.8,23.2,57.0,17.2,2.8,0.0
4.2,0.2,1091280.8,3784150.4,137884.0,415797.6,1137.6,0.0,2756.8,24755.2,13323.8,25702.4,24.8,56.4,16.0,3.2,0.0
7.4,0.2,1049230.4,3628833.6,139469.6,424248.8,1319.2,0.0,1492.8,21444.0,12592.0,24248.6,25.6,52.0,19.4,3.2,0.0
5.2,0.6,1045756.0,4080378.4,140010.4,421282.4,35.2,0.0,35.2,22044.8,12931.0,25197.0,24.0,54.0,18.8,3.4,0.0
5.0,0.2,1045490.4,3330099.2,140229.6,424389.6,6.4,0.0,7.2,24303.2,13583.4,26456.2,28.0,51.6,18.0,2.6,0.0
5.0,0.0,1044459.2,4530175.2,140338.4,423948.0,944.0,0.0,1168.0,22562.4,13846.2,26535.8,25.6,55.6,15.6,3.4,0.0
5.2,0.0,1032936.8,3470675.2,140374.4,429763.2,36.8,0.0,36.8,23495.2,12152.4,24056.2,35.2,46.4,16.0,2.0,0.0
5.8,0.4,1032039.2,3202508.0,140406.4,438580.8,103.2,0.0,147.2,24708.0,13853.8,26097.8,30.8,51.2,16.0,2.4,0.0
5.6,0.0,1031577.6,4134801.6,140438.4,438100.8,36.8,0.0,59.2,25097.6,13827.4,26492.6,29.6,51.0,17.4,2.6,0.0
