4.40,0.20,903612.00,1399495.20,108587.20,358568.80,108.80,0.00,856.00,15811.20,9666.80,18090.60,21.00,59.80,17.00,2.60,0.00
6.20,0.20,901871.20,2927658.40,125943.20,373635.20,302.40,0.00,1360.00,17391.20,11161.80,20157.60,19.60,63.00,15.00,2.60,0.00
4.60,0.40,899720.80,4169956.00,134360.00,400260.00,3616.80,0.00,9503.40,16905.60,10758.20,19833.60,22.20,60.20,14.00,3.60,0.00
4.40,0.20,889480.80,3395461.60,138373.60,448553.60,624.80,0.00,955.20,17274.40,10695.00,20168.20,18.00,59.20,18.80,3.60,0.00
6.40,0.60,1004223.20,121529.60,36530.40,212742.40,2292.00,65072.00,17979.00,72488.00,11437.60,11108.80,4.80,80.20,7.00,7.80,0.00
8.00,0.20,961012.80,1263649.60,21403.20,256988.80,1428.80,11304.80,29077.40,23740.80,9359.80,14796.20,13.00,76.20,8.00,3.40,0.00
5.80,0.40,958925.60,3071168.00,63948.80,358948.80,473.60,632.80,15642.40,17676.80,16862.20,18947.40,13.00,72.80,11.60,2.60,0.00
4.80,0.00,958412.00,3413128.00,106264.00,377322.40,131.20,0.00,2570.00,18596.80,11031.60,21056.80,17.40,59.60,20.00,3.60,0.00
5.80,0.00,954060.00,4166309.60,125386.40,385338.40,264.80,0.00,443.40,19385.60,12062.80,22862.00,17.80,58.20,19.40,4.40,0.00
4.20,0.20,952524.00,3898785.60,134369.60,392152.80,90.40,0.00,318.20,18002.40,11043.00,20752.00,17.00,61.40,18.40,3.80,0.00
6.20,0.60,951500.00,1955732.00,138405.60,389506.40,88.00,0.00,131.20,17120.80,10747.60,19293.80,40.00,52.40,6.20,1.00,0.00
6.60,0.60,949868.80,1155368.00,104669.60,338804.80,167.20,773.60,4840.00,16254.40,10138.20,17741.40,31.00,63.00,5.40,0.80,0.00
6.80,0.60,882376.80,1722822.40,59072.00,416736.00,36.00,138.40,15913.40,16092.80,9984.20,17844.80,35.00,59.20,5.00,1.00,0.00
8.80,0.00,888972.80,1658697.60,71636.00,343421.60,235.20,4619.20,13633.40,20430.40,9988.80,17159.00,34.00,60.20,5.40,1.00,0.00
7.60,0.20,885024.00,2105903.20,103207.20,341752.00,224.80,0.00,1186.80,17261.60,9614.40,17755.80,35.60,57.80,6.20,1.00,0.00
7.40,0.20,884358.40,2574978.40,121301.60,348607.20,172.00,0.00,1584.80,15798.40,9481.00,17139.00,35.40,58.40,5.40,0.80,0.00
7.40,1.00,883334.40,2297324.00,129069.60,372566.40,100.00,0.00,348.00,15943.20,9084.80,16658.80,35.80,58.40,5.60,0.80,0.00
6.20,0.60,882208.00,3148280.80,133143.20,371808.00,35.20,0.00,114.40,17196.80,10035.00,18597.00,31.00,58.20,9.60,1.20,0.00
8.00,0.00,882816.00,688000.80,96813.60,290856.80,36.80,920.80,1516.20,14654.40,8406.20,14662.40,28.00,65.20,5.60,1.00,0.00
8.80,0.80,890208.00,2296409.60,52195.20,426238.40,620.80,0.00,18574.20,14804.00,9802.80,17361.40,32.80,56.60,9.20,1.80,0.00
6.00,0.00,888979.20,2670305.60,99776.00,445676.80,164.80,0.00,1791.60,16334.40,10181.20,18447.80,30.20,57.20,11.00,1.80,0.00
5.20,0.40,888416.00,2672700.80,119289.60,462115.20,104.00,0.00,1088.20,17216.80,10324.40,18756.80,29.80,57.60,11.00,1.60,0.00
8.60,0.00,949029.60,2033383.20,128536.80,465080.00,40.80,42517.60,107.20,57726.40,10264.20,16652.80,29.00,59.40,9.20,2.40,0.00
8.80,0.40,919910.40,1991340.80,131414.40,467942.40,91.20,41956.00,328.00,56148.00,9948.40,15501.40,32.00,58.60,7.80,1.80,0.00
8.60,0.80,907748.00,168798.40,56784.00,265414.40,1183.20,36092.00,19930.20,45859.20,8811.80,12463.20,15.20,77.20,3.80,3.80,0.00
7.00,2.20,911428.00,294915.20,22570.40,236383.20,832.80,36249.60,24725.60,44580.80,9285.40,12395.60,13.60,74.40,5.80,6.00,0.00
4.40,0.40,935030.40,3755820.80,47031.20,408195.20,2383.20,0.00,21326.80,16469.60,11137.40,20321.80,19.80,61.20,15.00,4.00,0.00
5.60,0.40,895608.00,2657317.60,66312.00,289411.20,120.00,4713.60,3686.60,20360.00,10252.40,18090.40,21.00,61.60,14.40,3.40,0.00
5.40,0.20,864352.00,4255696.00,92475.20,365334.40,421.60,0.00,11672.00,16890.40,10603.00,19822.20,24.60,55.80,16.80,2.80,0.00
6.20,0.40,860979.20,3816732.00,116689.60,372570.40,311.20,0.00,593.80,19384.80,10294.20,20458.40,23.20,60.40,14.40,1.80,0.00
5.60,0.20,860246.40,4283668.00,127882.40,376199.20,82.40,0.00,123.20,17062.40,9980.80,19219.40,23.20,59.00,15.20,2.60,0.00
7.80,1.00,1022003.20,107983.20,23152.80,179424.00,155.20,80331.20,24856.00,86853.60,11011.20,11620.40,4.20,85.40,3.40,7.00,0.00
7.20,0.20,1007475.20,1612987.20,48620.80,337033.60,3447.20,49381.60,17800.80,61827.20,13456.40,15462.80,9.20,75.40,10.40,5.20,0.00
5.20,0.80,912461.60,1190652.00,30321.60,195489.60,168.80,10092.80,12650.00,20871.20,7875.40,12778.40,12.80,73.60,10.20,3.20,0.00
4.20,0.20,1018643.20,1585921.60,63480.00,345697.60,204.00,54055.20,14313.20,67423.20,11348.00,15952.60,10.60,69.00,15.80,4.80,0.00
