ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%),r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%),avg-latency(ms)
0.98,8.112,26.898,16351.232,321.917,1.57,525.122,7.55,8.8,0.0,1007703.2,6144002.4,141440.0,463631.2,17.6,52428.8,24.0,74197.6,17057.6,31662.0,41.6,53.0,4.4,1.0,0.0,1.5188
1.01,8.06,33.63,15726.592,343.523,1.37,450.744,8.19,9.0,0.2,960237.6,6384638.4,141463.2,465004.0,10.4,24709.6,12.0,46856.8,17669.8,33348.8,43.4,52.2,3.6,0.6,0.0,1.762983
0.65,7.318,38.747,31566.848,248.18,1.82,327.23,11.78,9.6,1.0,1266016.8,270266.4,51555.2,399119.2,4227.2,151293.6,5704.2,169465.6,19767.2,26290.0,25.2,69.0,4.2,1.8,0.0,1.889265
0.67,7.895,46.036,27139.072,244.99,1.94,330.142,11.66,8.2,0.6,1218409.6,1482846.4,64267.2,306059.2,31180.8,82768.8,34537.8,101852.8,19617.8,29783.2,25.0,70.0,3.4,2.0,0.0,1.883256
0.69,7.909,35.476,36638.72,253.469,1.71,329.481,12.84,10.0,0.0,1015285.6,3240014.4,41844.8,289198.4,3067.2,6355.2,5170.6,29716.0,15803.4,30951.2,31.8,63.2,4.4,0.2,0.0,1.733691
0.71,8.602,28.102,44728.32,257.083,1.75,331.503,13.2,7.0,0.0,1019804.0,3799627.2,108795.2,342820.0,53.6,0.0,1576.4,24757.6,16086.6,34919.6,31.2,62.6,5.6,0.6,0.0,1.564314
0.7,8.857,34.358,41361.408,251.249,1.9,326.953,13.4,8.0,0.0,1019036.0,4621722.4,130775.2,341833.6,108.8,0.0,217.6,24460.8,17505.8,34997.2,30.4,63.2,6.0,0.6,0.0,1.438066
0.73,7.21,42.454,19454.976,282.7,1.71,361.981,10.75,8.0,0.2,1444276.0,2407062.4,135824.8,359804.8,90.4,163272.8,2736.8,186211.2,16238.8,28714.8,31.0,62.8,5.4,1.4,0.0,1.718647
0.68,8.521,37.089,39987.2,243.395,2.08,317.802,13.61,8.4,0.0,997370.4,4823236.0,137540.0,359292.8,1976.0,0.0,2079.2,26292.0,17659.2,34519.2,31.8,62.4,5.2,0.4,0.0,1.311095
0.7,8.585,39.551,41487.36,243.173,2.01,316.18,13.45,8.0,0.0,987613.6,5109917.6,138163.2,360424.0,780.8,0.0,846.8,27444.0,17488.2,33552.8,31.2,62.8,6.0,0.8,0.0,1.436566
0.7,8.913,34.14,45671.424,246.029,2.02,321.689,13.23,7.2,0.0,987228.0,5130456.0,138330.4,362439.2,63.2,0.0,64.8,27960.8,18272.4,36010.0,35.6,57.8,5.8,1.0,0.0,1.354089
0.69,8.57,23.567,47000.576,236.472,1.92,304.385,13.98,7.4,0.6,987133.6,5009044.0,138399.2,364412.8,7.2,0.0,7.2,27454.4,17498.2,34290.8,32.4,60.6,6.0,0.8,0.0,1.615617
