ipc,context_switches(K/sec),cpu_migrations(/sec),page_faults(/sec),branches(M/sec),branch_misses(%),L1_dcache_loads(M/sec),L1_dcache_load_misses(%)
0.62,6.289,29.550,6837.248,196.997,2.47,275.156,11.94
0.68,6.247,40.651,46892.032,256.887,1.83,332.352,12.57
0.71,6.235,33.959,35604.48,257.563,2.09,340.019,11.75
0.78,6.748,37.103,34550.784,289.643,1.81,379.816,11.28
0.75,7.066,30.181,37962.752,265.600,1.78,351.129,12.47
0.77,6.259,34.655,16923.648,286.165,1.66,370.096,9.98
0.76,7.702,24.482,37089.28,259.893,1.81,339.122,12.71
0.76,7.788,23.079,28984.32,240.659,1.95,316.845,11.65
0.73,7.243,26.881,39910.4,243.141,1.91,312.337,12.96
0.76,7.030,29.891,36349.952,257.968,1.85,334.692,12.38
0.75,7.526,23.605,34502.656,252.970,1.90,327.4,12.74
0.77,6.130,34.713,20420.608,271.426,1.69,345.735,11.11
0.87,6.488,32.523,7420.928,216.771,2.11,435.814,7.78
0.77,7.384,24.219,41158.656,257.988,1.90,366.615,11.73
0.78,7.878,23.795,40619.008,243.436,2.05,366.916,11.51
0.78,7.398,29.109,36407.296,237.634,2.02,351.377,11.90
0.83,7.521,23.303,34056.192,222.924,2.18,429.222,9.26
0.80,6.267,34.144,16278.528,266.275,1.72,373.132,9.36
0.86,7.933,28.103,27413.504,217.991,2.18,456.628,8.41
0.93,7.255,25.719,22268.928,224.155,1.99,468.177,7.56
0.92,6.052,34.459,9189.376,271.808,1.54,414.995,7.39
0.94,7.379,19.101,21310.464,240.209,1.81,435.003,7.85
0.89,6.501,22.806,21771.264,213.520,1.88,385.158,8.45
0.77,6.045,24.516,15153.152,228.523,1.79,317.294,9.59
1.06,7.491,17.945,12307.456,286.962,1.50,539.303,6.20
1.12,6.754,23.223,6522.88,281.422,1.43,554.477,5.51
1.08,7.269,22.648,15335.424,350.454,1.30,480.244,7.30
1.04,6.636,20.852,15922.176,308.123,1.31,410.453,7.54
0.54,7.996,15.654,1134.592,190.839,2.51,250.212,12.24
0.66,5.793,31.562,37415.936,218.633,1.84,281.829,12.21
0.75,7.593,17.137,38288.384,248.202,1.91,324.119,12.07
0.71,7.350,30.010,35378.176,250.813,2.08,332.931,12.31
0.74,7.995,17.298,37246.976,255.900,1.88,336.876,12.80
0.71,8.271,26.322,45757.44,246.841,2.05,321.996,13.26
0.72,8.162,21.188,46761.984,252.821,1.99,327.757,13.39
0.71,8.261,27.131,40682.496,247.263,2.04,324.268,13.56
0.72,8.268,21.858,36246.528,233.956,2.00,307.05,13.10
0.76,6.381,25.651,23674.88,253.465,1.78,328.109,11.19
0.72,7.858,24.297,44486.656,234.780,2.01,308.207,13.55
0.77,7.639,33.893,21096.448,225.380,2.17,326.318,11.70
0.76,7.856,26.679,42941.44,225.469,2.15,342.437,11.79
0.72,7.996,20.930,41042.944,224.724,2.08,307.614,12.84
0.70,7.621,21.404,40023.04,218.020,2.17,283.169,13.04
0.88,7.655,22.276,20428.8,194.264,2.26,420.644,8.04
0.82,7.836,17.106,36299.776,196.089,2.24,407.2,8.87
0.95,8.553,22.636,20467.712,234.584,2.22,545.58,7.13
0.90,8.267,21.865,28951.552,220.022,2.22,506.172,7.38
0.94,7.910,26.037,25659.392,228.428,2.04,490.232,7.27
0.97,7.936,29.692,28986.368,250.703,1.94,487.094,7.54
0.91,7.031,32.217,22817.792,227.194,2.01,451.615,7.41
1.11,7.744,31.444,20782.08,302.847,1.54,564.326,6.20
1.15,7.800,27.640,9480.192,312.255,1.45,596.655,5.60
1.13,8.187,29.724,15013.888,330.563,1.49,647.205,5.68
1.24,7.696,37.171,6812.672,323.417,1.39,702.55,4.66
1.12,7.154,47.166,11644.928,301.714,1.53,606.78,5.76
1.11,8.337,34.504,23288.832,390.034,1.27,464.052,7.72
1.03,7.878,39.648,19384.32,332.786,1.45,479.144,7.41
0.49,8.810,37.592,1934.336,181.941,2.82,249.171,12.13
0.59,5.948,92.647,27403.264,221.165,2.03,303.416,9.56
0.54,5.981,118.972,26115.072,184.533,2.60,268.401,10.49
0.62,7.951,78.618,43508.736,229.887,2.07,314.719,13.20
0.67,7.410,77.514,46708.736,234.087,1.80,311.175,12.60
0.63,7.989,31.389,53670.912,210.798,2.14,276.092,15.17
0.75,7.890,37.383,25835.52,220.022,2.01,338.106,11.22
0.64,7.287,31.726,43699.2,204.360,2.16,266.351,13.97
0.66,7.844,34.590,50330.624,220.543,2.23,285.538,13.91
0.65,8.329,35.595,51328.0,230.456,2.18,305.27,13.86
0.64,7.811,32.699,45565.952,206.122,2.08,271.338,13.50
0.66,6.072,57.485,27348.992,222.931,1.86,287.085,11.07
0.74,8.105,43.953,46268.416,170.280,2.66,382.866,9.42
0.91,7.687,49.986,21013.504,171.906,2.65,495.457,6.59
0.74,8.017,35.375,42613.76,171.293,2.71,376.967,9.45
0.86,7.659,39.332,34589.696,162.650,2.65,466.468,7.12
0.83,6.609,30.441,19282.944,231.546,1.86,429.311,7.07
0.91,8.026,40.517,26566.656,196.033,2.33,497.739,6.83
0.91,7.881,25.191,28466.176,201.502,2.18,475.46,7.12
0.84,6.573,42.891,19570.688,246.858,1.83,413.779,7.43
1.02,9.213,26.770,31363.072,284.683,1.80,575.146,6.45
0.98,7.213,42.382,15709.184,268.005,1.70,542.561,5.68
1.18,8.370,33.729,11055.104,315.126,1.57,674.979,4.85
1.24,8.299,49.805,17818.624,349.922,1.28,731.7,4.66
1.04,8.069,38.925,19552.256,289.954,1.64,585.198,5.76
1.20,7.970,47.962,7955.456,328.541,1.44,731.689,4.41
1.16,8.035,63.216,21897.216,347.132,1.41,627.223,5.45
1.01,6.586,80.254,22596.608,346.397,1.22,368.869,8.08
1.00,7.170,81.323,20714.496,316.639,1.44,437.537,7.03
0.36,8.680,41.097,995.064,141.638,3.44,198.755,12.79
0.49,7.176,87.513,17146.88,208.570,2.62,295.428,9.28
0.54,7.512,101.818,28176.384,186.137,2.01,266.997,11.31
0.60,7.634,61.069,52671.488,215.766,2.16,283.154,14.17
0.60,8.408,48.476,57134.08,216.544,2.21,288.43,15.11
0.60,8.214,38.354,54406.144,203.418,2.30,269.998,15.01
0.61,8.226,50.943,60489.728,206.200,2.34,273.649,13.91
0.57,8.595,36.516,62524.416,185.908,2.52,266.138,14.84
0.64,8.241,49.800,59230.208,210.380,2.67,321.613,12.03
0.67,8.672,32.887,56716.288,182.843,2.61,358.486,10.55
0.81,9.062,30.710,46687.232,172.146,2.94,505.907,7.42
0.84,8.161,49.865,49925.12,157.738,2.94,521.791,7.05
0.81,6.637,60.117,28068.864,231.418,1.98,475.618,6.63
0.90,9.125,17.468,37103.616,158.522,2.89,534.961,6.24
0.89,8.435,41.108,36378.624,175.228,2.76,537.392,6.26
0.83,7.413,45.469,27544.576,247.199,1.90,454.64,6.79
0.89,6.443,67.624,18778.112,166.777,2.54,475.981,5.67
0.91,7.167,38.454,34110.464,183.838,2.29,467.233,6.42
0.93,7.891,30.650,35731.456,202.426,2.05,465.035,6.68
0.85,7.016,53.674,25233.408,246.557,1.77,401.781,7.09
1.09,8.544,24.026,28719.104,255.942,1.72,560.878,5.48
0.84,6.449,58.653,13837.312,210.648,2.11,428.524,6.02
1.20,7.830,34.260,20797.44,330.534,1.29,691.523,4.54
1.36,7.601,50.416,12507.136,343.244,1.16,834.127,3.57
1.36,6.873,33.579,9718.784,306.950,1.22,743.373,3.54
1.18,7.104,33.318,13105.152,291.439,1.48,619.666,4.44
1.04,8.061,20.638,26328.064,306.855,1.39,475.892,6.29
1.17,7.932,24.137,23196.672,408.536,1.05,463.595,6.41
0.85,6.404,56.248,16258.048,227.001,1.76,377.072,6.62
0.26,8.860,20.307,1141.76,111.673,4.08,161.35,13.06
0.66,6.319,24.392,38668.288,215.685,2.01,284.11,12.87
0.74,6.797,19.388,36727.808,231.457,1.80,299.776,13.18
0.73,6.305,26.441,34594.816,235.656,1.69,305.343,12.70
0.71,6.697,26.472,30379.008,221.028,1.83,294.801,13.25
0.77,6.552,29.342,31704.064,238.576,1.79,305.214,11.55
0.78,7.475,27.651,39087.104,269.351,1.90,348.05,12.15
0.75,7.926,19.404,35234.816,260.855,1.81,339.801,12.38
0.74,7.610,18.898,36453.376,252.765,1.88,329.202,12.59
0.75,6.985,17.184,25563.136,235.488,1.78,307.311,12.34
0.74,6.842,21.605,33042.432,229.857,1.87,297.664,12.92
0.70,5.487,20.113,23789.568,184.449,1.86,239.38,12.55
0.74,7.419,16.866,31858.688,233.575,1.95,304.263,12.62
0.72,7.189,13.900,24744.96,219.277,2.05,285.825,12.51
0.74,7.396,14.358,26770.432,219.137,2.00,286.325,12.59
0.59,1.791,24.677,30983.168,108.293,1.82,135.783,14.91
0.64,2.425,19.392,18952.192,131.468,1.81,167.502,13.49
0.64,5.347,16.563,21936.128,161.346,2.04,209.881,13.64
0.69,5.134,15.936,15668.224,189.912,1.82,243.869,11.88
0.69,5.435,16.101,20761.6,166.421,2.04,216.042,13.00
0.74,4.982,19.226,12546.048,201.816,1.90,261.038,10.33
0.90,7.399,14.403,21171.2,204.948,2.08,425.482,7.83
0.93,6.742,12.948,20177.92,220.516,1.90,412.138,7.72
0.94,6.926,13.728,20208.64,242.407,1.78,412.907,7.90
1.00,7.264,15.572,16135.168,271.918,1.69,473.092,7.09
1.05,8.016,12.818,12382.208,286.634,1.63,529.317,6.66
0.99,7.134,13.656,12883.968,257.879,1.62,472.092,6.87
1.03,6.862,12.977,14644.224,278.473,1.48,491.586,6.65
0.93,5.715,17.320,11486.208,272.828,1.39,309.579,8.97
0.55,7.209,13.392,1189.888,180.735,2.42,234.704,11.99
0.66,5.600,20.694,38219.776,209.678,2.09,269.994,12.68
0.67,6.243,17.605,31266.816,224.274,1.92,295.921,11.86
0.72,7.331,18.526,31240.192,246.258,1.72,326.118,12.03
0.76,6.029,16.421,30986.24,273.616,1.62,370.154,11.25
0.71,6.834,14.653,36907.008,222.413,1.85,288.457,13.00
0.72,7.729,14.400,37660.672,228.582,1.93,299.864,13.12
0.71,7.229,16.363,39942.144,230.200,1.83,298.808,12.88
0.71,7.975,15.656,35563.52,234.635,2.03,307.794,12.90
0.70,7.571,16.429,37839.872,227.874,1.97,296.079,13.40
0.72,7.576,15.689,38617.088,230.160,1.99,301.815,13.14
0.70,7.816,15.907,37085.184,233.267,2.02,301.273,13.26
0.71,7.586,18.805,39729.152,226.159,2.04,293.208,12.79
