r (procs),b (procs),Swap (KB),Free (KB),Buffers (KB),Cached (KB),si (KB/s),so (KB/s),bi (blocks/s),bo (blocks/s),in (interrupts/s),cs (context switches/s),us (%),sy (%),id (%),wa (%),st (%)
7.6,0.4,982138.4,4553790.4,138472.0,365935.2,33.6,0.0,33.6,26796.8,17845.0,34179.2,32.6,60.6,6.0,0.6,0.0
9.6,0.2,1644150.4,4240351.2,138500.0,362683.2,10.4,207498.4,13.6,227673.6,14957.4,26861.4,30.6,64.2,4.2,1.2,0.0
8.8,1.0,981000.0,4223748.0,138516.0,363509.6,15.2,0.0,15.2,26998.4,19075.2,35456.0,34.6,58.6,6.2,0.8,0.0
7.2,0.6,980712.0,3987588.0,138528.8,367252.0,28.8,0.0,36.8,26677.6,18156.0,35563.0,38.4,54.6,6.2,0.6,0.0
7.6,0.0,980446.4,4127222.4,138566.4,363533.6,19.2,0.0,19.2,25636.8,18343.4,36883.2,38.0,55.8,5.6,0.6,0.0
6.8,0.2,980196.0,4878433.6,138581.6,367379.2,16.0,0.0,16.0,28093.6,17693.4,35390.0,40.6,52.4,6.0,1.0,0.0
8.2,0.4,979853.6,4908373.6,138600.8,363724.8,17.6,0.0,17.6,27248.8,17066.2,35547.6,42.8,51.8,4.8,0.8,0.0
6.8,0.6,980280.0,5200713.6,138616.0,364766.4,21.6,0.0,74.4,27156.8,17825.0,33868.0,40.0,53.6,5.8,0.8,0.0
7.4,0.0,980280.0,5369414.4,138620.0,359577.6,10.4,0.0,10.4,27158.4,17134.0,35755.0,41.4,53.8,4.4,0.8,0.0
7.2,0.2,1281345.6,5524328.8,138620.0,362819.2,74.4,102677.6,75.2,126381.6,15729.6,30700.8,34.8,59.6,5.4,1.0,0.0
7.2,0.0,1133334.4,5611046.4,138628.0,367268.8,12.8,51604.8,13.6,76588.8,16337.0,32371.6,37.4,56.8,5.4,1.0,0.0
6.6,0.4,979416.0,5526926.4,138633.6,367489.6,12.8,0.0,12.8,27880.8,18579.4,35646.6,42.0,51.4,6.2,0.8,0.0
6.8,0.2,978904.0,5694589.6,138645.6,365703.2,11.2,0.0,11.2,29580.0,17495.0,36563.2,45.4,48.8,5.0,0.6,0.0
7.6,0.0,978635.2,6230456.0,138656.0,363306.4,48.0,13302.4,57.6,39720.0,18316.6,34257.4,39.6,55.6,4.6,0.6,0.0
8.2,0.4,978260.0,6467440.8,138660.0,363615.2,15.2,0.0,15.2,25449.6,16380.6,34239.0,40.8,53.0,5.4,0.8,0.0
7.6,0.2,978004.0,6549776.0,138667.2,362267.2,5.6,0.0,5.6,26746.4,17431.2,33492.8,39.4,56.0,4.4,0.8,0.0
8.4,0.2,1456108.0,138588.8,17216.8,210383.2,19209.6,211828.8,22328.2,230377.6,18368.6,26737.8,21.6,70.6,4.8,3.0,0.0
6.6,0.0,1022456.0,3706961.6,81232.8,331516.8,3354.4,0.0,8185.2,28064.0,17481.4,35136.2,29.2,64.2,5.6,1.2,0.0
7.2,0.4,1021817.6,3967016.0,123248.0,335610.4,93.6,0.0,186.0,27746.4,17342.8,35035.6,27.8,63.8,7.6,1.0,0.0
5.8,0.4,1331144.0,2373868.0,135169.6,340147.2,68.0,154767.2,88.8,178980.8,15868.2,29714.0,27.2,66.8,5.2,1.2,0.0
7.6,0.0,1002024.8,4528912.0,138760.0,341822.4,11.2,0.0,452.0,27286.4,17296.6,35756.0,30.0,61.8,7.2,1.2,0.0
7.0,0.2,1001648.0,4383258.4,140220.0,344376.8,24.8,0.0,67.2,31232.0,17564.0,36514.0,27.0,65.6,7.0,0.8,0.0
5.6,0.2,1001318.4,2987758.4,140704.8,348732.8,25.6,0.0,27.2,30421.6,17965.2,37588.8,33.2,57.6,8.4,1.0,0.0
5.4,0.2,1001213.6,4172993.6,140845.6,347851.2,4.8,0.0,17.6,29063.2,17008.2,36346.0,31.4,60.0,7.6,1.0,0.0
6.4,0.0,1000884.0,4119624.0,140882.4,349929.6,24.8,0.0,56.0,28532.8,17415.6,36293.8,30.0,62.4,7.0,1.4,0.0
7.8,0.2,999925.6,3445503.2,140928.0,356899.2,6.4,0.0,6.4,30901.6,17048.6,38307.4,31.0,61.4,6.8,0.8,0.0
7.6,0.0,999685.6,3454459.2,140950.4,355352.8,11.2,0.0,11.2,30129.6,16573.6,37326.6,34.2,58.8,6.6,1.0,0.0
6.2,0.2,999792.0,3596775.2,140956.8,352862.4,20.0,0.0,22.4,28283.2,17489.2,38747.0,31.4,59.8,7.6,1.2,0.0
8.8,0.6,999792.0,3446005.6,140972.8,357650.4,6.4,0.0,6.4,28502.4,18302.4,35785.8,34.0,58.6,6.8,0.6,0.0
7.8,0.0,999280.0,3437240.0,140988.0,355847.2,0.8,0.0,0.8,25682.4,19289.8,39273.6,35.8,53.4,8.8,1.6,0.0
8.0,0.0,999280.0,3802153.6,141016.8,357456.8,47.2,0.0,158.4,29765.6,17803.0,40617.2,36.0,54.6,8.8,1.0,0.0
8.2,0.4,999024.0,4208775.2,141052.8,355632.0,9.6,0.0,12.8,29071.2,17623.8,36669.8,35.8,54.6,9.0,1.0,0.0
7.4,0.2,998563.2,4743109.6,141069.6,357750.4,131.2,0.0,131.2,29480.8,17337.0,37581.8,35.6,56.6,7.0,0.8,0.0
6.4,0.4,998256.0,4886616.8,141081.6,360320.8,23.2,0.0,23.2,29089.6,17521.6,35864.6,35.2,56.2,7.8,1.0,0.0
7.0,0.0,997744.0,5016130.4,141097.6,356663.2,89.6,0.0,90.4,30898.4,18404.8,39722.4,31.2,60.4,7.4,1.0,0.0
6.6,0.0,997744.0,5233844.0,141100.0,358895.2,8.8,0.0,11.2,30817.6,18569.0,37659.2,37.2,55.2,6.8,1.0,0.0
8.0,0.2,997129.6,5202099.2,141428.0,372332.0,882.4,0.0,4459.8,29583.2,17563.6,37226.6,39.4,53.6,6.4,1.0,0.0
8.2,0.4,996976.0,5307570.4,141604.0,381772.0,39.2,0.0,40.0,29304.8,17246.4,37564.4,41.0,51.6,6.4,0.8,0.0
8.8,0.2,992040.0,5344542.4,141616.0,377964.8,5.6,0.0,5.6,27728.0,16861.6,36585.2,42.8,49.2,7.2,1.2,0.0
7.2,0.2,991784.0,5447563.2,141642.4,386395.2,9.6,0.0,11.2,26277.6,17617.4,36370.8,45.8,47.6,6.0,0.8,0.0
5.6,0.2,991784.0,5825802.4,141652.0,386153.6,10.4,0.0,10.4,24582.4,17266.4,37683.2,42.6,49.8,6.6,1.2,0.0
6.2,0.4,991172.0,6075343.2,141652.0,379617.6,5.6,0.0,5.6,25118.4,17945.4,37247.0,35.0,57.0,7.2,1.0,0.0
5.4,0.2,990502.4,6277613.6,141660.8,385852.8,12.0,0.0,20.8,22460.8,17862.0,36049.2,35.4,55.0,8.0,1.6,0.0
7.6,0.0,990400.0,6462360.8,141677.6,382278.4,41.6,0.0,41.6,26041.6,18592.4,37968.0,40.2,51.0,7.6,1.4,0.0
9.8,0.0,1114456.0,1904852.0,19657.6,234229.6,13569.6,47172.0,51749.8,64811.2,18689.6,32256.8,19.0,74.4,3.2,3.6,0.0
4.6,1.0,1102479.2,4526383.2,35961.6,284350.4,4902.4,5524.8,8553.4,27412.0,17633.8,33722.6,24.6,68.6,4.8,2.0,0.0
